z1,z2,z3
-2247.0,-1617.0,-4705.0
-1704.0,-5115.0,-2288.0
-5270.0,-1548.0,-1977.0
-2566.0,-4836.0,-1581.0
-3284.0,-936.0,-4557.0
-2647.0,-4778.0,-1721.0
-2717.0,-4630.0,-1879.0
-3119.0,-4601.0,-1706.0
-3863.0,-809.0,-4402.0
-3218.0,-4323.0,-1638.0
-3323.0,-4294.0,-1923.0
-3348.0,-4239.0,-1614.0
-3509.0,-4159.0,-1414.0
-4164.0,-790.0,-4159.0
-3911.0,-4130.0,-1241.0
-4407.0,-1330.0,-3596.0
-3972.0,-3902.0,-1520.0
-4005.0,-3825.0,-890.0
-4115.0,-3823.0,-1458.0
-4543.0,-805.0,-3315.0
-1437.0,-2454.0,-4306.0
-4288.0,-3497.0,-916.0
-4650.0,-728.0,-3126.0
-4844.0,-786.0,-3072.0
-4543.0,-3447.0,-1437.0
-4876.0,-1533.0,-3012.0
-5009.0,-1693.0,-2446.0
-4635.0,-3053.0,-1151.0
-4901.0,-3035.0,-950.0
-4991.0,-2243.0,-1647.0
-1417.0,-3004.0,-4257.0
-5005.0,-1811.0,-2061.0
-1737.0,-3073.0,-3894.0
-1779.0,-3384.0,-3721.0
-1418.0,-3719.0,-3606.0
-1845.0,-3751.0,-3568.0
-1337.0,-3777.0,-3466.0
-1476.0,-3874.0,-3427.0
-1395.0,-3890.0,-3314.0
-1496.0,-4044.0,-3288.0
-1295.0,-4533.0,-3125.0
-1905.0,-4626.0,-2451.0
-2437.0,-2336.0,-4263.0
-2826.0,-1490.0,-4550.0
-2997.0,-1239.0,-4415.0
-2565.0,-1585.0,-4308.0
-3067.0,-1049.0,-4319.0
-2094.0,-2470.0,-4168.0
-3576.0,-1112.0,-4260.0
-3014.0,-1226.0,-4261.0
-3585.0,-917.0,-4314.0
-3016.0,-2209.0,-4108.0
-3144.0,-1458.0,-4153.0
-1996.0,-2877.0,-4102.0
-3232.0,-1203.0,-4203.0
-3249.0,-1190.0,-4049.0
-3399.0,-1317.0,-3910.0
-3646.0,-922.0,-4164.0
-3811.0,-1076.0,-4048.0
-3281.0,-1938.0,-3875.0
-3593.0,-1099.0,-4106.0
-3131.0,-1789.0,-4020.0
-3710.0,-1662.0,-3865.0
-2126.0,-2400.0,-4084.0
-1598.0,-2976.0,-3933.0
-3947.0,-903.0,-3921.0
-2220.0,-2449.0,-4025.0
-2147.0,-2940.0,-3865.0
-3828.0,-1063.0,-3894.0
-2673.0,-2343.0,-4013.0
-2757.0,-2405.0,-3900.0
-3979.0,-1298.0,-3707.0
-2286.0,-3037.0,-3826.0
-3828.0,-1457.0,-3751.0
-2275.0,-2442.0,-3844.0
-2414.0,-2539.0,-3805.0
-2540.0,-2518.0,-3662.0
-3420.0,-2035.0,-3836.0
-2405.0,-2654.0,-3720.0
-2799.0,-2322.0,-3870.0
-2659.0,-2577.0,-3628.0
-1843.0,-3055.0,-3609.0
-3184.0,-2259.0,-3717.0
-3437.0,-2022.0,-3682.0
-1959.0,-3417.0,-3572.0
-3027.0,-2040.0,-3753.0
-2552.0,-2717.0,-3616.0
-3451.0,-1858.0,-3657.0
-3100.0,-2047.0,-3720.0
-3845.0,-1359.0,-3603.0
-3493.0,-1775.0,-3627.0
-3323.0,-2356.0,-3678.0
-3835.0,-1558.0,-3580.0
-3955.0,-1479.0,-3570.0
-3506.0,-1838.0,-3617.0
-2834.0,-2735.0,-3515.0
