z1,z2,z3,time
-2047.0,-1825.0,-6725.0,0.01328420639038086
-5399.0,-2324.0,-2434.0,0.025916099548339844
-2520.0,-5862.0,-2463.0,0.03813004493713379
-5059.0,-1665.0,-3358.0,0.05130720138549805
-1822.0,-5773.0,-2684.0,0.06336116790771484
-5350.0,-3048.0,-1749.0,0.07666707038879395
-1459.0,-2856.0,-6426.0,0.0882880687713623
-2085.0,-5662.0,-3124.0,0.0994420051574707
-5020.0,-1551.0,-3432.0,0.1116170883178711
-4780.0,-1582.0,-3893.0,0.124114990234375
-1387.0,-5573.0,-3345.0,0.13663816452026367
-1905.0,-5459.0,-3409.0,0.14821314811706543
-5274.0,-3157.0,-1097.0,0.16183209419250488
-1883.0,-5349.0,-3504.0,0.17611312866210938
-5061.0,-3449.0,-1380.0,0.18877410888671875
-1365.0,-5189.0,-3892.0,0.20215106010437012
-4658.0,-1995.0,-3969.0,0.21452903747558594
-4564.0,-1799.0,-4086.0,0.22677302360534668
-1473.0,-3031.0,-6308.0,0.23807907104492188
-4491.0,-2094.0,-4172.0,0.25226712226867676
-4995.0,-3473.0,-1394.0,0.26365017890930176
-4982.0,-3720.0,-1132.0,0.2747180461883545
-4439.0,-1846.0,-4340.0,0.28580808639526367
-1270.0,-3205.0,-6253.0,0.2969090938568115
-1091.0,-5122.0,-4090.0,0.3086240291595459
-4174.0,-1633.0,-4460.0,0.3206310272216797
-4745.0,-3745.0,-1126.0,0.33655714988708496
-1625.0,-3260.0,-6175.0,0.3477020263671875
-4674.0,-4137.0,-1234.0,0.3606901168823242
-1159.0,-5048.0,-4195.0,0.37230801582336426
-4144.0,-1392.0,-4471.0,0.38480114936828613
-1290.0,-3367.0,-5966.0,0.3961911201477051
-4105.0,-1278.0,-4545.0,0.40929317474365234
-4017.0,-1725.0,-4583.0,0.4234030246734619
-885.0,-4981.0,-4393.0,0.4345719814300537
-1052.0,-3764.0,-5648.0,0.44725704193115234
-4009.0,-1928.0,-4716.0,0.4597620964050293
-3885.0,-2145.0,-4739.0,0.4717700481414795
-3865.0,-1309.0,-5006.0,0.4833261966705322
-1013.0,-4740.0,-4612.0,0.49539709091186523
-4575.0,-4139.0,-1164.0,0.5091540813446045
-4562.0,-4386.0,-902.0,0.5203981399536133
-2296.0,-1726.0,-6467.0,0.5322091579437256
-863.0,-4113.0,-5475.0,0.5434801578521729
-1364.0,-4476.0,-4980.0,0.5566821098327637
-3524.0,-1573.0,-5453.0,0.5695271492004395
-4311.0,-4392.0,-1074.0,0.5827350616455078
-4280.0,-4460.0,-1722.0,0.598330020904541
-2477.0,-1743.0,-6349.0,0.6096282005310059
-4254.0,-4803.0,-1004.0,0.6220719814300537
-2907.0,-5801.0,-2119.0,0.6345341205596924
-1155.0,-4156.0,-5422.0,0.6460721492767334
-2726.0,-1644.0,-6091.0,0.6583921909332275
-1090.0,-4409.0,-5178.0,0.669809103012085
-1218.0,-4168.0,-5397.0,0.6834900379180908
-878.0,-4317.0,-5201.0,0.6952362060546875
-3332.0,-1593.0,-5524.0,0.707038164138794
-3883.0,-4898.0,-1013.0,0.719433069229126
-3167.0,-1634.0,-5600.0,0.743070125579834
-2902.0,-1675.0,-5900.0,0.7548689842224121
-3860.0,-5126.0,-1492.0,0.7694270610809326
-3094.0,-1655.0,-5829.0,0.7819821834564209
-3124.0,-5563.0,-1976.0,0.7935481071472168
-3764.0,-5193.0,-1126.0,0.8162620067596436
-3276.0,-5562.0,-1753.0,0.8276641368865967
-3518.0,-5240.0,-1488.0,0.8399519920349121
-3370.0,-5516.0,-1614.0,0.8541309833526611
-5258.0,-2338.0,-2416.0,0.8784921169281006
-5034.0,-2549.0,-2800.0,0.8917381763458252
-5150.0,-2884.0,-1886.0,0.907829999923706
-5099.0,-2587.0,-2388.0,0.9352970123291016
-5018.0,-2369.0,-2877.0,0.9499311447143555
-5044.0,-3218.0,-1403.0,0.9637031555175781
-5036.0,-2712.0,-2107.0,0.9789211750030518
-4987.0,-3160.0,-2009.0,0.9939990043640137
-5001.0,-2219.0,-2901.0,1.0059230327606201
-4919.0,-2177.0,-2911.0,1.0179271697998047
-4917.0,-2052.0,-3133.0,1.0315351486206055
-5020.0,-2891.0,-2074.0,1.0483250617980957
-4930.0,-3714.0,-1519.0,1.0617201328277588
-5107.0,-2900.0,-1773.0,1.0876221656799316
-5031.0,-2996.0,-1817.0,1.1170940399169922
-4971.0,-3615.0,-1389.0,1.1460111141204834
-4979.0,-2990.0,-2204.0,1.1618731021881104
-4929.0,-3239.0,-1667.0,1.2082610130310059
-4753.0,-2546.0,-3320.0,1.2728919982910156
-4957.0,-2835.0,-2238.0,1.2874510288238525
-4853.0,-3254.0,-1711.0,1.3208301067352295
-4907.0,-2655.0,-2324.0,1.336238145828247
-4808.0,-3440.0,-1866.0,1.3595161437988281
-4800.0,-3127.0,-2481.0,1.4134521484375
-4750.0,-2195.0,-3425.0,1.5142982006072998
-4793.0,-2375.0,-3001.0,1.5422420501708984
-4731.0,-3726.0,-1304.0,1.5559360980987549
-4731.0,-2063.0,-3711.0,1.6126141548156738
-4710.0,-3692.0,-1888.0,1.6530930995941162
-4796.0,-2743.0,-2568.0,1.669525146484375
-4870.0,-2901.0,-2226.0,1.7045130729675293
-4634.0,-4010.0,-1344.0,1.74061918258667
-4704.0,-3270.0,-2635.0,1.7967500686645508
-4790.0,-2572.0,-2734.0,1.831022024154663
-4759.0,-2968.0,-2573.0,1.8820340633392334
-4754.0,-2647.0,-2726.0,1.9004039764404297
-4568.0,-3861.0,-1656.0,1.9169371128082275
-4715.0,-3157.0,-2503.0,1.9552111625671387
-4790.0,-2510.0,-2978.0,1.9700021743774414
-4683.0,-3286.0,-2029.0,2.0096261501312256
-4360.0,-4146.0,-1327.0,2.023867130279541
-4342.0,-4364.0,-1271.0,2.0382211208343506
-4628.0,-3379.0,-1983.0,2.063194990158081
-4712.0,-2648.0,-2732.0,2.0846571922302246
-4739.0,-2569.0,-3007.0,2.142569065093994
-4626.0,-2890.0,-2711.0,2.1646480560302734
-4623.0,-2609.0,-3181.0,2.2261831760406494
-4620.0,-3344.0,-2094.0,2.296250104904175
-4489.0,-4048.0,-1569.0,2.3154561519622803
-4560.0,-3548.0,-2271.0,2.3363070487976074
-4609.0,-2781.0,-3040.0,2.383207082748413
-4440.0,-4104.0,-1641.0,2.518494129180908
-4567.0,-3826.0,-1779.0,2.534691095352173
-4391.0,-4108.0,-1372.0,2.5965991020202637
-4612.0,-2418.0,-3470.0,2.6425130367279053
-4569.0,-2865.0,-2759.0,2.663341999053955
-4481.0,-3735.0,-2184.0,2.686758041381836
-4746.0,-2334.0,-3341.0,2.7021989822387695
-4531.0,-2101.0,-3493.0,2.7413620948791504
-4563.0,-3158.0,-2726.0,2.778980016708374
-4508.0,-2820.0,-2809.0,2.80698299407959
-4525.0,-3859.0,-1851.0,2.824867010116577
-4331.0,-4259.0,-1528.0,2.875998020172119
-4355.0,-4117.0,-1533.0,2.8921310901641846
-4480.0,-2244.0,-3619.0,2.9100210666656494
-4465.0,-3342.0,-2280.0,2.937481164932251
-4464.0,-3301.0,-2377.0,2.9968421459198
-4504.0,-3106.0,-2772.0,3.0372819900512695
-4453.0,-2809.0,-3274.0,3.0832901000976562
-4437.0,-3922.0,-1645.0,3.104109048843384
-4427.0,-2942.0,-3044.0,3.131275177001953
-4338.0,-3922.0,-1962.0,3.182358980178833
-4388.0,-4106.0,-1636.0,3.19818115234375
-4429.0,-3416.0,-2349.0,3.2858481407165527
-4555.0,-2654.0,-3382.0,3.3523261547088623
-4161.0,-4521.0,-1381.0,3.405327081680298
-4459.0,-3783.0,-1915.0,3.4221951961517334
-4337.0,-4049.0,-1792.0,3.442363977432251
-4396.0,-3393.0,-2430.0,3.4709110260009766
-4472.0,-2679.0,-3193.0,3.5337882041931152
-4383.0,-3795.0,-1987.0,3.556467056274414
-4419.0,-2309.0,-3497.0,3.592851161956787
-4374.0,-2311.0,-3706.0,3.612901210784912
-4105.0,-4525.0,-1621.0,3.6491191387176514
-4413.0,-3188.0,-2825.0,3.6965620517730713
-4347.0,-3804.0,-2148.0,3.7195591926574707
-4072.0,-4776.0,-1024.0,3.736448049545288
-4612.0,-2560.0,-3302.0,3.7516870498657227
-4398.0,-3440.0,-2289.0,3.7752320766448975
-4375.0,-3289.0,-2691.0,3.8052010536193848
-4387.0,-3630.0,-2315.0,3.9095981121063232
-4069.0,-4714.0,-1339.0,3.9239749908447266
-4341.0,-3382.0,-2895.0,3.9524481296539307
-4287.0,-4198.0,-1578.0,3.9936580657958984
-4343.0,-3755.0,-2356.0,4.039025068283081
-4402.0,-2964.0,-2962.0,4.062096118927002
-4372.0,-2591.0,-3763.0,4.144517183303833
-4415.0,-3671.0,-2266.0,4.166572093963623
-4318.0,-3511.0,-2395.0,4.196761131286621
-4382.0,-3767.0,-2014.0,4.231295108795166
-4394.0,-3193.0,-2939.0,4.2560060024261475
-4412.0,-2671.0,-3414.0,4.279954195022583
-4284.0,-3936.0,-2405.0,4.335484981536865
-4052.0,-2046.0,-4536.0,4.366487979888916
-4422.0,-3172.0,-2708.0,4.390437126159668
-4380.0,-3793.0,-2251.0,4.407833099365234
-4265.0,-4319.0,-1948.0,4.430203199386597
-4314.0,-3595.0,-2633.0,4.459115028381348
-4420.0,-3177.0,-2710.0,4.500176191329956
-4412.0,-2420.0,-3444.0,4.54503607749939
-4325.0,-3837.0,-2275.0,4.602933168411255
-4333.0,-3212.0,-3090.0,4.82887601852417
-4306.0,-2125.0,-3779.0,4.888089179992676
-4293.0,-2282.0,-4091.0,4.9680540561676025
-4330.0,-2861.0,-3195.0,5.060754060745239
-4360.0,-3252.0,-2814.0,5.0883190631866455
-4392.0,-3031.0,-3041.0,5.14858603477478
-4322.0,-2761.0,-3287.0,5.232705116271973
-4349.0,-3695.0,-2280.0,5.253730058670044
-4034.0,-4781.0,-1373.0,5.267818212509155
-4326.0,-3000.0,-3111.0,5.295348167419434
-4279.0,-2804.0,-3351.0,5.323763132095337
-4168.0,-4084.0,-2005.0,5.403642177581787
-4293.0,-3026.0,-3173.0,5.446582078933716
-4374.0,-3113.0,-2960.0,5.4669411182403564
-4339.0,-2603.0,-3672.0,5.602312088012695
-4225.0,-3130.0,-3244.0,5.649152040481567
-4172.0,-2702.0,-3875.0,5.7305262088775635
-4151.0,-3994.0,-2301.0,5.753528118133545
-4200.0,-3174.0,-3363.0,5.790469169616699
-4173.0,-2882.0,-3412.0,5.855835199356079
-4196.0,-1890.0,-4244.0,5.925978183746338
-4263.0,-3421.0,-2680.0,5.95732307434082
-4226.0,-3667.0,-2582.0,5.9812421798706055
-4245.0,-2407.0,-3789.0,5.999504089355469
-3985.0,-4622.0,-1574.0,6.080449104309082
-4208.0,-3487.0,-2748.0,6.1548240184783936
-4118.0,-4059.0,-2075.0,6.183197021484375
-4125.0,-2114.0,-4278.0,6.238426208496094
-4211.0,-3396.0,-2952.0,6.285640001296997
-4150.0,-2965.0,-3454.0,6.403681993484497
-4176.0,-3854.0,-2559.0,6.443812131881714
-3833.0,-1897.0,-4907.0,6.458027124404907
-4153.0,-4208.0,-1996.0,6.531598091125488
-4105.0,-4146.0,-2161.0,6.556040048599243
-4155.0,-3499.0,-2637.0,6.583302021026611
-4124.0,-3606.0,-2727.0,6.6488261222839355
-4144.0,-2794.0,-3620.0,6.6837780475616455
-4147.0,-2597.0,-3887.0,6.730180025100708
-1652.0,-2569.0,-6349.0,6.744208097457886
-4061.0,-4401.0,-1954.0,6.761634111404419
-4099.0,-3415.0,-2856.0,6.7997050285339355
-3917.0,-4715.0,-1562.0,6.842529058456421
-4122.0,-2311.0,-4011.0,6.88515305519104
-4176.0,-3221.0,-3022.0,6.9124720096588135
-4159.0,-3238.0,-2981.0,6.938959121704102
-4097.0,-3833.0,-2776.0,6.97644305229187
-4143.0,-3284.0,-2966.0,7.021115064620972
-4119.0,-2426.0,-4146.0,7.040091037750244
-4160.0,-3771.0,-2620.0,7.0624871253967285
-4041.0,-3586.0,-2951.0,7.0982160568237305
-4138.0,-3328.0,-3210.0,7.130702018737793
-3966.0,-4469.0,-1815.0,7.20032811164856
-4003.0,-4016.0,-2171.0,7.255125999450684
-3931.0,-4582.0,-1687.0,7.277652978897095
-4074.0,-4184.0,-2116.0,7.2978620529174805
-3988.0,-4232.0,-2230.0,7.3303141593933105
-4173.0,-3219.0,-3286.0,7.378199100494385
-4113.0,-3190.0,-3459.0,7.425150156021118
-4110.0,-2839.0,-3564.0,7.539350986480713
-4047.0,-4229.0,-2039.0,7.666246175765991
-4182.0,-3203.0,-3169.0,7.783764123916626
-3965.0,-2365.0,-4181.0,7.804112195968628
-4049.0,-4198.0,-2000.0,7.825177192687988
-3995.0,-4337.0,-2036.0,7.869953155517578
-3909.0,-4555.0,-1731.0,7.911914110183716
-3956.0,-4094.0,-2235.0,7.944244146347046
-4041.0,-3391.0,-3277.0,7.971504211425781
-3587.0,-1807.0,-4959.0,7.989246129989624
-4066.0,-2870.0,-3618.0,8.017001152038574
-3922.0,-4083.0,-2542.0,8.055098056793213
-4151.0,-3960.0,-2434.0,8.088679075241089
-3932.0,-2152.0,-4398.0,8.148437023162842
-3858.0,-4979.0,-1673.0,8.168164014816284
-4094.0,-2495.0,-3947.0,8.23482608795166
-4091.0,-2707.0,-3850.0,8.256319046020508
-3958.0,-3963.0,-2519.0,8.285288095474243
-3981.0,-3025.0,-3734.0,8.317316055297852
-4036.0,-3049.0,-3490.0,8.347588062286377
-3893.0,-4521.0,-2066.0,8.42598819732666
-4064.0,-3914.0,-2774.0,8.470221996307373
-3951.0,-2085.0,-4319.0,8.490790128707886
-3909.0,-2876.0,-4268.0,8.537883043289185
-2153.0,-5698.0,-2560.0,8.611608028411865
-4033.0,-3475.0,-3044.0,8.670928001403809
-4033.0,-3273.0,-3566.0,8.696453094482422
-1928.0,-2322.0,-6316.0,8.75747799873352
-3977.0,-4389.0,-2146.0,8.780364036560059
-4006.0,-2469.0,-4037.0,8.822687149047852
-3963.0,-3003.0,-3926.0,8.886774063110352
-3849.0,-4692.0,-1708.0,8.928630113601685
-4007.0,-3608.0,-2814.0,8.960959196090698
-3744.0,-4620.0,-2159.0,8.990055084228516
-3907.0,-4283.0,-2319.0,9.020670175552368
-3986.0,-4342.0,-1998.0,9.040501117706299
-3963.0,-3927.0,-2478.0,9.124972105026245
-3949.0,-3820.0,-2999.0,9.229767084121704
-3949.0,-2705.0,-3949.0,9.28422212600708
-3815.0,-2412.0,-4482.0,9.44648814201355
-3974.0,-2890.0,-3794.0,9.49203610420227
-3965.0,-3499.0,-2985.0,9.559234142303467
-3971.0,-3427.0,-3413.0,9.613837003707886
-3907.0,-4255.0,-2358.0,9.793235063552856
-3731.0,-4660.0,-2071.0,9.843142032623291
-3924.0,-3915.0,-2820.0,9.919188976287842
-3954.0,-3443.0,-3239.0,9.949815034866333
-3914.0,-3770.0,-3157.0,10.019185066223145
-3921.0,-4048.0,-2665.0,10.157142162322998
-3889.0,-4095.0,-2451.0,10.218468189239502
-3698.0,-4806.0,-1886.0,10.241984128952026
-3882.0,-4297.0,-2203.0,10.315936088562012
-3872.0,-4106.0,-2437.0,10.346435070037842
-3836.0,-4115.0,-2374.0,10.380851984024048
-3841.0,-4379.0,-2323.0,10.406946182250977
-1718.0,-5498.0,-3221.0,10.421501159667969
-3817.0,-4136.0,-2402.0,10.452234029769897
-3804.0,-4186.0,-2533.0,10.607396125793457
-3972.0,-3062.0,-3609.0,10.685402154922485
-3517.0,-1969.0,-4982.0,10.765691995620728
-3853.0,-3462.0,-3218.0,10.797223091125488
-3794.0,-4326.0,-2527.0,10.823154211044312
-3498.0,-1653.0,-5145.0,10.887145042419434
-3846.0,-3989.0,-2709.0,10.918009042739868
-3919.0,-3179.0,-3581.0,10.94411015510559
-3783.0,-3638.0,-3235.0,11.001996040344238
-3813.0,-3235.0,-3707.0,11.059502124786377
-3729.0,-4513.0,-2252.0,11.103252172470093
-3647.0,-4842.0,-1717.0,11.184975147247314
-3764.0,-4055.0,-2645.0,11.223961114883423
-3765.0,-2251.0,-4601.0,11.24570918083191
-2481.0,-1941.0,-6062.0,11.262149095535278
-3737.0,-4096.0,-2674.0,11.300328016281128
-3806.0,-4333.0,-2352.0,11.346489191055298
-3813.0,-4005.0,-2801.0,11.379525184631348
-3782.0,-4987.0,-1578.0,11.39769721031189
-3835.0,-3461.0,-3485.0,11.431620121002197
-3913.0,-3829.0,-2936.0,11.460792064666748
-3640.0,-5104.0,-1861.0,11.540844202041626
-3590.0,-1941.0,-4811.0,11.562438011169434
-3697.0,-4693.0,-1931.0,11.605018138885498
-3773.0,-3832.0,-2964.0,11.642048120498657
-3759.0,-3895.0,-2850.0,11.74853801727295
-3724.0,-4382.0,-2563.0,11.781660079956055
-3766.0,-2642.0,-4330.0,11.806584119796753
-3862.0,-3281.0,-3486.0,11.834995985031128
-2524.0,-5690.0,-2540.0,11.935850143432617
-3403.0,-1979.0,-5283.0,11.957901000976562
-3730.0,-3465.0,-3484.0,12.02049708366394
-3729.0,-3511.0,-3577.0,12.054946184158325
-3758.0,-4005.0,-2936.0,12.088518142700195
-3722.0,-4194.0,-2654.0,12.126520156860352
-3764.0,-4021.0,-2778.0,12.149829149246216
-3595.0,-4954.0,-2050.0,12.174667119979858
-2340.0,-5659.0,-2748.0,12.216593027114868
-3690.0,-4493.0,-2501.0,12.297101020812988
-3800.0,-3034.0,-3849.0,12.322511196136475
-3740.0,-4054.0,-2682.0,12.38467812538147
