z1,z2,z3
-2591.0,-1202.0,-2771.0
-1934.0,-2688.0,-612.0
-3782.0,-1030.0,-2159.0
-2476.0,-2544.0,-539.0
-2867.0,-2416.0,-1287.0
-2694.0,-1199.0,-2699.0
-2958.0,-477.0,-2675.0
-3046.0,-2203.0,-1718.0
-2150.0,-2451.0,-703.0
-3060.0,-1349.0,-2525.0
-1945.0,-2432.0,-708.0
-3083.0,-2179.0,-1378.0
-3324.0,-627.0,-2501.0
-3262.0,-1966.0,-1809.0
-3779.0,-1628.0,-1448.0
-3600.0,-1841.0,-1017.0
-3427.0,-624.0,-2429.0
-2518.0,-1493.0,-2598.0
-3577.0,-1011.0,-2164.0
-2782.0,-2400.0,-1432.0
-2844.0,-1586.0,-2434.0
-2336.0,-2304.0,-1456.0
-3049.0,-1605.0,-2429.0
-2251.0,-2288.0,-1601.0
-2254.0,-1690.0,-2312.0
-2262.0,-1707.0,-2224.0
-2580.0,-1783.0,-2148.0
-2785.0,-1802.0,-2143.0
-2793.0,-1819.0,-2055.0
-2731.0,-1854.0,-1978.0
-2720.0,-2110.0,-1882.0
-2946.0,-1933.0,-1974.0
-2515.0,-2091.0,-1887.0
-2782.0,-771.0,-2574.0
-3108.0,-864.0,-2410.0
-3313.0,-883.0,-2405.0
-3251.0,-918.0,-2328.0
-3416.0,-880.0,-2333.0
-3240.0,-1174.0,-2232.0
-2339.0,-1706.0,-2167.0
-2365.0,-1704.0,-2152.0
-3566.0,-1267.0,-2068.0
-3515.0,-1825.0,-1162.0
-3057.0,-1947.0,-1814.0
-2870.0,-1818.0,-1998.0
-3302.0,-1464.0,-1782.0
-3274.0,-1748.0,-1181.0
-2896.0,-1816.0,-1983.0
-3310.0,-1481.0,-1694.0
-3387.0,-1480.0,-1637.0
-3603.0,-1243.0,-1728.0
-3031.0,-1949.0,-1829.0
-3629.0,-1241.0,-1713.0
-3413.0,-1478.0,-1622.0
-3453.0,-1535.0,-1612.0
