z1,z2,z3,time
-5660.0,-6784.0,-8223.0,0.003119945526123047
-9730.0,-5099.0,-3954.0,0.006045103073120117
-3729.0,-11443.0,-4305.0,0.009032011032104492
-9682.0,-5245.0,-4018.0,0.012269020080566406
-9628.0,-5694.0,-3952.0,0.01647806167602539
-4360.0,-11435.0,-4018.0,0.01992511749267578
-9585.0,-5719.0,-4863.0,0.023391008377075195
-9569.0,-5873.0,-3815.0,0.027547121047973633
-9515.0,-6322.0,-3749.0,0.03445315361022949
-4506.0,-11380.0,-4985.0,0.03763413429260254
-4759.0,-11365.0,-4602.0,0.04060101509094238
-9410.0,-6397.0,-4699.0,0.0448150634765625
-9362.0,-6543.0,-4763.0,0.049031972885131836
-4762.0,-11279.0,-3872.0,0.05261111259460449
-4980.0,-11255.0,-4485.0,0.056581974029541016
-9329.0,-6712.0,-4334.0,0.06465816497802734
-5821.0,-6943.0,-8126.0,0.06904196739196777
-5196.0,-11219.0,-4137.0,0.07588505744934082
-9211.0,-6760.0,-4535.0,0.08223509788513184
-5308.0,-7288.0,-8108.0,0.08518314361572266
-9206.0,-6785.0,-4544.0,0.08926200866699219
-9188.0,-6790.0,-3401.0,0.09409213066101074
-9185.0,-6865.0,-4394.0,0.09899711608886719
-9168.0,-6875.0,-4278.0,0.10361194610595703
-9156.0,-7028.0,-4091.0,0.10748815536499023
-5257.0,-11167.0,-4292.0,0.11083602905273438
-5630.0,-11138.0,-3930.0,0.1172029972076416
-9151.0,-7053.0,-4100.0,0.12037515640258789
-6829.0,-5392.0,-8180.0,0.1235189437866211
-9130.0,-7133.0,-3950.0,0.12715411186218262
-5415.0,-7408.0,-8069.0,0.13092899322509766
-9085.0,-7162.0,-4164.0,0.1348409652709961
-9047.0,-7351.0,-4285.0,0.1388540267944336
-6234.0,-7427.0,-8019.0,0.14243102073669434
-5469.0,-7447.0,-8011.0,0.1462841033935547
-4975.0,-7674.0,-7992.0,0.15023207664489746
-5647.0,-10960.0,-4108.0,0.15410614013671875
-5821.0,-10929.0,-4151.0,0.15827703475952148
-8892.0,-7396.0,-4402.0,0.16612505912780762
-8888.0,-7427.0,-4445.0,0.1736290454864502
-8869.0,-7546.0,-3825.0,0.184920072555542
-6194.0,-10900.0,-3789.0,0.18919801712036133
-6066.0,-7710.0,-7936.0,0.19501304626464844
-5744.0,-8325.0,-7894.0,0.20104503631591797
-8863.0,-7548.0,-3151.0,0.208204984664917
-8860.0,-7623.0,-4144.0,0.21690797805786133
-8825.0,-7702.0,-4130.0,0.2232990264892578
-8805.0,-7891.0,-3700.0,0.22852396965026855
-6343.0,-10790.0,-3526.0,0.23148608207702637
-8770.0,-7970.0,-3686.0,0.2349240779876709
-8722.0,-8109.0,-4035.0,0.2379469871520996
-6360.0,-10612.0,-3704.0,0.2424790859222412
-6577.0,-10583.0,-3906.0,0.24731802940368652
-9723.0,-4909.0,-4419.0,0.25026512145996094
-8599.0,-8130.0,-4108.0,0.2569260597229004
-8596.0,-8205.0,-5101.0,0.26050615310668945
-5776.0,-8400.0,-7833.0,0.26534509658813477
-8573.0,-8235.0,-3967.0,0.26883816719055176
-8541.0,-8473.0,-4657.0,0.275068998336792
-5905.0,-8484.0,-7797.0,0.2806839942932129
-6664.0,-10518.0,-4576.0,0.2853081226348877
-7090.0,-5498.0,-8032.0,0.28955698013305664
-5937.0,-8559.0,-7736.0,0.29470300674438477
-6666.0,-10510.0,-4425.0,0.2978689670562744
-6726.0,-10473.0,-3643.0,0.3010430335998535
-6792.0,-10472.0,-4494.0,0.30412912368774414
-5535.0,-8877.0,-7579.0,0.3116340637207031
-6914.0,-10357.0,-3691.0,0.31497812271118164
-8392.0,-8583.0,-4920.0,0.320357084274292
-7095.0,-5473.0,-8023.0,0.32416510581970215
-7140.0,-5407.0,-7972.0,0.3279881477355957
-8339.0,-8653.0,-4382.0,0.3361351490020752
-9686.0,-4399.0,-4445.0,0.3391990661621094
-7256.0,-5632.0,-7926.0,0.346743106842041
-6964.0,-10210.0,-3191.0,0.3508720397949219
-9679.0,-4209.0,-4910.0,0.3546290397644043
-7047.0,-10201.0,-4693.0,0.35857105255126953
-8281.0,-8686.0,-3383.0,0.3620569705963135
-8248.0,-8993.0,-3717.0,0.36551904678344727
-7294.0,-5393.0,-7863.0,0.37305712699890137
-7109.0,-10123.0,-4672.0,0.3768770694732666
-5599.0,-9085.0,-7562.0,0.3811831474304199
-7373.0,-6309.0,-7859.0,0.3882291316986084
-7237.0,-10077.0,-4590.0,0.3925740718841553
-7713.0,-5119.0,-7832.0,0.39692211151123047
-7297.0,-10040.0,-3808.0,0.4001810550689697
-5381.0,-9279.0,-7480.0,0.40358901023864746
-7386.0,-9967.0,-4327.0,0.4098329544067383
-8009.0,-9029.0,-3633.0,0.41916394233703613
-7998.0,-9154.0,-4602.0,0.4337749481201172
-7524.0,-9902.0,-4325.0,0.43899011611938477
-9606.0,-4695.0,-5468.0,0.4435570240020752
-5413.0,-9354.0,-7419.0,0.44793009757995605
-7939.0,-9267.0,-4462.0,0.4525151252746582
-7736.0,-5244.0,-7770.0,0.4576079845428467
-7535.0,-9777.0,-3356.0,0.46245813369750977
-7773.0,-4827.0,-7641.0,0.4677751064300537
-7579.0,-9634.0,-4769.0,0.4736950397491455
-5448.0,-9509.0,-7334.0,0.48012304306030273
-7880.0,-4947.0,-7602.0,0.4846360683441162
-4177.0,-11330.0,-5049.0,0.48790907859802246
-7582.0,-9579.0,-3539.0,0.4932241439819336
-7588.0,-9557.0,-4450.0,0.49855613708496094
-7794.0,-9328.0,-4668.0,0.5063221454620361
-7728.0,-9524.0,-4506.0,0.5154819488525391
-3864.0,-11257.0,-5263.0,0.5190830230712891
-7790.0,-9377.0,-4725.0,0.5269689559936523
-7925.0,-5385.0,-7576.0,0.5308539867401123
-7737.0,-9447.0,-4187.0,0.5365509986877441
-5406.0,-9549.0,-7113.0,0.5449340343475342
-8032.0,-5505.0,-7537.0,0.5486321449279785
-4728.0,-9590.0,-7102.0,0.558851957321167
-5220.0,-9685.0,-7101.0,0.5648901462554932
-8069.0,-5088.0,-7408.0,0.5708351135253906
-3892.0,-11210.0,-5450.0,0.5741250514984131
-8148.0,-6004.0,-7404.0,0.5794260501861572
-5284.0,-9893.0,-7084.0,0.5844790935516357
-8366.0,-5146.0,-7375.0,0.5882420539855957
-9455.0,-4815.0,-5491.0,0.5931520462036133
-9447.0,-4322.0,-5736.0,0.5968620777130127
-3902.0,-11167.0,-5529.0,0.6005570888519287
-5425.0,-9979.0,-6989.0,0.6054830551147461
-3700.0,-11048.0,-5549.0,0.6100549697875977
-3710.0,-11005.0,-5628.0,0.613853931427002
-8387.0,-4997.0,-7176.0,0.618988037109375
-5277.0,-10088.0,-6778.0,0.629472017288208
-8494.0,-5117.0,-7137.0,0.6377871036529541
-3919.0,-10989.0,-5707.0,0.6445050239562988
-9368.0,-4958.0,-5920.0,0.6489710807800293
-4338.0,-10102.0,-6679.0,0.6541061401367188
-4441.0,-10304.0,-6659.0,0.6592929363250732
-4730.0,-10970.0,-5846.0,0.663444995880127
-8515.0,-5036.0,-7112.0,0.670220136642456
-8540.0,-4477.0,-7018.0,0.6772019863128662
-8591.0,-3965.0,-6981.0,0.6872241497039795
-8706.0,-5383.0,-6881.0,0.691749095916748
-4867.0,-10858.0,-5881.0,0.6967120170593262
-9254.0,-4685.0,-5989.0,0.7010519504547119
-4993.0,-10820.0,-5950.0,0.7056009769439697
-4550.0,-10444.0,-6550.0,0.7102000713348389
-8872.0,-5095.0,-6796.0,0.7161030769348145
-9228.0,-4571.0,-6234.0,0.7214319705963135
-4877.0,-10815.0,-5960.0,0.7256779670715332
-4382.0,-10802.0,-6188.0,0.7300610542297363
-4389.0,-10607.0,-6494.0,0.733896017074585
-8953.0,-5537.0,-6653.0,0.7410581111907959
-8962.0,-4078.0,-6541.0,0.7458391189575195
-9121.0,-4451.0,-6273.0,0.7531530857086182
-9031.0,-5468.0,-6528.0,0.7578411102294922
-4263.0,-10645.0,-6425.0,0.7621419429779053
-9069.0,-4198.0,-6502.0,0.7708101272583008
-6507.0,-6007.0,-8138.0,0.7800991535186768
-6243.0,-6275.0,-8117.0,0.7916829586029053
-9675.0,-5055.0,-4483.0,0.8014891147613525
-9651.0,-4256.0,-4723.0,0.8121039867401123
-9648.0,-4638.0,-4508.0,0.8175971508026123
-5859.0,-6704.0,-8063.0,0.8227570056915283
-6539.0,-6082.0,-8077.0,0.8313760757446289
-9637.0,-5145.0,-4217.0,0.8377270698547363
-9641.0,-4299.0,-4644.0,0.8485090732574463
-5864.0,-6679.0,-8054.0,0.85750412940979
-6668.0,-6166.0,-8041.0,0.8673241138458252
-6278.0,-6430.0,-8032.0,0.8741400241851807
-9620.0,-5323.0,-4039.0,0.8864071369171143
-9597.0,-5244.0,-5203.0,0.9041919708251953
-6740.0,-6909.0,-8025.0,0.9186241626739502
-9635.0,-5090.0,-4224.0,0.9561569690704346
-6293.0,-6184.0,-8057.0,0.9964680671691895
-5576.0,-7567.0,-7972.0,1.0017600059509277
-9532.0,-5831.0,-5084.0,1.0124750137329102
-9507.0,-5951.0,-3836.0,1.0353281497955322
-6847.0,-7029.0,-7986.0,1.042107105255127
-9503.0,-5982.0,-3879.0,1.0990650653839111
-9442.0,-6084.0,-4537.0,1.116866111755371
-7125.0,-5653.0,-7947.0,1.1331181526184082
-6901.0,-7068.0,-7928.0,1.1606559753417969
-7041.0,-5658.0,-7924.0,1.1688449382781982
-6988.0,-5765.0,-7912.0,1.1782400608062744
-7008.0,-7188.0,-7889.0,1.2192151546478271
-7062.0,-5844.0,-7886.0,1.2456610202789307
-5581.0,-7542.0,-7963.0,1.2512450218200684
-7401.0,-5513.0,-7824.0,1.2847261428833008
-7157.0,-5728.0,-7886.0,1.293839931488037
-7629.0,-5124.0,-7809.0,1.3006179332733154
-7465.0,-6675.0,-7795.0,1.3074209690093994
-7148.0,-5778.0,-7885.0,1.3232359886169434
-7566.0,-5414.0,-7746.0,1.413666009902954
-6463.0,-7458.0,-7932.0,1.4287419319152832
-7626.0,-5606.0,-7745.0,1.4469940662384033
-7770.0,-5309.0,-7577.0,1.4613900184631348
-9537.0,-5299.0,-5004.0,1.466844081878662
-7865.0,-5193.0,-7577.0,1.4829051494598389
-9419.0,-5848.0,-4964.0,1.4939351081848145
-7669.0,-6570.0,-7626.0,1.5183980464935303
-9589.0,-4873.0,-5290.0,1.5229229927062988
-6073.0,-8201.0,-7880.0,1.5317339897155762
-7719.0,-5422.0,-7592.0,1.5471069812774658
-7501.0,-6399.0,-7736.0,1.557279109954834
-7358.0,-6555.0,-7834.0,1.567445993423462
-6395.0,-7586.0,-7922.0,1.5740320682525635
-7575.0,-6018.0,-7631.0,1.5945401191711426
-9570.0,-5130.0,-5433.0,1.6067390441894531
-9440.0,-4983.0,-5553.0,1.6357040405273438
-7704.0,-5668.0,-7567.0,1.6635229587554932
-9409.0,-5904.0,-5294.0,1.670375108718872
-5022.0,-11215.0,-4706.0,1.6782050132751465
-5385.0,-11121.0,-4210.0,1.7016870975494385
-6624.0,-7617.0,-7835.0,1.7100889682769775
-7788.0,-5497.0,-7541.0,1.7247059345245361
-9457.0,-5758.0,-5230.0,1.7487280368804932
-6495.0,-7533.0,-7871.0,1.7549090385437012
-9402.0,-6026.0,-4786.0,1.7623331546783447
-6121.0,-8055.0,-7816.0,1.7714929580688477
-9430.0,-4500.0,-5558.0,1.7763681411743164
-9413.0,-5058.0,-5721.0,1.781358003616333
-7046.0,-6949.0,-7826.0,1.800044059753418
