z1,z2,z3
7024.0,6303.0,4366.0
9235.0,4813.0,8359.0
3806.0,9240.0,11107.0
3844.0,9665.0,10809.0
3963.0,9149.0,10536.0
4001.0,9574.0,10238.0
4159.0,9488.0,10008.0
4342.0,9865.0,9225.0
9100.0,4829.0,8437.0
4344.0,10347.0,8527.0
4003.0,9006.0,11179.0
9060.0,4933.0,8723.0
8785.0,5086.0,8883.0
4018.0,8931.0,11241.0
4160.0,8915.0,10608.0
4175.0,8840.0,10670.0
4215.0,8697.0,11313.0
7845.0,5088.0,10076.0
4372.0,8606.0,10742.0
4425.0,8498.0,11116.0
4642.0,10269.0,8056.0
4440.0,8423.0,11178.0
4582.0,8407.0,10545.0
4597.0,8332.0,10607.0
9712.0,4951.0,8077.0
4637.0,8189.0,11250.0
4769.0,8150.0,11125.0
4794.0,8098.0,10679.0
4917.0,7964.0,11437.0
10485.0,4966.0,7800.0
4845.0,10106.0,7880.0
4970.0,7477.0,11494.0
5143.0,10028.0,7409.0
7787.0,5217.0,9657.0
10812.0,5050.0,7176.0
7642.0,5279.0,10405.0
7507.0,5293.0,10092.0
7399.0,5352.0,10235.0
5112.0,6272.0,8494.0
5206.0,6144.0,6728.0
7341.0,5481.0,9816.0
7304.0,5484.0,10421.0
7196.0,5543.0,10564.0
7061.0,5557.0,10251.0
11070.0,5169.0,7052.0
7003.0,5686.0,9832.0
7818.0,5328.0,6130.0
6984.0,9025.0,5531.0
6858.0,5748.0,10580.0
6837.0,9677.0,5688.0
6800.0,5877.0,10161.0
6717.0,9131.0,5794.0
6712.0,5971.0,9682.0
5841.0,9214.0,6690.0
6181.0,6845.0,5902.0
6663.0,6083.0,10428.0
5891.0,9459.0,6646.0
6654.0,6100.0,9263.0
5940.0,9486.0,6428.0
6005.0,9031.0,6405.0
6008.0,9290.0,6281.0
7878.0,5811.0,5085.0
6041.0,9880.0,6259.0
6070.0,9085.0,6232.0
4121.0,9063.0,10306.0
4228.0,8732.0,11044.0
4405.0,9357.0,9443.0
4306.0,9449.0,10078.0
4318.0,8829.0,10378.0
4333.0,8754.0,10440.0
4356.0,9254.0,10080.0
4530.0,8520.0,10512.0
4407.0,9839.0,8745.0
4371.0,9179.0,10142.0
4423.0,9066.0,10175.0
4491.0,9048.0,9915.0
4385.0,8641.0,10473.0
4543.0,8555.0,10243.0
4740.0,8321.0,10315.0
4755.0,8246.0,10377.0
4493.0,9530.0,9217.0
4510.0,9210.0,9788.0
4568.0,8945.0,10214.0
4952.0,8012.0,10449.0
4573.0,8702.0,10006.0
4986.0,7956.0,10341.0
4575.0,9184.0,9308.0
4997.0,7928.0,11169.0
5068.0,7487.0,11354.0
4661.0,8875.0,9780.0
4512.0,9692.0,9090.0
4581.0,8980.0,9945.0
5073.0,7762.0,11024.0
4659.0,8393.0,10478.0
4659.0,8793.0,9951.0
4683.0,8975.0,9622.0
4647.0,9553.0,8438.0
4640.0,9787.0,8754.0
4716.0,8693.0,9685.0
4767.0,8601.0,9550.0
4669.0,9428.0,9088.0
8440.0,5097.0,8942.0
4732.0,8920.0,9306.0
4871.0,8484.0,10085.0
4856.0,8559.0,10023.0
4703.0,9279.0,8972.0
5079.0,7918.0,10784.0
4900.0,8265.0,9869.0
4671.0,9910.0,8390.0
4734.0,8883.0,9487.0
4818.0,9251.0,9274.0
4705.0,9761.0,8274.0
4820.0,9093.0,9080.0
4734.0,9402.0,8608.0
5068.0,8250.0,10157.0
8142.0,5175.0,9413.0
4822.0,9406.0,8163.0
4988.0,8438.0,9643.0
4871.0,8624.0,9535.0
4902.0,8747.0,9171.0
10268.0,4972.0,7968.0
4839.0,9255.0,8953.0
10595.0,5056.0,7344.0
4873.0,9106.0,8837.0
10367.0,4992.0,7925.0
4978.0,8679.0,9320.0
4986.0,9083.0,9074.0
5011.0,8969.0,9141.0
5011.0,8397.0,9383.0
9267.0,5066.0,7693.0
