z1,z2,z3,nondominated
3,7,2,0
4,9,4,0
10,3,8,0
4,10,1,0
2,7,1,1
4,9,1,0
9,4,10,0
3,10,3,0
4,10,4,0
7,4,7,0
7,4,7,0
10,3,8,0
3,8,2,0
10,4,10,0
3,8,1,0
7,3,10,0
3,7,4,0
8,4,9,0
4,9,4,0
9,3,8,0
2,7,2,0
9,1,8,1
3,8,4,0
2,10,2,0
2,9,4,0
8,2,7,1
1,9,4,0
9,2,8,0
1,8,4,0
10,2,7,0
2,7,3,0
3,9,2,0
4,7,4,0
10,4,7,0
7,2,9,0
7,3,7,1
10,1,7,1
3,9,1,0
3,9,2,0
2,10,4,0
9,3,7,0
9,4,8,0
8,2,9,0
9,1,9,0
10,3,7,0
10,2,9,0
2,9,3,0
1,7,4,0
9,2,10,0
8,1,10,0
4,10,3,0
4,10,2,0
9,3,10,0
1,10,1,1
10,4,7,0
4,8,4,0
7,1,9,1
3,10,2,0
2,7,4,0
8,1,10,0
1,7,3,1
10,2,10,0
3,10,4,0
8,1,10,0
11,20,12,0
14,19,12,0
13,19,13,0
12,20,13,0
19,14,17,0
13,19,13,0
17,14,19,0
18,12,20,0
