z1,z2,z3,nondominated
-356,-122,-504,0
-151,-784,-569,0
-431,-963,-801,0
-825,-467,-508,0
-984,-277,-115,1
-728,-501,-524,0
-534,-298,-476,0
-81,-765,-184,0
-403,-742,-324,0
-71,-160,-749,0
-150,-39,-703,0
-224,-325,-932,0
-185,-254,-413,0
-256,-354,-856,0
-699,-676,-723,0
-780,-628,-617,0
-195,-131,-380,0
-575,-327,-518,0
-151,-665,-697,0
-123,-29,-949,0
-163,-607,-752,0
-270,-1000,-548,1
-247,-471,-644,0
-539,-463,-305,0
-446,-71,-832,0
-118,-769,-666,0
-730,-535,-67,0
-615,-678,-742,0
-505,-268,-586,0
-889,-343,-734,0
-497,-640,-586,0
-320,-434,-569,0
-421,-22,-805,0
-583,-710,-253,0
-472,-987,-541,0
-833,-164,-623,0
-324,-974,-208,0
-948,-860,-96,1
-924,-352,-853,1
-235,-725,-633,0
-518,-10,-115,0
-553,-431,-807,0
-797,-965,-425,1
-210,-368,-234,0
-619,-500,-126,0
-728,-502,-512,0
-211,-734,-831,0
-279,-485,-118,0
-352,-49,-341,0
-29,-887,-658,0
-963,-265,-914,1
-183,-670,-189,0
-184,-726,-931,0
-661,-710,-98,0
-102,-747,-657,0
-906,-403,-914,1
-606,-51,-509,0
-316,-955,-444,0
-843,-935,-922,1
-401,-854,-86,0
-882,-72,-773,0
-812,-281,-303,0
-749,-794,-874,0
-385,-841,-624,0
-892,-513,-276,1
-718,-793,-361,0
-402,-18,-179,0
-424,-287,-574,0
-883,-381,-318,0
-103,-360,-539,0
-846,-871,-163,1
-538,-730,-994,0
-841,-38,-580,0
-313,-598,-534,0
-886,-239,-675,0
-367,-436,-897,0
-738,-367,-422,0
-620,-889,-958,0
-776,-798,-362,0
-816,-20,-971,1
-24,-747,-877,0
-451,-427,-127,0
-947,-492,-818,1
-650,-963,-1000,1
-355,-361,-564,0
-67,-601,-939,0
-578,-37,-659,0
-305,-726,-472,0
-304,-796,-152,0
-610,-323,-677,0
-545,-816,-679,0
-378,-934,-931,0
-579,-976,-680,0
-917,-226,-289,0
-757,-989,-858,1
-230,-568,-884,0
-645,-153,-262,0
-881,-13,-567,0
-489,-33,-185,0
-484,-412,-128,0
