z1,z2,z3,node,time,depth
-9990.0,-2245.0,-8960.0,1,0.042233943939208984,1
-5568.0,-7387.0,-4611.0,1,0.042241811752319336,1
-1755.0,-10253.0,-1922.0,1,0.042250871658325195,1
-1728.0,-10188.0,-2170.0,1,0.04225897789001465,1
-2497.0,-9523.0,-3528.0,1,0.042267799377441406,1
-9631.0,-1545.0,-9602.0,1,0.04227590560913086,1
-9924.0,-2205.0,-9243.0,1,0.04228401184082031,1
-10049.0,-1773.0,-9249.0,1,0.042291879653930664,1
-9778.0,-1693.0,-9544.0,1,0.04229998588562012,1
-6771.0,-6169.0,-6307.0,1,0.042308807373046875,1
-7914.0,-4925.0,-7140.0,1,0.04231691360473633,1
-7530.0,-5490.0,-6413.0,1,0.04232597351074219,1
-8325.0,-4586.0,-7039.0,1,0.04233384132385254,1
-3301.0,-9380.0,-2791.0,1,0.04234194755554199,1
-3050.0,-9468.0,-3449.0,1,0.04235100746154785,1
-3063.0,-9494.0,-3303.0,1,0.0423588752746582,1
-2294.0,-10159.0,-1945.0,1,0.042366981506347656,1
-5903.0,-6300.0,-6843.0,1,0.042375802993774414,1
-6408.0,-6622.0,-5664.0,1,0.04238390922546387,1
-4903.0,-7835.0,-5084.0,1,0.04239201545715332,1
-9731.0,-2301.0,-9420.0,1,0.04240083694458008,1
-9626.0,-2003.0,-9590.0,1,0.04240894317626953,1
-9367.0,-1854.0,-9630.0,1,0.04241681098937988,1
-9476.0,-3061.0,-8441.0,1,0.04242587089538574,1
-8306.0,-4079.0,-8436.0,1,0.042433977127075195,1
-7525.0,-4871.0,-7889.0,1,0.04244184494018555,1
-7999.0,-3960.0,-8740.0,1,0.042450904846191406,1
-3900.0,-8895.0,-3832.0,1,0.04245901107788086,1
-4551.0,-8313.0,-4331.0,1,0.04246687889099121,1
-3392.0,-8834.0,-4263.0,1,0.042474985122680664,1
-3829.0,-8190.0,-4959.0,1,0.042482852935791016,1
-3925.0,-7546.0,-5659.0,1,0.042491912841796875,1
-2934.0,-8879.0,-4224.0,1,0.04250001907348633,1
-9642.0,-2193.0,-9557.0,1,0.04250788688659668,1
-10065.0,-1963.0,-9216.0,1,0.04251599311828613,1
-9080.0,-1877.0,-9644.0,1,0.04252481460571289,1
-9220.0,-1673.0,-9643.0,1,0.042532920837402344,1
-9065.0,-3400.0,-8542.0,1,0.0425419807434082,1
-6501.0,-5556.0,-7491.0,1,0.042549848556518555,1
-6738.0,-4767.0,-8120.0,1,0.04255795478820801,1
-7547.0,-4754.0,-8040.0,1,0.04256701469421387,1
-7369.0,-4879.0,-7968.0,1,0.04257488250732422,1
-3709.0,-8994.0,-3906.0,1,0.042584896087646484,1
-5466.0,-6944.0,-6147.0,1,0.04259300231933594,1
-4229.0,-8235.0,-4792.0,1,0.042601823806762695,1
-8871.0,-3194.0,-9100.0,1,0.04260993003845215,1
-8883.0,-2139.0,-9593.0,1,0.0426177978515625,1
-9309.0,-2214.0,-9553.0,1,0.04262590408325195,1
-9742.0,-2166.0,-9486.0,1,0.042634010314941406,1
-9854.0,-1841.0,-9460.0,1,0.042642831802368164,1
-9872.0,-2059.0,-9393.0,1,0.04265093803405762,1
-9337.0,-2984.0,-8890.0,1,0.04265880584716797,1
-9219.0,-3089.0,-8911.0,1,0.04266691207885742,1
-9144.0,-3080.0,-9067.0,1,0.042675018310546875,1
-7155.0,-5604.0,-7034.0,1,0.04268383979797363,1
-6549.0,-6039.0,-6847.0,1,0.042691946029663086,1
-5860.0,-6898.0,-5948.0,1,0.04269981384277344,1
-5200.0,-7607.0,-5275.0,1,0.04270792007446289,1
-6371.0,-6164.0,-6775.0,1,0.042716026306152344,1
-5682.0,-7023.0,-5876.0,1,0.042723894119262695,1
-6776.0,-6124.0,-5700.0,2,0.10367894172668457,2
-8790.0,-1891.0,-9598.0,2,0.10370397567749023,2
-6311.0,-6450.0,-6134.0,2,0.10381102561950684,2
-8839.0,-3770.0,-7558.0,2,0.1038198471069336,2
-8165.0,-4544.0,-7113.0,2,0.1038358211517334,2
-7084.0,-5017.0,-7841.0,2,0.10385298728942871,2
-8036.0,-4624.0,-7244.0,2,0.10387802124023438,2
-9187.0,-3099.0,-8646.0,2,0.10388588905334473,2
-9458.0,-1738.0,-9610.0,2,0.10389399528503418,2
-6020.0,-6900.0,-5100.0,2,0.10396695137023926,2
-5654.0,-7256.0,-4951.0,2,0.10398387908935547,2
-7241.0,-3672.0,-8783.0,2,0.10399985313415527,2
-8831.0,-2218.0,-9514.0,2,0.10400795936584473,2
-7959.0,-2984.0,-9154.0,2,0.10402488708496094,2
-7033.0,-4436.0,-8365.0,2,0.10404086112976074,2
-5644.0,-6819.0,-6219.0,2,0.1040489673614502,2
-6081.0,-6175.0,-6915.0,2,0.10405683517456055,2
-9915.0,-2236.0,-9116.0,2,0.10407400131225586,2
-9352.0,-2734.0,-9058.0,2,0.10408186912536621,2
-9156.0,-2915.0,-9010.0,2,0.10408997535705566,2
-6642.0,-5753.0,-7114.0,2,0.10412287712097168,2
-7094.0,-4740.0,-8112.0,2,0.10413098335266113,2
-7956.0,-4251.0,-8201.0,2,0.10414695739746094,2
-7282.0,-4764.0,-8038.0,2,0.1041560173034668,2
-9112.0,-3090.0,-8802.0,2,0.10417294502258301,2
-8392.0,-4003.0,-8020.0,2,0.10418081283569336,2
-7241.0,-5528.0,-6618.0,2,0.10420489311218262,2
-7406.0,-5223.0,-7007.0,2,0.10421395301818848,2
-9935.0,-2070.0,-9309.0,3,0.16491484642028809,2
-9919.0,-1880.0,-9342.0,3,0.16492295265197754,2
-5497.0,-7351.0,-5305.0,3,0.16501402854919434,2
-9726.0,-1976.0,-9519.0,3,0.1650388240814209,2
-4606.0,-7640.0,-5251.0,3,0.16506385803222656,2
-4726.0,-8068.0,-4186.0,3,0.16517186164855957,2
-5319.0,-7476.0,-5233.0,3,0.16517996788024902,2
-6648.0,-5592.0,-7365.0,3,0.1652209758758545,2
-5778.0,-6379.0,-6576.0,3,0.1652369499206543,2
-4917.0,-7969.0,-4112.0,3,0.1652698516845703,2
-7519.0,-5132.0,-6971.0,4,0.226456880569458,3
-8670.0,-3607.0,-8373.0,4,0.22647380828857422,3
-8311.0,-4253.0,-7395.0,4,0.2265489101409912,3
-9462.0,-2728.0,-8797.0,4,0.22666501998901367,3
-9947.0,-2068.0,-9237.0,4,0.22668194770812988,3
-5256.0,-6273.0,-6853.0,4,0.22670602798461914,3
-5978.0,-5317.0,-7663.0,4,0.22672200202941895,3
-5758.0,-6923.0,-5685.0,4,0.2267899513244629,3
-5369.0,-7482.0,-4601.0,4,0.22679781913757324,3
-4587.0,-8223.0,-4279.0,4,0.2268059253692627,3
-4541.0,-8081.0,-4818.0,4,0.22683095932006836,3
-6799.0,-5487.0,-7286.0,4,0.22684693336486816,3
-2894.0,-9585.0,-2708.0,5,0.28264689445495605,3
-4138.0,-7776.0,-5319.0,5,0.28267979621887207,3
-3701.0,-8420.0,-4623.0,5,0.2826879024505615,3
-8118.0,-3648.0,-8705.0,5,0.282728910446167,3
-7134.0,-4529.0,-8186.0,5,0.28281092643737793,3
-4540.0,-8288.0,-4441.0,5,0.2828848361968994,3
-5637.0,-6963.0,-5971.0,5,0.28299999237060547,3
-6879.0,-6072.0,-5914.0,6,0.3356189727783203,3
-7268.0,-5513.0,-6998.0,6,0.335644006729126,3
