z1,z2,z3,nondominated
-974,-424,-341,1
-373,-624,-889,1
-818,-674,-498,1
-926,-163,-564,1
-184,-963,-472,1
-722,-281,-832,1
-519,-419,-930,1
-750,-650,-641,1
-50,-880,-605,0
-772,-788,-216,1
-696,-832,-409,1
-349,-975,-416,1
-961,-483,-313,1
-769,-741,-480,1
-853,-669,-404,1
-890,-145,-627,1
-417,-523,-928,1
-470,-643,-850,1
-447,-481,-936,1
-292,-575,-925,1
-614,-874,-47,1
-469,-881,-591,1
-510,-735,-760,1
-60,-888,-595,0
-781,-730,-26,1
-546,-647,-814,1
-532,-630,-833,1
-981,-281,-418,1
-53,-664,-844,0
-433,-970,-148,1
-454,-968,-325,1
-761,-778,-100,0
-383,-726,-815,1
-442,-466,-943,1
-777,-472,-736,1
-719,-794,-33,0
-922,-553,-387,1
-699,-268,-851,1
-648,-848,-34,1
-331,-820,-731,1
-301,-940,-541,1
-965,-187,-469,1
-790,-369,-758,1
-659,-767,-610,1
-698,-520,-789,1
-348,-185,-991,1
-592,-516,-862,1
-222,-866,-677,1
-934,-531,-122,1
-771,-785,-178,0
-642,-410,-869,1
-761,-790,-351,1
-609,-102,-892,1
-50,-850,-653,0
-452,-808,-710,1
-337,-650,-879,1
-516,-948,-317,1
-256,-999,-296,1
-695,-812,-472,1
-600,-883,-449,1
-846,-679,-405,1
-851,-215,-697,1
-677,-509,-810,1
-976,-280,-435,1
-653,-764,-619,1
-955,-102,-457,0
-456,-666,-840,1
-754,-806,-272,1
-927,-549,-126,1
-879,-627,-408,1
-342,-908,-599,1
-214,-750,-808,1
-556,-313,-932,1
-434,-467,-944,1
-341,-702,-842,1
-715,-813,-424,1
-557,-713,-755,1
-575,-464,-892,1
-224,-809,-750,1
-968,-209,-465,1
-849,-388,-680,1
-699,-782,-531,1
-818,-720,-112,1
-897,-592,-416,1
-802,-706,-27,0
-449,-298,-972,1
-987,-294,-381,1
-508,-949,-341,1
-959,-459,-126,0
-313,-306,-995,1
-285,-991,-360,1
-513,-493,-909,1
-986,-330,-373,1
-727,-435,-799,1
-228,-324,-996,1
-666,-553,-796,1
-892,-544,-503,1
-180,-991,-339,0
-733,-619,-691,1
-408,-315,-980,1
-759,-797,-314,1
-510,-225,-953,1
-686,-795,-525,1
-610,-32,-871,1
-750,-773,-53,0
-1000,-269,-239,1
-528,-579,-865,1
-265,-891,-640,1
-132,-681,-853,1
-708,-734,-596,1
-62,-881,-609,0
-386,-447,-961,1
-991,-236,-368,1
-485,-954,-145,1
-532,-467,-911,1
-122,-526,-936,1
-452,-815,-701,1
-616,-571,-821,1
-42,-773,-746,0
-998,-213,-298,1
-641,-423,-867,1
