z1,z2,z3,node,time,depth
-4363.0,-8987.0,-6846.0,1,0.9313879013061523,1
-7280.0,-9028.0,-2377.0,1,0.9314010143280029,1
-5358.0,-9783.0,-4289.0,1,0.9314138889312744,1
-4523.0,-9709.0,-5057.0,1,0.931427001953125,1
-4962.0,-9431.0,-5860.0,1,0.9314398765563965,1
-4937.0,-9629.0,-5389.0,1,0.9314529895782471,1
-4522.0,-4752.0,-10200.0,1,0.9314661026000977,1
-4497.0,-8730.0,-7348.0,1,0.9314789772033691,1
-4639.0,-8674.0,-7387.0,1,0.9314920902252197,1
-3677.0,-7252.0,-8905.0,1,0.9315049648284912,1
-7207.0,-3641.0,-9388.0,1,0.9315190315246582,1
-3629.0,-5553.0,-10061.0,1,0.9315319061279297,1
-5228.0,-3703.0,-10173.0,1,0.9315450191497803,1
-6174.0,-3543.0,-9960.0,1,0.9315578937530518,1
-5885.0,-4092.0,-10041.0,1,0.9315710067749023,1
-5152.0,-4451.0,-10148.0,1,0.9315838813781738,1
-5882.0,-4223.0,-10017.0,1,0.9315969944000244,1
-9730.0,-5087.0,-5217.0,1,0.9316098690032959,1
-6925.0,-9183.0,-3160.0,1,0.9316229820251465,1
-7453.0,-8886.0,-3063.0,1,0.9316360950469971,1
-8154.0,-8227.0,-2908.0,1,0.931649923324585,1
-8106.0,-8169.0,-3983.0,1,0.9316630363464355,1
-7974.0,-8442.0,-3305.0,1,0.931675910949707,1
-8156.0,-8152.0,-3779.0,1,0.9316890239715576,1
-3809.0,-5571.0,-10031.0,1,0.9317018985748291,1
-3707.0,-6541.0,-9512.0,1,0.9317150115966797,1
-3527.0,-6523.0,-9542.0,1,0.9317278861999512,1
-2907.0,-6898.0,-9273.0,1,0.9317409992218018,1
-3087.0,-6916.0,-9243.0,1,0.9317538738250732,1
-3680.0,-8080.0,-8143.0,1,0.9317679405212402,1
-3057.0,-7627.0,-8636.0,1,0.9317810535430908,1
-2877.0,-7609.0,-8666.0,1,0.9317939281463623,1
-7076.0,-3641.0,-9485.0,1,0.9318070411682129,1
-4330.0,-6994.0,-9019.0,1,0.9318199157714844,1
-4300.0,-7705.0,-8412.0,1,0.931833028793335,1
-7812.0,-8579.0,-3557.0,1,0.9318459033966064,1
-5683.0,-8076.0,-7503.0,1,0.931859016418457,1
-5076.0,-9026.0,-6667.0,1,0.9318718910217285,1
-5372.0,-9446.0,-5806.0,1,0.9318850040435791,1
-5218.0,-8970.0,-6706.0,1,0.9318978786468506,1
-5452.0,-9212.0,-6208.0,1,0.9319109916687012,1
-6290.0,-9098.0,-5636.0,1,0.9319238662719727,1
-5919.0,-9641.0,-3591.0,1,0.9319369792938232,1
-5594.0,-9667.0,-4734.0,1,0.9319489002227783,1
-6524.0,-9138.0,-4935.0,1,0.9319629669189453,1
-6159.0,-9234.0,-5406.0,1,0.9319849014282227,1
-5697.0,-9624.0,-4751.0,1,0.9319939613342285,1
-4091.0,-4828.0,-10216.0,1,0.9320039749145508,1
-4342.0,-4734.0,-10230.0,1,0.9320130348205566,1
-4936.0,-4071.0,-10224.0,1,0.9320230484008789,1
-4704.0,-4455.0,-10238.0,1,0.9320318698883057,1
-4952.0,-4327.0,-10212.0,1,0.9320409297943115,1
-4884.0,-4473.0,-10208.0,1,0.9320509433746338,1
-9763.0,-3940.0,-5907.0,1,0.9320600032806396,1
-7758.0,-8662.0,-3152.0,1,0.9320690631866455,1
-8922.0,-7174.0,-2829.0,1,0.9320778846740723,1
-8716.0,-7369.0,-4220.0,1,0.9320878982543945,1
-8309.0,-7867.0,-4182.0,1,0.9320969581604004,1
-8511.0,-7746.0,-3150.0,1,0.9321069717407227,1
-8513.0,-7671.0,-4021.0,1,0.9321160316467285,1
-8331.0,-7961.0,-3547.0,1,0.9321250915527344,1
-7893.0,-8017.0,-4969.0,1,0.9321348667144775,1
-8300.0,-7519.0,-5007.0,1,0.9321439266204834,1
-9607.0,-5665.0,-4890.0,1,0.9321529865264893,1
-9457.0,-5836.0,-5084.0,1,0.9321630001068115,1
-6512.0,-5929.0,-8883.0,1,0.9321730136871338,1
-6125.0,-7043.0,-8278.0,1,0.9321820735931396,1
-6145.0,-8005.0,-7284.0,1,0.9321920871734619,1
-5552.0,-8608.0,-7008.0,1,0.9322009086608887,1
-6195.0,-8601.0,-6585.0,1,0.9322099685668945,1
-6041.0,-9183.0,-5918.0,1,0.9322190284729004,1
-7037.0,-8671.0,-5306.0,1,0.9322290420532227,1
-7828.0,-8344.0,-4332.0,1,0.9322381019592285,1
-4790.0,-4730.0,-10140.0,1,0.9322469234466553,1
-4905.0,-7746.0,-8248.0,1,0.9322569370269775,1
-4393.0,-6481.0,-9409.0,1,0.9322659969329834,1
-4928.0,-6832.0,-8986.0,1,0.9322750568389893,1
-7134.0,-3928.0,-9428.0,1,0.932283878326416,1
-6682.0,-3653.0,-9731.0,1,0.9322938919067383,1
-6393.0,-4202.0,-9812.0,1,0.9323029518127441,1
-6262.0,-8372.0,-6822.0,1,0.9323129653930664,1
-4973.0,-8312.0,-7689.0,1,0.9323220252990723,1
-5566.0,-7709.0,-7965.0,1,0.9323310852050781,1
-5520.0,-7145.0,-8519.0,1,0.9323410987854004,1
-6208.0,-9488.0,-4088.0,1,0.9323499202728271,1
-7507.0,-8803.0,-3468.0,1,0.932358980178833,1
-7057.0,-8900.0,-4485.0,1,0.9323689937591553,1
-7470.0,-8638.0,-4396.0,1,0.9323780536651611,1
-6823.0,-8860.0,-5186.0,1,0.9323868751525879,1
-7349.0,-5270.0,-8626.0,1,0.9323959350585938,1
-7548.0,-5274.0,-8421.0,1,0.932405948638916,1
-7101.0,-4839.0,-9081.0,1,0.9324150085449219,1
-4756.0,-4053.0,-10254.0,1,0.9324240684509277,1
-5874.0,-6086.0,-9167.0,1,0.9324328899383545,1
-9811.0,-4105.0,-5504.0,1,0.9324429035186768,1
-9781.0,-4928.0,-4801.0,1,0.932452917098999,1
-9851.0,-4413.0,-4910.0,1,0.9324619770050049,1
-9782.0,-4641.0,-5469.0,1,0.9324710369110107,1
-9587.0,-4954.0,-5680.0,1,0.9324800968170166,1
-9535.0,-5400.0,-5428.0,1,0.9324898719787598,1
-8314.0,-4862.0,-7843.0,1,0.9324989318847656,1
-9145.0,-4414.0,-6948.0,1,0.9325089454650879,1
-7862.0,-8562.0,-3353.0,1,0.9325180053710938,1
-7814.0,-8609.0,-2855.0,1,0.932528018951416,1
-9200.0,-6643.0,-3573.0,1,0.9325380325317383,1
-9483.0,-6053.0,-4393.0,1,0.9325470924377441,1
-9182.0,-6637.0,-3869.0,1,0.9325568675994873,1
-8381.0,-6402.0,-6567.0,1,0.9325659275054932,1
-9303.0,-5522.0,-5767.0,1,0.932574987411499,1
-8575.0,-6603.0,-5945.0,1,0.9325850009918213,1
-8462.0,-6958.0,-5699.0,1,0.9325940608978271,1
-8840.0,-6981.0,-4717.0,1,0.9326040744781494,1
-6769.0,-5520.0,-8979.0,1,0.9326128959655762,1
-6970.0,-4839.0,-9178.0,1,0.9326229095458984,1
-6879.0,-6316.0,-8383.0,1,0.9326319694519043,1
-7410.0,-7729.0,-6342.0,1,0.9326410293579102,1
-7943.0,-6536.0,-7063.0,1,0.9326510429382324,1
-7768.0,-6735.0,-7051.0,1,0.9326598644256592,1
-7010.0,-7466.0,-7118.0,1,0.932668924331665,1
-7962.0,-7315.0,-6122.0,1,0.9326789379119873,1
-7343.0,-7958.0,-6105.0,1,0.9326879978179932,1
-7625.0,-8252.0,-5053.0,1,0.9326980113983154,1
-7573.0,-7833.0,-5916.0,1,0.9327070713043213,1
-7353.0,-8258.0,-5550.0,1,0.932715892791748,1
-4415.0,-6310.0,-9528.0,1,0.9327259063720703,1
-4077.0,-5549.0,-9971.0,1,0.9327349662780762,1
-7012.0,-4554.0,-9291.0,1,0.932744026184082,1
-6955.0,-4010.0,-9532.0,1,0.9327540397644043,1
-6824.0,-4010.0,-9629.0,1,0.9328389167785645,1
-8403.0,-5300.0,-7486.0,1,0.9328489303588867,1
-8270.0,-5534.0,-7492.0,1,0.9328579902648926,1
-8745.0,-3588.0,-7870.0,1,0.9328670501708984,1
-4424.0,-4495.0,-10240.0,1,0.9328770637512207,1
-4394.0,-4332.0,-10246.0,1,0.9328858852386475,1
-6113.0,-6460.0,-8779.0,1,0.9328949451446533,1
-5508.0,-6562.0,-9020.0,1,0.9329049587249756,1
-5627.0,-6432.0,-9057.0,1,0.9329140186309814,1
-5103.0,-6036.0,-9468.0,1,0.9329230785369873,1
-4954.0,-6237.0,-9406.0,1,0.9329319000244141,1
-5952.0,-4595.0,-9836.0,1,0.9329419136047363,1
-5331.0,-5470.0,-9665.0,1,0.9329509735107422,1
-9053.0,-4377.0,-7114.0,1,0.9329609870910645,1
-8736.0,-5298.0,-7008.0,1,0.9329700469970703,1
-9034.0,-6525.0,-5050.0,1,0.9329788684844971,1
-9225.0,-5958.0,-5423.0,1,0.9329888820648193,1
-8230.0,-7080.0,-6038.0,1,0.9329979419708252,1
-7497.0,-6562.0,-7519.0,1,0.9330079555511475,1
