z1,z2,z3,nondominated
-1900,-1332,-1782,0
-1768,-1221,-1675,0
-1089,-1821,-1026,0
-1231,-1751,-1152,0
-1334,-1766,-1167,1
-1843,-1046,-1935,0
-1724,-1236,-1856,0
-1167,-1738,-1250,0
-1026,-1857,-1075,0
-1719,-1275,-1809,0
-1703,-1132,-1840,0
-1038,-1967,-1311,1
-1300,-1929,-1051,1
-1951,-1078,-1947,0
-1089,-1873,-1156,0
-1048,-1993,-1133,1
-1673,-1142,-1881,0
-1024,-1838,-1062,0
-1160,-1834,-1244,0
-1786,-1189,-1900,0
-1292,-1751,-1257,0
-1214,-1861,-1298,0
-1754,-1073,-1682,0
-1828,-1280,-1806,0
-1884,-1327,-1881,0
-1706,-1030,-1815,0
-1758,-1171,-1957,0
-1720,-1020,-1889,0
-1221,-1827,-1247,0
-1191,-1895,-1298,0
-1983,-1244,-1693,0
-1118,-1940,-1026,0
-1827,-1193,-1755,0
-1796,-1124,-1986,1
-1887,-1119,-1973,0
-1997,-1152,-1678,0
-1905,-1088,-1832,0
-1714,-1217,-1883,0
-1014,-1700,-1177,0
-1925,-1296,-1809,1
-1667,-1144,-1734,0
-1031,-1747,-1292,0
-1950,-1215,-1732,0
-1319,-1921,-1320,1
-1226,-1851,-1048,0
-1929,-1274,-1740,1
-1719,-1092,-1726,0
-1236,-1755,-1169,0
-1922,-1269,-1867,1
-1770,-1228,-1675,0
-1092,-1917,-1251,0
-1731,-1160,-1954,0
-1811,-1222,-1950,1
-1313,-1907,-1252,0
-1264,-1957,-1067,1
-1824,-1045,-1993,1
-1018,-1890,-1013,0
-1020,-1666,-1071,0
-1119,-1687,-1051,0
-1916,-1333,-1934,1
-1885,-1060,-1839,0
-1932,-1115,-1723,0
-1755,-1283,-1786,0
-1073,-1923,-1104,0
-1021,-1851,-1280,0
-1931,-1053,-1791,0
-1686,-1170,-1850,0
-1789,-1028,-1848,0
-1141,-1956,-1180,1
-1782,-1135,-1743,0
-1030,-1865,-1106,0
-1727,-1070,-1806,0
-1758,-1171,-1957,0
-1683,-1055,-1674,0
-1206,-1672,-1139,0
-1817,-1077,-1852,0
-1715,-1235,-1923,0
-1705,-1115,-1929,0
-1115,-1968,-1097,1
-1021,-1965,-1027,0
-1331,-1873,-1086,1
-1063,-1919,-1265,0
-1706,-1100,-1778,0
-1882,-1262,-1743,0
-1239,-1745,-1079,0
-1987,-1265,-1869,1
-1965,-1217,-1713,0
-1951,-1109,-1937,0
-1974,-1011,-1845,0
-1927,-1211,-1956,1
-1901,-1144,-1670,0
-1160,-1969,-1051,1
-1955,-1137,-1974,1
-1223,-1667,-1173,0
-1080,-1710,-1077,0
-1997,-1221,-1804,1
-1151,-1958,-1121,1
-1925,-1326,-1796,1
-1269,-1740,-1277,0
-1328,-1679,-1025,0
-1831,-1124,-1904,0
-1766,-1078,-1890,0
-1710,-1311,-1781,0
-1057,-1680,-1324,1
-1126,-1966,-1297,1
-1752,-1172,-1797,0
-1217,-1773,-1041,0
-1082,-1792,-1182,0
-1037,-1863,-1194,0
-1777,-1165,-1791,0
-1265,-1797,-1058,0
-1871,-1219,-1783,0
-1284,-1956,-1016,1
-1940,-1155,-1917,1
-1877,-1203,-1870,0
-1256,-1771,-1273,0
-1264,-1814,-1148,0
-1893,-1147,-1692,0
-1201,-1825,-1027,0
-1176,-1885,-1323,1
-1963,-1252,-1730,0
