z1,z2,z3,nondominated
-1437,-1633,-1629,0
-1726,-1345,-1502,0
-1171,-1212,-1691,0
-1008,-1448,-1026,0
-1100,-1136,-1902,0
-1113,-1319,-1330,0
-1201,-1168,-1484,0
-1688,-1809,-1424,0
-1509,-1140,-1572,0
-1703,-1468,-1111,0
-1862,-1331,-1474,0
-1268,-1663,-1373,0
-1643,-1866,-1051,0
-1885,-1676,-1013,0
-1214,-1003,-1413,0
-1616,-1485,-1839,0
-1691,-1045,-1635,0
-1246,-1114,-1925,0
-1308,-1108,-1099,0
-1345,-1124,-1498,0
-1306,-1661,-1400,0
-1749,-1638,-1318,0
-1878,-1443,-1368,0
-1379,-1410,-1579,0
-1529,-1518,-1172,0
-1164,-1482,-1337,0
-1887,-1265,-1794,0
-1022,-1035,-1733,0
-1082,-1424,-1884,0
-1298,-1265,-1934,0
-1704,-1373,-1880,1
-1632,-1609,-1358,0
-1493,-1575,-1200,0
-1679,-1897,-1595,0
-1337,-1902,-1080,0
-1824,-1396,-1648,0
-1260,-1414,-1668,0
-1993,-1899,-1527,1
-1570,-1085,-1465,0
-1741,-1105,-1813,0
-1610,-1888,-1650,0
-1518,-1421,-1525,0
-1179,-1153,-1549,0
-1854,-1473,-1310,0
-1736,-1060,-1561,0
-1810,-1323,-1737,0
-1563,-1087,-1052,0
-1525,-1691,-1687,0
-1281,-1566,-1906,0
-1149,-1424,-1327,0
-1031,-1587,-1757,0
-1103,-1045,-1634,0
-1364,-1515,-1495,0
-1638,-1757,-1928,1
-1407,-1813,-1744,0
-1176,-1261,-1809,0
-1683,-1831,-1653,0
-1724,-1730,-1081,0
-1172,-1189,-1698,0
-1586,-1736,-1556,0
-1837,-1190,-1620,0
-1838,-1926,-1778,1
-1965,-1702,-1480,0
-1779,-1833,-1764,0
-1119,-1930,-1672,0
-1207,-1678,-1300,0
-1359,-1044,-1051,0
-1173,-1292,-1246,0
-1029,-1722,-1304,0
-1470,-1448,-1521,0
-1429,-1607,-1658,0
-1107,-1787,-1310,0
-1232,-1890,-1141,0
-1494,-1957,-1661,1
-1632,-1118,-1239,0
-1134,-1966,-1926,1
-1381,-1798,-1495,0
-1663,-1493,-1746,0
-1539,-1597,-1716,0
-1280,-1317,-1773,0
-1945,-1590,-1662,1
-1642,-1369,-1087,0
-1777,-1017,-1830,1
-1322,-1604,-1875,0
-1461,-1576,-1241,0
-1954,-1814,-1266,0
-1292,-1723,-1150,0
-1902,-1879,-1455,0
-1141,-1815,-1570,0
-1504,-1138,-1203,0
-1253,-1651,-1281,0
-1791,-1866,-1713,0
-1775,-1620,-1642,0
-1218,-1664,-1624,0
-1193,-1332,-1724,0
-1582,-1899,-1910,1
-1397,-1010,-1880,0
-1652,-1484,-1554,0
-1605,-1550,-1789,0
-1066,-1906,-1407,0
-1863,-1294,-1612,0
-1036,-1779,-1995,1
-1139,-1215,-1946,0
-1469,-1741,-1771,0
-1802,-1465,-1122,0
-1928,-1575,-1827,1
-1277,-1845,-1144,0
-1734,-1054,-1908,1
-1699,-1705,-1512,0
-1742,-1007,-1259,0
-1705,-1357,-1986,1
-1669,-1039,-1350,0
-1682,-1916,-1354,0
-1076,-1499,-1918,0
-1706,-1396,-1719,0
-1465,-1830,-1246,0
-1104,-1126,-1926,0
-1025,-1632,-1576,0
-1085,-1700,-1589,0
-1504,-1075,-1975,0
-1583,-1841,-1872,1
