z1,z2,z3,nondominated
-1625,-1110,-1380,1
-1406,-1098,-1888,1
-1294,-1476,-1221,1
-1882,-1054,-1504,1
-1534,-1595,-1049,1
-1621,-1033,-1572,1
-1340,-1136,-1882,1
-1238,-1914,-1227,0
-1297,-1907,-1173,1
-1123,-1360,-1620,1
-1187,-1578,-1285,1
-1719,-1049,-1486,0
-1377,-1428,-1185,1
-1543,-1318,-1173,1
-1673,-1777,-1004,1
-1741,-1643,-1008,1
-1906,-1275,-1191,1
-1114,-1966,-1417,1
-1856,-1624,-1018,1
-1430,-1107,-1534,1
-1417,-1083,-1830,1
-1212,-1950,-1268,1
-1104,-1371,-1714,1
-1216,-1678,-1228,0
-1269,-1195,-1599,1
-1118,-1438,-1493,1
-1266,-1220,-1966,1
-1183,-1906,-1284,1
-1382,-1165,-1457,1
-1710,-1528,-1035,1
-1196,-1303,-1514,1
-1071,-1467,-1602,0
-1210,-1230,-1763,1
-1649,-1681,-1010,1
-1794,-1576,-1022,1
-1107,-1814,-1370,0
-1360,-1245,-1357,1
-1813,-1575,-1023,1
-1325,-1459,-1205,1
-1107,-1378,-1650,1
-1030,-1558,-1667,1
-1390,-1098,-1664,0
-1362,-1232,-1371,1
-1236,-1877,-1219,0
-1700,-1007,-1663,1
-1622,-1681,-1014,1
-1231,-1375,-1359,1
-1118,-1350,-1803,1
-1772,-1017,-1592,1
-1156,-1656,-1301,1
-1531,-1050,-1595,1
-1845,-1637,-1015,1
-1144,-1725,-1308,1
-1675,-1537,-1035,1
-1327,-1759,-1131,1
-1386,-1212,-1375,1
-1120,-1458,-1467,1
-1534,-1033,-1716,1
-1334,-1295,-1323,1
-1886,-1221,-1236,0
-1181,-1878,-1278,0
-1576,-1029,-1864,1
-1737,-1293,-1156,1
-1932,-1407,-1108,1
-1388,-1099,-1660,1
-1434,-1672,-1074,1
-1708,-1703,-1003,1
-1050,-1773,-1481,1
-1460,-1123,-1458,1
-1176,-1277,-1654,1
-1174,-1270,-1750,1
-1853,-1343,-1128,1
-1448,-1109,-1503,1
-1530,-1780,-1034,1
-1403,-1288,-1272,1
-1251,-1942,-1224,0
-1237,-1718,-1204,0
-1665,-1025,-1578,1
-1472,-1058,-1831,1
-1340,-1559,-1152,1
-1712,-1001,-1761,1
-1697,-1372,-1104,0
-1854,-1623,-1018,0
-1578,-1021,-1707,1
-1692,-1057,-1470,1
-1100,-1957,-1438,1
-1081,-1912,-1451,1
-1854,-1623,-1018,0
-1849,-1400,-1094,0
-1112,-1358,-1708,1
-1081,-1506,-1513,1
-1819,-1390,-1095,0
-1328,-1708,-1132,1
-1337,-1430,-1212,1
-1835,-1411,-1086,1
-1761,-1679,-1003,1
-1927,-1221,-1249,1
-1905,-1527,-1051,1
-1080,-1467,-1934,1
-1095,-1542,-1450,1
-1180,-1810,-1266,0
-1011,-1667,-1654,1
-1841,-1608,-1019,1
-1646,-1125,-1349,1
-1445,-1350,-1194,1
-1008,-1697,-1654,1
-1031,-1704,-1540,1
-1672,-1004,-1753,1
-1803,-1473,-1055,1
-1545,-1186,-1300,1
-1595,-1064,-1490,1
-1263,-1986,-1230,1
-1401,-1565,-1113,1
-1145,-1327,-1881,1
-1166,-1457,-1381,1
-1258,-1639,-1195,0
-1658,-1279,-1174,1
-1081,-1469,-1558,1
-1784,-1363,-1109,1
-1195,-1536,-1293,1
-1413,-1822,-1084,1
