z1,z2,z3,nondominated
-703,-357,-114,0
-183,-490,-336,1
-192,-886,-270,0
-428,-107,-542,1
-144,-493,-393,0
-162,-758,-286,0
-41,-869,-541,1
-549,-826,-32,1
-276,-929,-198,0
-280,-706,-169,0
-902,-412,-99,1
-825,-130,-336,0
-479,-689,-55,1
-929,-145,-346,1
-23,-638,-610,1
-562,-352,-145,0
-343,-509,-170,1
-222,-515,-274,1
-599,-350,-135,0
-121,-398,-955,1
-775,-24,-570,0
-493,-232,-275,1
-187,-925,-288,0
-278,-191,-589,1
-124,-555,-389,1
-193,-254,-821,1
-73,-431,-730,1
-113,-381,-609,0
-590,-24,-660,1
-176,-503,-337,1
-744,-236,-205,0
-464,-260,-261,1
-513,-144,-380,1
-439,-86,-904,1
-120,-467,-462,1
-206,-774,-235,0
-286,-230,-476,1
-86,-404,-749,1
-326,-522,-176,0
-245,-215,-609,0
-363,-617,-123,1
-363,-241,-360,1
-423,-544,-108,1
-141,-961,-369,1
-133,-695,-329,0
-685,-740,-4,1
-464,-98,-519,1
-288,-169,-654,0
-681,-201,-245,1
-67,-483,-904,1
-253,-456,-273,1
-287,-989,-212,0
-230,-211,-771,0
-580,-68,-491,1
-274,-699,-174,0
-575,-29,-849,1
-429,-175,-394,1
-388,-459,-162,1
-639,-21,-620,1
-266,-179,-716,0
-8,-653,-771,1
-703,-357,-114,0
-253,-190,-751,0
-69,-444,-802,1
-387,-97,-697,1
-212,-648,-239,0
-95,-514,-474,1
-815,-194,-252,1
-326,-522,-176,0
-240,-205,-690,0
-615,-33,-583,1
-201,-259,-615,1
-108,-417,-557,1
-81,-587,-455,1
-315,-581,-164,1
-181,-802,-266,0
-144,-850,-321,1
-146,-668,-315,1
-230,-231,-895,0
-712,-411,-83,0
-200,-991,-302,1
-490,-379,-154,1
-396,-103,-621,1
-219,-416,-341,1
-979,-369,-148,1
-89,-403,-695,1
-326,-133,-763,0
-778,-103,-373,0
-689,-292,-160,1
-836,-238,-210,1
-195,-297,-533,1
-517,-58,-918,1
-527,-111,-429,1
-36,-526,-778,1
-366,-530,-146,1
-328,-201,-466,1
-664,-87,-413,1
-34,-536,-799,1
-754,-109,-363,0
-541,-110,-423,1
-275,-224,-992,1
-225,-885,-234,1
-739,-72,-432,1
-442,-262,-273,1
-215,-897,-247,1
-741,-76,-424,1
-816,-235,-210,0
-217,-314,-455,1
-601,-71,-472,1
-346,-329,-281,1
-333,-270,-354,1
-705,-9,-654,1
-595,-630,-27,1
-829,-88,-408,1
-275,-733,-171,0
-676,-5,-740,1
-660,-109,-374,0
-211,-232,-699,0
-259,-668,-191,0
-312,-142,-752,0
-847,-378,-107,1
-562,-611,-39,1
-409,-175,-413,1
-364,-108,-762,1
-541,-620,-43,1
-442,-265,-270,1
-218,-652,-232,0
-270,-762,-175,0
-256,-233,-972,1
-231,-283,-478,1
-508,-61,-582,1
-489,-240,-268,1
-346,-395,-230,1
-167,-297,-879,1
-384,-365,-223,1
-604,-17,-705,1
-472,-407,-145,1
-95,-464,-526,1
-409,-807,-86,1
-449,-305,-228,1
-558,-259,-218,1
-434,-389,-175,1
-445,-70,-678,1
-461,-929,-83,1
-815,-249,-197,1
-629,-234,-221,1
-852,-28,-577,1
-223,-223,-676,0
-466,-129,-443,1
-383,-104,-655,1
-144,-493,-393,0
-284,-677,-169,0
-414,-81,-756,0
-32,-541,-797,1
-825,-130,-336,0
-223,-229,-640,0
-193,-490,-322,1
-374,-720,-103,1
-301,-901,-170,1
-687,-424,-79,1
-390,-767,-94,1
-457,-116,-480,1
-690,-89,-404,1
-289,-996,-214,1
-598,-358,-130,0
-119,-734,-347,0
-340,-169,-986,1
-972,-142,-374,1
-919,-69,-487,1
