z1,z2,z3,nondominated
-1320,-1739,-1015,1
-1690,-1308,-1954,1
-1820,-1333,-1690,1
-1163,-1879,-1001,0
-1091,-1677,-1001,0
-1010,-1937,-1100,0
-1864,-1125,-1755,0
-1970,-1116,-1745,0
-1137,-1958,-1105,1
-1140,-1818,-1197,0
-1230,-1957,-1032,0
-1882,-1002,-1692,0
-1863,-1107,-1940,1
-1149,-1940,-1094,0
-1176,-1792,-1077,0
-1047,-1982,-1160,1
-1968,-1008,-1920,1
-1842,-1072,-1833,0
-1295,-1729,-1021,1
-1226,-1754,-1119,0
-1859,-1062,-1913,0
-1682,-1308,-1789,0
-1917,-1325,-1782,1
-1703,-1134,-1744,0
-1278,-1950,-1040,1
-1215,-1697,-1305,0
-1912,-1171,-1917,0
-1979,-1293,-1767,1
-1859,-1232,-1704,0
-1195,-1883,-1270,0
-1258,-1998,-1061,1
-1937,-1214,-1732,0
-1043,-1771,-1145,0
-1703,-1283,-1688,0
-1898,-1266,-1934,1
-1896,-1328,-1717,1
-1751,-1282,-1853,0
-1235,-1913,-1313,1
-1051,-1779,-1185,0
-1958,-1237,-1937,1
-1045,-1944,-1289,0
-1918,-1330,-1693,1
-1031,-1802,-1112,0
-1890,-1025,-1803,0
-1014,-1674,-1080,0
-1092,-1893,-1121,0
-1813,-1026,-1946,1
-1214,-1954,-1315,1
-1800,-1334,-1856,1
