z1,z2,z3,nondominated
-185,-754,-802,1
-155,-719,-828,1
-776,-736,-474,1
-944,-522,-335,1
-649,-14,-839,1
-317,-993,-329,1
-462,-969,-269,1
-493,-935,-435,1
-968,-209,-465,1
-904,-572,-75,0
-969,-417,-386,1
-897,-592,-416,1
-753,-807,-263,1
-153,-727,-821,1
-650,-791,-582,1
-231,-985,-396,1
-543,-940,-221,1
-849,-456,-653,1
-877,-515,-565,1
-378,-893,-614,1
-976,-428,-194,1
-9,-780,-723,1
-869,-450,-624,1
-235,-999,-291,1
-941,-471,-440,1
-985,-375,-167,1
-534,-744,-739,1
-866,-673,-181,1
-643,-828,-522,1
-140,-462,-961,1
-891,-636,-192,1
-628,-203,-896,1
-571,-647,-800,1
-630,-896,-294,1
-907,-65,-562,0
-675,-824,-19,0
-686,-508,-803,1
-681,-863,-286,1
-330,-961,-475,1
-630,-896,-232,0
-85,-897,-591,1
-891,-600,-78,0
-954,-199,-504,1
-657,-844,-460,1
-883,-159,-642,1
-620,-39,-868,0
-595,-894,-80,0
-894,-594,-422,1
-499,-181,-954,1
-675,-869,-248,1
-147,-735,-813,1
-299,-997,-298,1
-388,-945,-498,1
-261,-705,-846,1
-547,-430,-915,1
-478,-496,-922,1
-341,-923,-569,1
-910,-386,-581,1
-831,-84,-695,1
-908,-595,-358,1
-908,-81,-568,0
-853,-630,-485,1
-571,-414,-908,1
-779,-781,-290,1
