z1,z2,z3,node,time,depth
-59.0,-41.0,-71.0,1,0.0023140907287597656,1
-60.0,-59.0,-53.0,1,0.0023300647735595703,1
-57.0,-46.0,-71.0,1,0.002337932586669922,1
-57.0,-48.0,-70.0,3,0.006509065628051758,2
-57.0,-53.0,-64.0,5,0.009917020797729492,3
-59.0,-48.0,-64.0,17,0.02547907829284668,5
-55.0,-52.0,-65.0,23,0.03329610824584961,5
-64.0,-46.0,-58.0,30,0.04062008857727051,5
-62.0,-51.0,-58.0,30,0.040621042251586914,5
-62.0,-53.0,-57.0,61,0.0694580078125,6
-57.0,-49.0,-65.0,64,0.07155013084411621,7
-60.0,-57.0,-54.0,116,0.1112370491027832,7
-46.0,-35.0,-72.0,169,0.13953208923339844,8
-60.0,-48.0,-63.0,172,0.1411299705505371,8
-59.0,-55.0,-56.0,226,0.1707780361175537,9
-62.0,-47.0,-62.0,270,0.18794703483581543,9
-60.0,-45.0,-67.0,408,0.24676203727722168,11
-58.0,-51.0,-63.0,410,0.2474210262298584,11
-62.0,-54.0,-54.0,424,0.25246596336364746,11
-60.0,-52.0,-62.0,450,0.2615060806274414,12
-62.0,-40.0,-67.0,468,0.2678029537200928,13
-60.0,-47.0,-66.0,470,0.26845502853393555,13
-58.0,-53.0,-62.0,472,0.2691199779510498,13
-60.0,-54.0,-61.0,474,0.26977014541625977,13
