z1,z2,z3,node,time,depth
-12805.0,-11535.0,-12440.0,25,0.013483047485351562,5
-13183.0,-11641.0,-12073.0,55,0.02671504020690918,6
-13333.0,-11502.0,-12137.0,55,0.026715993881225586,6
-13004.0,-11778.0,-12146.0,105,0.049748897552490234,7
-13154.0,-11639.0,-12210.0,105,0.04975008964538574,7
-13532.0,-11745.0,-11843.0,109,0.05185198783874512,7
-12873.0,-12014.0,-11584.0,129,0.059942007064819336,8
-13360.0,-11812.0,-11695.0,149,0.06948208808898926,8
-12870.0,-11543.0,-12261.0,152,0.07092905044555664,8
-13045.0,-11947.0,-11732.0,165,0.07628011703491211,8
-13195.0,-11808.0,-11796.0,165,0.07628107070922852,8
-13627.0,-11672.0,-11776.0,171,0.0789649486541748,8
-13401.0,-11981.0,-11281.0,215,0.09821796417236328,9
-12908.0,-11318.0,-12340.0,224,0.10249590873718262,9
-12945.0,-12282.0,-11154.0,244,0.11210799217224121,10
-13365.0,-12031.0,-11212.0,272,0.12327909469604492,10
-13496.0,-11908.0,-11214.0,279,0.12646102905273438,10
-13228.0,-11677.0,-11953.0,294,0.13378500938415527,10
-13114.0,-11822.0,-11847.0,296,0.13443708419799805,10
-13050.0,-12107.0,-11338.0,314,0.14332199096679688,11
-13100.0,-11998.0,-11391.0,317,0.14451098442077637,11
-13446.0,-12017.0,-11161.0,336,0.15323805809020996,11
-13470.0,-11856.0,-11396.0,344,0.15617799758911133,11
-13577.0,-11781.0,-11723.0,354,0.16205501556396484,11
-13219.0,-11647.0,-12031.0,358,0.16390299797058105,11
-12900.0,-12246.0,-11274.0,370,0.17007803916931152,12
-12938.0,-12022.0,-11405.0,372,0.17073297500610352,12
-12897.0,-11853.0,-11819.0,378,0.17360901832580566,12
-13296.0,-12156.0,-11097.0,388,0.17849397659301758,12
-13255.0,-11987.0,-11511.0,390,0.17916607856750488,12
-13320.0,-11995.0,-11332.0,392,0.17989706993103027,12
-13427.0,-11920.0,-11659.0,402,0.18519902229309082,12
-13069.0,-11786.0,-11967.0,404,0.1859149932861328,12
-13269.0,-11538.0,-12084.0,438,0.1998889446258545,13
-13448.0,-11902.0,-11362.0,458,0.2102200984954834,14
-13197.0,-11693.0,-11997.0,464,0.21261191368103027,14
-13090.0,-11668.0,-12105.0,480,0.21825790405273438,15
-13342.0,-11431.0,-12079.0,488,0.22088408470153809,16
