z1,z2,z3,node,time,depth
-17209.0,-16547.0,-18767.0,1,0.0030689239501953125,1
-18145.0,-17010.0,-17467.0,1,0.0030770301818847656,1
-16783.0,-18181.0,-16433.0,1,0.003133058547973633,1
-16304.0,-18224.0,-16610.0,1,0.0031359195709228516,1
-17126.0,-17311.0,-17794.0,4,0.01168203353881836,3
-17605.0,-17268.0,-17617.0,4,0.011683940887451172,3
-16321.0,-17672.0,-17783.0,6,0.017155885696411133,3
-17312.0,-17608.0,-17017.0,7,0.019376039505004883,3
-16801.0,-18040.0,-16761.0,9,0.023174047470092773,4
-17666.0,-17053.0,-17644.0,9,0.023181915283203125,4
-16800.0,-17629.0,-17606.0,12,0.03074789047241211,4
-16768.0,-17129.0,-18194.0,15,0.036737918853759766,4
-17946.0,-17284.0,-17033.0,16,0.038362979888916016,5
-17406.0,-17542.0,-17183.0,16,0.038372039794921875,5
-17108.0,-17452.0,-17466.0,17,0.03993701934814453,5
-16818.0,-17488.0,-17934.0,26,0.05530500411987305,5
-17467.0,-17327.0,-17210.0,36,0.07102704048156738,6
-16927.0,-17585.0,-17360.0,36,0.07103395462036133,6
-16344.0,-17534.0,-17884.0,58,0.10358691215515137,6
-17648.0,-17194.0,-17316.0,68,0.11659598350524902,7
-17010.0,-16821.0,-18333.0,96,0.15285897254943848,7
-15865.0,-17577.0,-18061.0,114,0.17589688301086426,7
-16815.0,-17792.0,-16866.0,124,0.1887660026550293,7
-16833.0,-17651.0,-17194.0,124,0.1887679100036621,7
-17449.0,-17468.0,-16882.0,127,0.1916818618774414,8
-15847.0,-17718.0,-17733.0,215,0.29718899726867676,8
-17171.0,-16830.0,-17801.0,537,0.5924220085144043,10
-17487.0,-17452.0,-16977.0,928,0.8802909851074219,12
-17238.0,-17618.0,-16240.0,936,0.8857250213623047,12
-16909.0,-17726.0,-17032.0,939,0.8875460624694824,12
-17686.0,-17178.0,-17411.0,948,0.8932340145111084,12
-17433.0,-16647.0,-17707.0,1222,1.0745160579681396,13
-16881.0,-17539.0,-17400.0,1462,1.22593092918396,14
-16386.0,-16761.0,-18402.0,1474,1.2337710857391357,14
-16341.0,-17797.0,-17550.0,1494,1.2459800243377686,14
-17135.0,-16557.0,-17990.0,1576,1.295158863067627,15
-17713.0,-16283.0,-17935.0,1584,1.2996859550476074,15
-16919.0,-17523.0,-17495.0,1660,1.3497788906097412,15
-17632.0,-16373.0,-18141.0,1676,1.3586690425872803,16
-17378.0,-17355.0,-17551.0,1690,1.366590976715088,16
-16899.0,-17398.0,-17728.0,1692,1.367663860321045,16
-16359.0,-17656.0,-17878.0,1706,1.3757190704345703,16
-16838.0,-17613.0,-17701.0,1712,1.379215955734253,16
