z1,z2,z3,node,time,depth
-6497.0,-9651.0,-6785.0,1,0.005504131317138672,1
-2881.0,-11578.0,-2829.0,1,0.00555109977722168,1
-4526.0,-11040.0,-4331.0,1,0.005560159683227539,1
-4334.0,-10747.0,-4819.0,2,0.01141500473022461,2
-2653.0,-11368.0,-3042.0,2,0.011495113372802734,2
-8368.0,-5932.0,-8467.0,3,0.017420053482055664,2
-8361.0,-6041.0,-8423.0,5,0.028516054153442383,3
-8178.0,-5968.0,-8576.0,5,0.0285341739654541,3
-7901.0,-7522.0,-7968.0,5,0.028545141220092773,3
-7607.0,-7534.0,-7971.0,8,0.04554915428161621,4
-7210.0,-8438.0,-7043.0,13,0.07208895683288574,4
-5094.0,-10448.0,-4729.0,26,0.14222002029418945,5
-7686.0,-7116.0,-8413.0,39,0.20327305793762207,6
-7881.0,-7325.0,-8248.0,39,0.20329499244689941,6
-5117.0,-10394.0,-5039.0,49,0.249830961227417,6
-7190.0,-8241.0,-7323.0,51,0.2595021724700928,6
-3666.0,-11174.0,-3373.0,54,0.27478694915771484,6
-7391.0,-8016.0,-7454.0,63,0.31874704360961914,6
-4946.0,-9943.0,-5561.0,68,0.33902716636657715,7
-6767.0,-7822.0,-7701.0,70,0.34787416458129883,7
-5216.0,-10272.0,-5269.0,109,0.5142390727996826,7
-7484.0,-8229.0,-7320.0,117,0.5501360893249512,7
-7289.0,-8020.0,-7485.0,121,0.5702459812164307,7
-5400.0,-9936.0,-5371.0,126,0.5975849628448486,7
-6812.0,-8180.0,-7357.0,143,0.6665799617767334,8
-6517.0,-8545.0,-7118.0,157,0.7184159755706787,8
-7870.0,-7551.0,-7764.0,183,0.8134770393371582,8
-5153.0,-10311.0,-5314.0,196,0.8685381412506104,8
-7179.0,-8467.0,-6839.0,215,0.941215991973877,8
-5235.0,-10107.0,-5485.0,221,0.9667160511016846,8
-7453.0,-8258.0,-7116.0,235,1.0245821475982666,8
-6793.0,-8919.0,-6385.0,238,1.0385801792144775,8
-5373.0,-10146.0,-5256.0,255,1.1190500259399414,8
-6646.0,-8492.0,-7214.0,312,1.313232183456421,9
-7869.0,-7189.0,-8260.0,314,1.3210771083831787,9
-7162.0,-8048.0,-7553.0,315,1.324326992034912,9
-7143.0,-8213.0,-7337.0,319,1.338301181793213,9
-5856.0,-9868.0,-5454.0,425,1.7118000984191895,9
-6703.0,-8974.0,-6379.0,471,1.8946950435638428,9
-6296.0,-8624.0,-7018.0,543,2.1795430183410645,10
-7576.0,-7563.0,-7767.0,565,2.242763042449951,10
-7086.0,-7971.0,-7634.0,596,2.3337550163269043,10
-7290.0,-7971.0,-7540.0,722,2.737537145614624,10
-7095.0,-7762.0,-7705.0,734,2.7869529724121094,10
-4526.0,-10581.0,-4615.0,752,2.853870153427124,10
-5174.0,-10153.0,-5348.0,796,2.9922449588775635,10
-5900.0,-9656.0,-5798.0,797,2.99603009223938,10
-5217.0,-10423.0,-4881.0,840,3.1521780490875244,10
-7944.0,-6748.0,-7775.0,908,3.4165079593658447,10
-6726.0,-8920.0,-6689.0,929,3.5026299953460693,10
-6745.0,-8755.0,-6905.0,959,3.640045166015625,10
-6714.0,-8784.0,-6701.0,975,3.7088170051574707,10
-6800.0,-8662.0,-6746.0,982,3.7399699687957764,10
-8269.0,-5983.0,-8508.0,1145,4.2043750286102295,11
-6524.0,-8820.0,-6810.0,1358,4.840635061264038,11
-5833.0,-9736.0,-5885.0,1556,5.487530946731567,11
-6770.0,-8846.0,-6493.0,1591,5.603145122528076,11
-4986.0,-10328.0,-5318.0,1966,6.855483055114746,12
-6223.0,-8831.0,-6933.0,2084,7.129596948623657,12
-5623.0,-9686.0,-6154.0,2110,7.198171138763428,12
-5601.0,-9868.0,-5552.0,2119,7.220093011856079,12
-7061.0,-7810.0,-7698.0,2164,7.3359620571136475,12
-6519.0,-9128.0,-6108.0,2483,8.293519020080566,12
-5892.0,-9785.0,-5729.0,3693,11.817527055740356,13
-5253.0,-10041.0,-5531.0,5012,15.398841142654419,14
-4562.0,-10957.0,-4606.0,5500,16.64571213722229,14
-5350.0,-9970.0,-5437.0,5969,18.130661964416504,14
-6615.0,-8521.0,-7010.0,6213,18.58906602859497,15
-6627.0,-8657.0,-6998.0,6213,18.5890691280365,15
-6285.0,-8892.0,-6804.0,6446,18.956932067871094,15
-5587.0,-9769.0,-5879.0,6485,19.020264148712158,15
-5637.0,-9785.0,-5827.0,6509,19.059597969055176,15
-6460.0,-8557.0,-7027.0,8052,22.830758094787598,16
-6969.0,-8306.0,-7228.0,8441,23.36886715888977,16
-5262.0,-10170.0,-5254.0,8934,24.33267617225647,16
-5178.0,-10119.0,-5394.0,8954,24.383661031723022,16
-4609.0,-10723.0,-4282.0,9304,25.127662181854248,16
-4586.0,-10547.0,-4463.0,9320,25.16073513031006,16
-6984.0,-7997.0,-7560.0,9932,26.681529998779297,17
-7163.0,-7806.0,-7667.0,10051,26.832873106002808,17
-6988.0,-8141.0,-7444.0,10343,27.224441051483154,17
-5264.0,-10406.0,-4854.0,11002,28.314998149871826,17
-5300.0,-10323.0,-5129.0,11008,28.328219175338745,17
-5171.0,-10376.0,-5033.0,11024,28.357654094696045,17
-5319.0,-10158.0,-5345.0,11122,28.51790714263916,17
-4431.0,-10676.0,-4725.0,11350,29.158557176589966,17
-6379.0,-8779.0,-7001.0,11882,30.249104022979736,18
-8295.0,-5640.0,-8665.0,12025,30.425721168518066,18
-7277.0,-7877.0,-7665.0,12066,30.472403049468994,18
-6520.0,-8676.0,-6926.0,12132,30.556791067123413,18
-5091.0,-9948.0,-5558.0,12204,30.67712903022766,18
-5031.0,-10224.0,-5554.0,12228,30.704735040664673,18
-7278.0,-7985.0,-7557.0,12420,30.94422698020935,18
-5261.0,-10062.0,-5362.0,12668,31.400496006011963,18
-6586.0,-8793.0,-6740.0,12734,31.485928058624268,18
-5288.0,-10187.0,-5141.0,13016,31.949702978134155,18
-4587.0,-10808.0,-4406.0,13094,32.18863606452942,18
-6325.0,-8827.0,-6902.0,13671,33.265053033828735,19
-6589.0,-8504.0,-7123.0,13752,33.358033180236816,19
-7217.0,-7758.0,-7766.0,13770,33.378292083740234,19
-7251.0,-7710.0,-7773.0,13852,33.47831106185913,19
-6828.0,-8049.0,-7492.0,14016,33.69488310813904,19
-7259.0,-8150.0,-7341.0,14148,33.85731911659241,19
-5891.0,-9677.0,-5837.0,14360,34.19554400444031,19
-6568.0,-9066.0,-6416.0,14476,34.3339900970459,19
-5931.0,-9708.0,-5580.0,14526,34.415831089019775,19
-6924.0,-7878.0,-7661.0,15272,35.72088313102722,20
-7569.0,-7381.0,-8096.0,15306,35.755505084991455,20
-7843.0,-7172.0,-8373.0,15350,35.8059720993042,20
-7105.0,-8060.0,-7462.0,15394,35.85239005088806,20
-7060.0,-7702.0,-7806.0,15434,35.904529094696045,20
-6985.0,-8105.0,-7452.0,15564,36.050822019577026,20
-6664.0,-8557.0,-6933.0,15710,36.2268271446228,20
-7152.0,-8088.0,-7448.0,15856,36.404261112213135,20
-2896.0,-11299.0,-3056.0,16104,36.71247410774231,20
-2942.0,-11346.0,-2904.0,16106,36.71556496620178,20
-2906.0,-11429.0,-2629.0,16124,36.74294996261597,20
-6796.0,-8518.0,-6862.0,16550,37.31706500053406,20
-7550.0,-7546.0,-7880.0,16674,37.4679319858551,21
-8174.0,-5824.0,-8692.0,16712,37.51141405105591,21
-7223.0,-7925.0,-7566.0,16826,37.72027015686035,21
-6966.0,-8270.0,-7236.0,16940,37.836848974227905,21
-6521.0,-8784.0,-6818.0,16968,37.86269497871399,21
-6559.0,-8937.0,-6693.0,16990,37.886630058288574,21
-7316.0,-8138.0,-7432.0,16994,37.89129710197449,21
-6686.0,-8523.0,-6957.0,17018,37.91503310203552,21
