z1,z2,z3,node,time,depth
-8126.0,-5424.0,-4812.0,1,0.031269073486328125,1
-4841.0,-6709.0,-7075.0,1,0.03137993812561035,1
-3078.0,-5628.0,-7753.0,1,0.03147006034851074,1
-5367.0,-6321.0,-7115.0,1,0.03150606155395508,1
-3481.0,-7884.0,-4802.0,1,0.03154897689819336,1
-8071.0,-5605.0,-4851.0,1,0.03155398368835449,1
-7369.0,-6214.0,-5143.0,1,0.03161501884460449,1
-5908.0,-7334.0,-4141.0,1,0.03163313865661621,1
-7545.0,-5665.0,-5479.0,2,0.07348394393920898,2
-6846.0,-6202.0,-5824.0,2,0.07363009452819824,2
-5784.0,-6819.0,-6276.0,2,0.07380008697509766,2
-5191.0,-6870.0,-6779.0,3,0.11162710189819336,2
-6419.0,-5750.0,-6777.0,3,0.11169791221618652,2
-6379.0,-6085.0,-6687.0,3,0.1117100715637207,2
-6014.0,-4696.0,-7171.0,3,0.11197996139526367,2
-6311.0,-3837.0,-7142.0,4,0.1578350067138672,3
-6943.0,-5599.0,-6208.0,4,0.15793800354003906,3
-6946.0,-5527.0,-6261.0,4,0.1579430103302002,3
-6676.0,-5226.0,-6658.0,4,0.15794610977172852,3
-6244.0,-6136.0,-6553.0,4,0.15806913375854492,3
-4297.0,-6108.0,-7318.0,5,0.21033406257629395,3
-5367.0,-4837.0,-7473.0,5,0.21055102348327637,3
-6607.0,-6797.0,-3796.0,7,0.3166689872741699,3
-6540.0,-6758.0,-5357.0,7,0.31684398651123047,3
-4632.0,-4232.0,-7739.0,8,0.37134599685668945,4
-3604.0,-5240.0,-7793.0,9,0.43236613273620605,4
-5574.0,-6215.0,-6999.0,10,0.49118804931640625,4
-4823.0,-5720.0,-7358.0,11,0.5537559986114502,4
-5507.0,-6667.0,-6594.0,13,0.6867589950561523,4
-6096.0,-7077.0,-4367.0,13,0.6869919300079346,4
-7500.0,-6077.0,-3967.0,14,0.73763108253479,4
-6793.0,-6408.0,-5732.0,14,0.7376461029052734,4
-6981.0,-6151.0,-5958.0,14,0.7376670837402344,4
-5683.0,-6118.0,-6930.0,19,1.0104789733886719,5
-4706.0,-5904.0,-7235.0,19,1.0104820728302002,5
-5825.0,-4881.0,-7302.0,23,1.3219020366668701,5
-6014.0,-7146.0,-5317.0,25,1.467055082321167,5
-6081.0,-7185.0,-3756.0,25,1.4672441482543945,5
-6728.0,-6501.0,-5583.0,30,1.7894680500030518,5
-3883.0,-4471.0,-7890.0,37,2.224246025085449,6
-5611.0,-5545.0,-7244.0,37,2.2243049144744873,6
-5206.0,-4491.0,-7638.0,37,2.2245371341705322,6
-4597.0,-6001.0,-7304.0,40,2.4592061042785645,6
-7019.0,-6053.0,-5439.0,42,2.5670220851898193,6
-6307.0,-6831.0,-5595.0,48,2.9140000343322754,6
-5395.0,-6429.0,-6818.0,51,3.1464409828186035,6
-6628.0,-6659.0,-3874.0,52,3.2197930812835693,6
-6191.0,-6342.0,-6461.0,57,3.7070560455322266,6
-7676.0,-5856.0,-3635.0,58,3.7961249351501465,6
-7159.0,-5398.0,-6099.0,63,4.052838087081909,6
-4015.0,-6177.0,-7358.0,68,4.45750093460083,7
-4401.0,-5648.0,-7501.0,68,4.4575700759887695,7
-4541.0,-5789.0,-7398.0,72,4.764831066131592,7
-4927.0,-5260.0,-7541.0,72,4.764884948730469,7
-5571.0,-5880.0,-7154.0,75,4.92493200302124,7
-6029.0,-5924.0,-6983.0,81,5.211673021316528,7
-5370.0,-6571.0,-6761.0,82,5.262407064437866,7
-6310.0,-6759.0,-5648.0,98,6.095037937164307,7
-5853.0,-6473.0,-6647.0,116,7.077847957611084,7
-6635.0,-6345.0,-5905.0,136,8.052298069000244,7
-6033.0,-6279.0,-6634.0,136,8.052324056625366,7
-6447.0,-6602.0,-5679.0,136,8.052425146102905,7
-4962.0,-5267.0,-7509.0,157,8.975549936294556,8
-5841.0,-6181.0,-6757.0,160,9.093773126602173,8
-4341.0,-4515.0,-7719.0,162,9.302174091339111,8
-5223.0,-5340.0,-7309.0,163,9.31779408454895,8
-7548.0,-5593.0,-5532.0,233,10.808099031448364,8
-7603.0,-5412.0,-5493.0,233,10.808102130889893,8
-4751.0,-5809.0,-7205.0,234,10.834855079650879,8
-5793.0,-6936.0,-6050.0,235,11.04581594467163,8
-6717.0,-6561.0,-5086.0,240,11.355694055557251,8
-5921.0,-6990.0,-5639.0,248,11.762622117996216,8
-5157.0,-7118.0,-6124.0,249,11.806389093399048,8
-6202.0,-6889.0,-5543.0,270,12.20614504814148,8
-6974.0,-6465.0,-3927.0,272,12.272911071777344,8
-7372.0,-6142.0,-5196.0,277,12.580769062042236,8
-7427.0,-5961.0,-5157.0,277,12.580810070037842,8
-6523.0,-6107.0,-6129.0,278,12.647138118743896,8
-6364.0,-6193.0,-6076.0,286,12.874340057373047,8
-6552.0,-5936.0,-6302.0,310,13.264020919799805,8
-6592.0,-5601.0,-6392.0,332,13.76824402809143,8
-5575.0,-6235.0,-6805.0,334,13.82595705986023,8
-7156.0,-5470.0,-6046.0,336,13.95926308631897,8
-5569.0,-4781.0,-7344.0,341,14.221427917480469,9
-5002.0,-4932.0,-7599.0,463,15.104730129241943,9
-5417.0,-5936.0,-7016.0,482,15.215758085250854,9
-5377.0,-6271.0,-6926.0,490,15.262598037719727,9
-6673.0,-5298.0,-6605.0,566,15.71739411354065,9
-6194.0,-6549.0,-5767.0,574,15.825693130493164,9
-4637.0,-5666.0,-7394.0,576,15.89827013015747,9
-6382.0,-6292.0,-5993.0,590,16.387968063354492,9
-5299.0,-5269.0,-7262.0,591,16.469125032424927,9
-6132.0,-4625.0,-6901.0,699,17.679898023605347,9
-7275.0,-5364.0,-5876.0,733,17.864156007766724,9
-6633.0,-5458.0,-6727.0,735,17.90445613861084,9
-3864.0,-7610.0,-5757.0,738,18.053620100021362,9
-4324.0,-7570.0,-5341.0,738,18.053677082061768,9
-4564.0,-7558.0,-5834.0,739,18.091174125671387,9
-5893.0,-6138.0,-6737.0,880,20.074445962905884,9
-6457.0,-6007.0,-6391.0,881,20.134356021881104,9
-5921.0,-6041.0,-6858.0,883,20.29960012435913,9
-6966.0,-6259.0,-5347.0,908,20.860485076904297,9
-6848.0,-6227.0,-5693.0,911,20.98378014564514,9
-7503.0,-6005.0,-4020.0,924,21.232820987701416,9
-6713.0,-6609.0,-4972.0,970,21.803400993347168,9
-6901.0,-6352.0,-5198.0,972,21.84628391265869,9
-5845.0,-6536.0,-6408.0,1005,22.347806930541992,9
-7613.0,-5561.0,-5022.0,1010,22.543215036392212,9
-4211.0,-4754.0,-7628.0,1047,22.883145093917847,10
-4616.0,-5461.0,-7456.0,1310,23.909685134887695,10
-6271.0,-4172.0,-7052.0,1435,24.51037096977234,10
-6069.0,-5589.0,-7073.0,1436,24.527528047561646,10
-5618.0,-4622.0,-7400.0,1437,24.61710214614868,10
-3514.0,-7449.0,-6053.0,1476,25.01430606842041,10
-4214.0,-7397.0,-6130.0,1477,25.049739122390747,10
-6175.0,-5414.0,-6898.0,1631,25.958055019378662,10
-7278.0,-5292.0,-5929.0,1842,26.977016925811768,10
-6631.0,-5990.0,-6254.0,1842,26.977028131484985,10
-4354.0,-6954.0,-6557.0,1849,27.24401307106018,10
-4674.0,-7326.0,-5641.0,1941,27.621947050094604,10
-5448.0,-7374.0,-4557.0,1947,27.719692945480347,10
-6267.0,-6796.0,-5692.0,2044,28.25917911529541,10
-6269.0,-6928.0,-3982.0,2160,29.01180601119995,10
-6455.0,-6539.0,-5918.0,2172,29.166327953338623,10
-7439.0,-6181.0,-3635.0,2198,29.58007001876831,10
-7424.0,-6033.0,-5104.0,2199,29.59931206703186,10
-6860.0,-6447.0,-4171.0,2287,30.640871047973633,10
-6969.0,-6187.0,-5400.0,2292,30.651775121688843,10
-7154.0,-6002.0,-5573.0,2402,31.140399932861328,10
-6555.0,-5864.0,-6355.0,2420,31.284121990203857,10
-7036.0,-5970.0,-5919.0,2421,31.307220935821533,10
-6768.0,-6428.0,-4933.0,2453,31.528746128082275,10
-6610.0,-6725.0,-3849.0,2454,31.54804801940918,10
-6595.0,-5529.0,-6445.0,2560,31.96817111968994,10
-7076.0,-5635.0,-6009.0,2561,31.988068103790283,10
-6690.0,-6164.0,-5866.0,2593,32.17037105560303,10
-7009.0,-6222.0,-5303.0,2595,32.3037269115448,10
-7801.0,-5304.0,-5248.0,2596,32.355478048324585,10
-4997.0,-5621.0,-7255.0,2779,33.191412925720215,11
-4697.0,-5728.0,-7269.0,2921,33.64549112319946,11
-4581.0,-5454.0,-7488.0,3037,34.01552200317383,11
-5160.0,-4578.0,-7571.0,3043,34.07128596305847,11
-5092.0,-5375.0,-7378.0,3250,34.843284130096436,11
-6133.0,-4590.0,-7001.0,3261,34.910341024398804,11
-6581.0,-4138.0,-6745.0,3284,35.015218019485474,11
-4433.0,-6022.0,-7156.0,3320,35.251729011535645,11
-4004.0,-6793.0,-6853.0,3381,35.700828075408936,11
-7600.0,-5484.0,-5440.0,4009,37.85154700279236,11
-7330.0,-5183.0,-5837.0,4017,37.92245292663574,11
-4150.0,-7310.0,-6319.0,4044,38.33525800704956,11
-6161.0,-6984.0,-4516.0,4163,39.022886991500854,11
-5550.0,-7236.0,-5486.0,4270,39.48818397521973,11
-5412.0,-7080.0,-6046.0,4271,39.52607798576355,11
-5665.0,-6730.0,-6421.0,4315,40.036848068237305,11
-6455.0,-6808.0,-4259.0,4351,40.24059796333313,11
-6595.0,-6577.0,-5318.0,5115,43.3945050239563,11
-7469.0,-5539.0,-5580.0,5442,44.685791015625,11
-7199.0,-5238.0,-5977.0,5442,44.685835123062134,11
-4436.0,-5655.0,-7469.0,5771,45.72463297843933,12
-5031.0,-6465.0,-6873.0,6182,46.8795530796051,12
-5664.0,-4535.0,-7467.0,6348,47.266688108444214,12
-6308.0,-3909.0,-7089.0,6396,47.438206911087036,12
-6849.0,-5077.0,-6273.0,6400,47.457112073898315,12
-4251.0,-6195.0,-7251.0,6508,47.781445026397705,12
-3800.0,-7149.0,-6615.0,6594,48.07327103614807,12
-7880.0,-3929.0,-5126.0,7404,50.10537505149841,12
-6873.0,-4238.0,-6323.0,7442,50.32142901420593,12
-5815.0,-7178.0,-4463.0,7615,51.604126930236816,12
-5621.0,-7225.0,-4172.0,7769,52.33251404762268,12
-5457.0,-7080.0,-5808.0,7774,52.434131145477295,12
-5319.0,-6924.0,-6368.0,7775,52.46785807609558,12
-6334.0,-6835.0,-4131.0,7807,52.68744707107544,12
-6322.0,-6615.0,-5653.0,7823,52.79463291168213,12
-6905.0,-6304.0,-5312.0,8298,54.55752992630005,12
-7545.0,-5993.0,-4811.0,8324,54.63904905319214,12
-7600.0,-5812.0,-4772.0,8324,54.639074087142944,12
-7021.0,-6078.0,-5308.0,8655,55.542340993881226,12
-6662.0,-6616.0,-3757.0,9151,56.91348314285278,12
-7154.0,-6271.0,-3914.0,9216,57.03418707847595,12
-7197.0,-5595.0,-5716.0,9466,57.48686909675598,12
-4619.0,-6076.0,-7120.0,11631,62.967188119888306,13
-7081.0,-5755.0,-5648.0,12062,64.00023913383484,13
-5696.0,-4909.0,-7122.0,12136,64.43596291542053,13
-7183.0,-4204.0,-6016.0,12146,64.48342394828796,13
-6809.0,-5237.0,-6395.0,12176,64.69113802909851,13
-7333.0,-5111.0,-5890.0,12177,64.70257902145386,13
