z1,z2,z3,nondominated
-1000,-1785,-1053,0
-1905,-1091,-1972,1
-1838,-1163,-1816,0
-1296,-1957,-1300,1
-1816,-1073,-1818,0
-1311,-1791,-1139,1
-1910,-1212,-1673,0
-1911,-1225,-1898,0
-1051,-1794,-1092,0
-1088,-1828,-1024,0
-1195,-1996,-1293,1
-1157,-1784,-1245,0
-1874,-1047,-1890,0
-1975,-1057,-1825,0
-1858,-1331,-1977,1
-1304,-1966,-1059,1
-1940,-1033,-1693,0
-1301,-1702,-1318,1
-1066,-1689,-1242,0
-1254,-1767,-1260,0
-1998,-1226,-1964,1
-1309,-1911,-1016,1
-1755,-1086,-1721,0
-1263,-1749,-1274,0
-1906,-1123,-1866,0
