z1,z2,z3,nondominated
-1050,-1027,-1387,0
-1031,-1753,-1845,0
-1410,-1672,-1315,0
-1840,-1162,-1321,0
-1727,-1767,-1154,0
-1349,-1724,-1120,0
-1497,-1052,-1573,0
-1846,-1449,-1156,0
-1044,-1538,-1076,0
-1610,-1051,-1781,1
-1231,-1916,-1952,1
-1908,-1684,-1758,1
-1422,-1534,-1618,0
-1189,-1928,-1765,1
-1021,-1574,-1236,0
-1387,-1524,-1744,0
-1867,-1847,-1382,1
-1207,-1586,-1582,0
-1535,-1657,-1007,0
-1221,-1374,-1110,0
-1329,-1278,-1055,0
-1555,-1184,-1335,0
-1742,-1007,-1259,0
-1745,-1300,-1146,0
-1403,-1093,-1848,1
