z1,z2,z3,nondominated
-1238,-1885,-1648,1
-1129,-1940,-1518,0
-1191,-1387,-1985,1
-1558,-1566,-1857,1
-1823,-1734,-1262,1
-1579,-1175,-1920,1
-1825,-1695,-1066,1
-1794,-1764,-1293,1
-1704,-1389,-1831,1
-1159,-1944,-1519,1
-1243,-1452,-1972,1
-1541,-1913,-1446,1
-1428,-1908,-1564,1
-1330,-1975,-1423,1
-1620,-1803,-1596,1
-1068,-1543,-1916,1
-1741,-1491,-1763,1
-1630,-1597,-1796,1
-1349,-1983,-1372,1
-1503,-1948,-1354,1
-1434,-1948,-1452,1
-1380,-1385,-1976,1
-1473,-1333,-1961,1
-1516,-1171,-1947,1
-1445,-1754,-1770,1
-1740,-1635,-1667,1
-1521,-1185,-1946,1
-1656,-1479,-1838,1
-1600,-1074,-1890,1
-1964,-1283,-1478,1
