z1,z2,z3,nondominated
-718,-226,-216,1
-325,-359,-273,1
-311,-211,-471,1
-636,-151,-316,1
-617,-49,-522,1
-637,-510,-50,1
-46,-556,-584,1
-10,-653,-690,1
-112,-697,-362,1
-10,-803,-650,1
-407,-394,-187,1
-804,-197,-248,1
-75,-676,-434,1
-540,-37,-657,1
-478,-87,-535,1
-482,-347,-179,1
-45,-834,-511,1
-220,-686,-225,0
-227,-973,-262,1
-343,-664,-127,1
-23,-840,-595,1
-60,-470,-830,1
-910,-94,-426,1
-118,-521,-419,1
-354,-272,-332,1
-152,-720,-300,1
-791,-662,-7,1
-24,-712,-570,1
-238,-595,-226,1
-281,-852,-175,1
-747,-419,-78,1
-614,-35,-574,1
-215,-854,-236,0
-391,-321,-252,1
-368,-196,-421,1
-205,-704,-239,0
-120,-346,-748,1
-752,-422,-77,1
-679,-614,-17,1
-235,-644,-216,1
