z1,z2,z3,nondominated
975,163,420,1
430,974,172,1
695,219,854,1
632,473,857,1
213,976,435,1
278,993,347,1
312,991,347,1
497,817,675,1
382,512,941,1
738,788,64,1
78,863,646,1
576,903,424,1
903,283,617,1
528,149,939,1
585,848,555,1
578,499,877,1
679,240,866,1
944,527,182,1
337,976,420,1
856,686,327,1
945,392,495,1
12,667,826,1
233,630,896,1
76,548,916,1
810,466,700,1
236,622,901,1
602,75,889,1
428,273,978,1
339,760,793,1
789,772,260,0
864,638,438,1
603,96,894,0
794,645,583,1
966,468,197,1
996,325,256,1
419,849,669,1
60,667,844,0
248,998,308,1
216,936,551,1
762,344,790,1
890,523,531,1
698,643,706,1
936,552,276,1
253,535,944,1
907,65,562,1
833,288,721,0
750,690,596,1
984,403,275,1
980,420,221,1
991,315,346,1
210,456,970,1
913,375,578,0
865,499,600,1
858,136,674,1
419,902,581,1
341,716,831,0
868,118,655,1
834,707,136,1
980,170,401,1
695,812,472,1
625,743,674,1
545,886,516,1
831,51,680,1
756,267,804,1
700,300,849,1
597,894,86,1
260,816,742,1
693,852,182,0
187,777,780,1
719,356,826,1
854,523,602,1
686,859,218,0
324,951,507,1
736,477,775,1
773,730,7,1
924,575,201,1
92,880,624,1
466,968,219,1
935,196,551,1
997,268,317,1
428,382,967,1
977,212,429,0
365,991,264,1
637,849,18,1
665,840,45,1
340,814,737,1
662,454,843,1
796,514,692,1
228,872,669,0
609,779,644,1
382,895,611,1
524,527,891,1
963,449,375,1
193,554,933,0
707,589,739,1
873,87,635,1
567,909,417,1
564,78,909,1
544,269,940,0
736,821,275,1
1005,1732,1769,0
1950,1428,1454,0
1967,1466,1299,0
1779,1777,1180,0
1803,1739,1113,0
1602,1751,1684,0
1060,1667,1844,0
1519,1625,1842,0
1837,1210,1716,0
1973,1424,1155,0
