z1,z2,z3,node,time,depth
67.0,60.0,99.0,1,0.01795506477355957,1
75.0,94.0,76.0,1,0.01797008514404297,1
71.0,81.0,80.0,1,0.017976999282836914,1
96.0,67.0,71.0,1,0.01799297332763672,1
82.0,81.0,72.0,1,0.018000125885009766,1
78.0,78.0,81.0,4,0.09310507774353027,3
119.0,65.0,91.0,5,0.11205506324768066,3
115.0,65.0,93.0,5,0.11206293106079102,3
114.0,65.0,98.0,18,0.4594259262084961,5
109.0,66.0,98.0,18,0.4595150947570801,5
110.0,66.0,93.0,30,0.7243900299072266,6
74.0,77.0,92.0,34,0.8057651519775391,7
114.0,66.0,91.0,46,1.0640881061553955,7
