z1,z2,z3,nondominated
1502,1352,1671,0
1199,1070,1834,0
1513,1684,1112,0
1270,1823,1051,0
1260,1149,1339,0
1119,1501,1444,0
1933,1369,1998,0
1474,1208,1226,0
1565,1351,1168,0
1909,1773,1439,0
1343,1701,1327,0
1376,1846,1081,0
1500,1859,1831,0
1782,1025,1190,0
1541,1567,1458,0
1919,1529,1497,0
1220,1015,1510,0
1488,1257,1027,0
1436,1097,1954,0
1986,1607,1401,0
1001,1442,1918,0
1445,1608,1456,0
1369,1101,1162,0
1081,1016,1807,0
1069,1392,1108,0
1378,1227,1607,0
1636,1165,1324,0
1511,1477,1840,0
1470,1942,1961,0
1212,1866,1564,0
1671,1213,1343,0
1472,1771,1577,0
1813,1363,1154,0
1153,1077,1645,0
1768,1506,1167,0
1879,1674,1602,0
1635,1412,1486,0
1454,1270,1331,0
1884,1444,1597,0
1932,1306,1500,0
1738,1612,1479,0
1854,1222,1812,0
1463,1577,1301,0
1086,1763,1623,0
1972,1418,1906,0
1350,1763,1481,0
1672,1807,1103,0
1010,1080,1430,0
1229,1422,1205,0
1450,1344,1052,0
1481,1114,1711,0
1749,1840,1340,0
1889,1745,1358,0
1215,1036,1855,0
1630,1421,1207,0
1760,1533,1983,0
1893,1907,1282,0
1696,1559,1135,0
1802,1476,1070,0
1815,1111,1965,0
1743,1570,1323,0
1822,1064,1579,0
1715,1292,1792,0
1756,1912,1592,0
1003,1439,1134,0
1424,1199,1264,0
1136,1281,1270,0
1194,1304,1468,0
1853,1429,1434,0
1150,1774,1748,0
1264,1934,1173,0
1335,1923,1345,0
1885,1224,1843,0
1244,1764,1871,0
1534,1075,1975,0
1670,1432,1375,0
1108,1184,1274,0
1944,1187,1564,0
1690,1835,1887,0
1897,1474,1918,0
1421,1511,1865,0
1272,1182,1475,0
1264,1934,1173,0
1475,1249,1313,0
1390,1385,1450,0
1764,1860,1455,0
1404,1676,1389,0
1931,1913,1036,0
1447,1778,1869,0
1667,1916,1408,0
1928,1974,1299,0
1946,1807,1339,0
1561,1443,1975,0
1540,1373,1087,0
1115,1724,1977,0
1539,1042,1522,0
1475,1249,1313,0
1565,1722,1736,0
1652,1363,1223,0
1955,1337,1749,0
163,119,135,1
159,121,176,0
110,114,154,1
169,103,105,1
120,126,184,0
172,123,190,0
183,107,158,0
122,127,171,0
126,125,167,0
156,159,118,1
