z1,z2,z3,nondominated
257,468,262,1
653,169,288,1
256,395,313,1
89,929,446,0
185,259,769,1
142,313,765,1
768,704,3,1
909,196,271,0
350,666,122,1
227,431,320,1
340,143,904,0
23,690,582,1
523,238,254,1
156,300,677,1
65,480,888,0
375,396,207,1
337,329,289,1
451,594,81,1
164,346,518,1
824,255,193,1
177,826,274,1
410,850,90,1
580,68,491,1
768,10,638,1
418,851,87,1
508,41,737,1
590,95,424,1
647,422,84,1
849,189,263,1
318,822,143,1
521,213,281,1
43,503,732,1
11,726,632,1
728,470,56,1
561,107,417,1
530,596,51,1
745,597,17,1
571,99,425,1
357,453,186,1
80,737,415,1
435,934,96,0
152,346,551,1
211,264,935,0
81,416,796,1
102,951,433,0
501,700,46,1
350,501,168,1
182,969,313,0
582,502,64,1
619,188,272,1
133,577,362,1
829,235,212,1
703,729,3,1
75,430,701,1
112,383,611,1
133,330,815,1
432,215,333,1
299,796,154,1
671,138,325,1
798,61,460,1
364,108,762,1
701,61,461,1
862,435,80,1
212,273,959,0
887,278,185,0
109,368,684,1
745,296,154,1
129,369,925,0
508,64,929,0
729,44,501,1
974,171,331,0
320,140,813,1
977,135,388,0
542,442,100,1
735,600,16,1
136,391,517,1
176,351,480,0
232,866,222,1
794,275,173,1
148,344,567,1
464,909,77,0
150,305,810,1
408,110,565,1
288,213,992,0
176,351,480,0
145,605,334,1
341,856,132,1
360,116,669,1
665,753,6,1
504,88,500,1
809,134,328,1
580,530,55,1
180,269,682,1
225,631,230,1
632,12,708,1
642,62,474,1
108,929,408,1
533,84,485,1
430,689,76,1
198,396,388,1
59,589,510,1
527,43,859,0
851,120,357,1
734,47,493,1
416,87,847,1
325,135,697,1
739,538,32,1
733,15,605,1
918,125,372,0
163,574,319,1
180,748,264,1
627,59,490,1
600,135,349,1
270,762,175,1
95,464,526,1
168,462,377,1
709,3,780,1
180,782,265,0
542,245,238,1
130,333,807,1
287,171,854,1
533,904,50,0
112,574,399,1
389,99,830,1
510,726,41,1
457,116,480,1
427,433,154,1
394,98,655,1
554,837,32,1
501,256,245,1
124,782,341,1
873,177,283,1
186,362,446,1
674,293,162,1
456,112,492,1
65,450,708,1
384,202,394,1
959,416,113,1
489,56,853,1
617,59,495,1
61,458,730,1
348,562,147,1
259,200,619,1
259,230,529,1
1353,1631,1126,0
1187,1269,1640,0
1857,1311,1153,0
1624,1389,1106,0
1363,1937,1137,0
1435,1656,1077,0
1908,1368,1125,0
1255,1590,1211,0
1144,1493,1393,0
1144,1850,1321,0
1017,1826,1619,0
1026,1869,1602,0
