z1,z2,z3,node,time,depth
5360.0,6810.0,10551.0,1,0.4818248748779297,1
7052.0,11137.0,5889.0,1,0.4818539619445801,1
6719.0,11286.0,6198.0,1,0.48209595680236816,1
8643.0,6376.0,7609.0,1,0.48234987258911133,1
9082.0,6090.0,8554.0,1,0.4828300476074219,1
5045.0,7555.0,10384.0,1,0.4837229251861572,1
8758.0,6295.0,7677.0,1,0.4847829341888428,1
9408.0,6802.0,7017.0,2,1.0485448837280273,2
6559.0,7337.0,9195.0,3,1.1951110363006592,2
5023.0,8288.0,11768.0,3,1.1952109336853027,2
7908.0,9628.0,5934.0,3,1.1952528953552246,2
7181.0,9312.0,6706.0,3,1.1952669620513916,2
7870.0,10911.0,5853.0,3,1.1952810287475586,2
5698.0,10554.0,8043.0,3,1.1953239440917969,2
6737.0,10573.0,6398.0,3,1.1954278945922852,2
6404.0,10722.0,6707.0,3,1.1954419612884521,2
5977.0,7912.0,9238.0,3,1.1954550743103027,2
7558.0,8529.0,6831.0,3,1.1954689025878906,2
6716.0,8647.0,7716.0,3,1.1954829692840576,2
8285.0,8845.0,6059.0,3,1.195551872253418,2
13050.0,6264.0,8302.0,4,1.801429033279419,3
9523.0,6721.0,7085.0,5,1.9597859382629395,3
10379.0,7342.0,6474.0,5,1.9598278999328613,3
10036.0,10588.0,5529.0,5,1.9599549770355225,3
9419.0,10918.0,5561.0,5,1.9599690437316895,3
10264.0,7423.0,6406.0,5,1.9599828720092773,3
8872.0,10850.0,5773.0,5,1.9599969387054443,3
6709.0,8091.0,8769.0,5,1.9600520133972168,3
9786.0,10676.0,5513.0,5,1.9600799083709717,3
6669.0,7893.0,9021.0,5,1.9601209163665771,3
5698.0,9989.0,8468.0,6,2.0965089797973633,3
5547.0,10333.0,8879.0,6,2.0965230464935303,3
5547.0,9768.0,9304.0,6,2.096536874771118,3
8230.0,9004.0,6652.0,6,2.096606969833374,3
8543.0,8455.0,6502.0,7,2.2033748626708984,3
6648.0,11515.0,6347.0,7,2.2034029960632324,3
6333.0,10951.0,6856.0,7,2.2035000324249268,3
6220.0,9265.0,8050.0,7,2.2035138607025146,3
6981.0,11366.0,6038.0,7,2.203597068786621,3
6666.0,10802.0,6547.0,7,2.203706979751587,3
6642.0,6073.0,12374.0,8,2.987436056137085,4
6718.0,6038.0,12180.0,8,2.9876489639282227,4
5786.0,6526.0,10824.0,9,3.109273910522461,4
5532.0,7492.0,9739.0,9,3.1093289852142334,4
5847.0,6747.0,9906.0,9,3.1093430519104004,4
7884.0,10901.0,5931.0,9,3.1093568801879883,4
11594.0,8544.0,6168.0,9,3.1093709468841553,4
9274.0,7279.0,7240.0,9,3.1094000339508057,4
7091.0,6561.0,8997.0,9,3.109441041946411,4
11247.0,8788.0,6095.0,9,3.1094820499420166,4
5712.0,10544.0,8121.0,9,3.10953688621521,4
6847.0,7888.0,7924.0,9,3.109550952911377,4
9279.0,7058.0,7368.0,9,3.109565019607544,4
6855.0,6453.0,9711.0,9,3.109579086303711,4
7768.0,6492.0,8694.0,9,3.109592914581299,4
6273.0,6463.0,10179.0,9,3.1096060276031494,4
8277.0,6449.0,8525.0,9,3.109647035598755,4
8957.0,6167.0,9094.0,10,3.245065927505493,4
9283.0,6879.0,7557.0,10,3.2451229095458984,4
8633.0,6372.0,8217.0,10,3.245150089263916,4
9470.0,10827.0,5624.0,10,3.245177984237671,4
8518.0,6453.0,8149.0,10,3.2453439235687256,4
8595.0,7889.0,7075.0,11,3.3526089191436768,4
6644.0,10126.0,6986.0,12,3.5061540603637695,4
6311.0,10275.0,7295.0,12,3.5061819553375244,4
6142.0,10291.0,7755.0,12,3.506319046020508,4
6372.0,9757.0,7543.0,14,3.718376874923706,4
7527.0,9241.0,6760.0,14,3.718501091003418,4
7173.0,9576.0,6834.0,14,3.718514919281006,4
5750.0,8577.0,9535.0,15,3.8105859756469727,4
8845.0,5795.0,12945.0,16,4.524594068527222,5
9399.0,5761.0,13390.0,16,4.526731967926025,5
8499.0,5983.0,13060.0,17,4.690578937530518,5
10023.0,5785.0,11336.0,17,4.690841913223267,5
9284.0,5804.0,12263.0,17,4.690855979919434,5
9056.0,7993.0,7008.0,17,4.690979957580566,5
9838.0,5770.0,12708.0,17,4.691048860549927,5
10577.0,5751.0,11781.0,17,4.691062927246094,5
7912.0,6419.0,10088.0,17,4.6912009716033936,5
11430.0,8743.0,6152.0,18,4.79538106918335,5
6954.0,7077.0,8778.0,18,4.7953948974609375,5
7798.0,6666.0,8547.0,19,4.896658897399902,5
7121.0,6735.0,8850.0,19,4.89668607711792,5
9399.0,7851.0,6993.0,19,4.896826982498169,5
10026.0,7959.0,6758.0,19,4.896868944168091,5
8307.0,6623.0,8378.0,19,4.896898984909058,5
9404.0,7630.0,7121.0,19,4.896925926208496,5
7073.0,6409.0,10608.0,19,4.89695405960083,5
7655.0,6399.0,10140.0,19,4.8969810009002686,5
7954.0,7514.0,8157.0,20,5.05275297164917,5
9499.0,6997.0,6998.0,23,5.370619058609009,5
5869.0,9421.0,9153.0,27,5.908305883407593,5
6726.0,9422.0,7469.0,28,6.067316055297852,5
7178.0,8244.0,7802.0,30,6.276745080947876,5
7489.0,9587.0,6598.0,30,6.276758909225464,5
7135.0,9922.0,6672.0,30,6.276799917221069,5
6334.0,10103.0,7381.0,30,6.276828050613403,5
6240.0,10504.0,7444.0,30,6.276937961578369,5
6071.0,10520.0,7904.0,30,6.277061939239502,5
7468.0,8172.0,7523.0,31,6.367560863494873,5
9691.0,5844.0,11282.0,34,7.333752870559692,6
8906.0,6023.0,12079.0,34,7.333822965621948,6
8107.0,6332.0,10311.0,35,7.464120864868164,6
7600.0,6518.0,8828.0,36,7.566751956939697,6
8817.0,7589.0,7390.0,36,7.566780090332031,6
7631.0,7008.0,8475.0,37,7.675458908081055,6
8115.0,7755.0,7810.0,37,7.675472021102905,6
6429.0,6737.0,9438.0,38,7.814496040344238,6
6114.0,7482.0,9271.0,38,7.814509868621826,6
8654.0,7886.0,7494.0,38,7.814579010009766,6
7630.0,6692.0,8681.0,38,7.814605951309204,6
8307.0,8016.0,7581.0,38,7.814620018005371,6
7493.0,7208.0,8462.0,38,7.814634084701538,6
5478.0,7503.0,10398.0,39,7.904778957366943,6
5163.0,8248.0,10231.0,39,7.904807090759277,6
8006.0,7470.0,8321.0,40,8.066962003707886,6
10315.0,8156.0,6256.0,45,8.694498062133789,6
9550.0,7730.0,6848.0,47,8.830689907073975,6
6583.0,8523.0,8622.0,51,9.39595890045166,6
6801.0,9027.0,7677.0,60,10.41436505317688,6
6062.0,9047.0,8609.0,60,10.414378881454468,6
6232.0,8196.0,8826.0,61,10.500529050827026,6
8655.0,8157.0,6943.0,63,10.71264386177063,6
8565.0,7800.0,7635.0,63,10.712657928466797,6
7816.0,8139.0,7274.0,63,10.712671041488647,6
7928.0,7841.0,7715.0,63,10.712684869766235,6
7580.0,7874.0,7964.0,63,10.71279501914978,6
7726.0,7782.0,7966.0,63,10.712821960449219,6
6359.0,8928.0,8634.0,65,11.545392990112305,7
6040.0,8947.0,8851.0,65,11.545405864715576,7
8519.0,6253.0,10973.0,65,11.54572606086731,7
9089.0,5891.0,12040.0,70,12.138952016830444,7
9487.0,6037.0,11349.0,70,12.139007091522217,7
9208.0,5839.0,12457.0,71,12.24837589263916,7
8423.0,6018.0,13254.0,71,12.248389959335327,7
7575.0,7308.0,8332.0,72,12.377338886260986,7
8252.0,7239.0,8029.0,74,12.562269926071167,7
8114.0,7439.0,8016.0,77,12.928303003311157,7
5965.0,7440.0,9753.0,78,13.024455070495605,7
8282.0,7413.0,7882.0,78,13.024497032165527,7
7605.0,7482.0,8185.0,78,13.024509906768799,7
8145.0,7929.0,7663.0,78,13.024538040161133,7
5650.0,8185.0,9586.0,78,13.024592876434326,7
6984.0,7251.0,8631.0,78,13.024605989456177,7
8933.0,11663.0,5761.0,80,13.341737031936646,7
9300.0,11421.0,5713.0,80,13.341750860214233,7
8842.0,6248.0,9026.0,86,14.06873893737793,7
11537.0,9550.0,5852.0,88,14.325623989105225,7
11702.0,9056.0,6046.0,89,14.46294903755188,7
9159.0,10955.0,5736.0,89,14.462990045547485,7
9950.0,10175.0,5809.0,89,14.46301794052124,7
8967.0,6171.0,8486.0,94,14.915947914123535,7
