z1,z2,z3,nondominated
796,52,913,0
329,675,78,1
229,723,30,0
210,946,204,0
712,186,889,0
267,899,46,0
92,751,196,0
862,134,672,1
187,803,204,0
929,167,874,0
81,749,279,0
911,329,998,0
991,144,812,0
753,175,677,0
264,752,224,0
782,135,786,0
692,71,695,1
91,720,189,0
135,888,148,0
916,111,849,0
171,965,279,0
65,902,140,1
745,173,703,0
709,175,936,0
828,212,996,0
89,798,269,0
175,862,291,0
752,94,910,0
68,823,61,1
154,911,20,1
922,188,712,0
928,45,757,0
909,113,906,0
815,102,792,0
320,787,105,0
944,292,726,0
789,330,698,0
30,909,54,1
694,275,729,0
79,873,262,0
670,45,735,1
102,950,89,0
99,894,319,0
167,977,311,0
71,882,331,0
736,262,862,0
910,90,804,0
18,822,224,0
922,139,852,0
852,155,940,0
172,862,139,0
219,795,184,0
860,244,836,0
911,329,998,0
180,985,29,0
875,136,885,0
11,717,208,1
198,822,96,0
158,740,330,0
90,714,27,1
748,225,678,0
986,128,922,0
731,145,674,1
722,159,894,0
1896,1307,1842,0
1806,1206,1991,0
1112,1699,1243,0
1856,1085,1975,0
1168,1798,1230,0
1060,1687,1118,0
1791,1137,1730,0
1167,1938,1042,0
