z1,z2,z3,node,time,depth
7388.0,3520.0,6655.0,1,0.012965202331542969,1
5998.0,4791.0,5664.0,1,0.012970209121704102,1
4512.0,8975.0,5475.0,1,0.012980222702026367,1
4801.0,5320.0,5283.0,1,0.012991189956665039,1
6576.0,4190.0,6354.0,2,0.03700613975524902,2
5723.0,5177.0,5952.0,2,0.03702712059020996,2
5909.0,4902.0,6100.0,2,0.0370481014251709,2
4929.0,8213.0,4889.0,3,0.04445314407348633,2
5888.0,8082.0,5265.0,5,0.0724031925201416,3
4895.0,8111.0,5056.0,6,0.08813905715942383,3
4650.0,8739.0,5460.0,12,0.15959501266479492,4
4600.0,8957.0,5370.0,12,0.15965008735656738,4
4890.0,8983.0,5234.0,12,0.15965509414672852,4
4738.0,8721.0,5355.0,12,0.15966010093688965,4
4776.0,8916.0,5308.0,21,0.2502779960632324,5
10211.0,3485.0,10246.0,27,0.29218220710754395,6
4688.0,8934.0,5413.0,37,0.3916950225830078,6
10207.0,3503.0,10240.0,91,0.7933671474456787,9
