z1,z2,z3,node,time,depth
-59.0,-19.0,-60.0,1,0.007731914520263672,1
-35.0,-47.0,-45.0,1,0.0077359676361083984,1
-51.0,-28.0,-62.0,1,0.007740020751953125,1
-42.0,-35.0,-56.0,1,0.007743120193481445,1
-59.0,-18.0,-64.0,1,0.00774693489074707,1
-50.0,-41.0,-37.0,1,0.007750988006591797,1
-53.0,-34.0,-47.0,1,0.007754087448120117,1
-23.0,-61.0,-19.0,1,0.007758140563964844,1
-34.0,-54.0,-31.0,1,0.007761955261230469,1
-30.0,-57.0,-26.0,1,0.007765054702758789,1
-27.0,-58.0,-28.0,1,0.007769107818603516,1
-19.0,-60.0,-23.0,1,0.007771968841552734,1
-42.0,-49.0,-35.0,1,0.007776021957397461,1
-51.0,-36.0,-49.0,1,0.0077800750732421875,1
-38.0,-48.0,-42.0,1,0.007782936096191406,1
-46.0,-42.0,-44.0,1,0.007786989212036133,1
-54.0,-29.0,-59.0,1,0.007790088653564453,1
-43.0,-41.0,-47.0,2,0.016881942749023438,2
-55.0,-27.0,-55.0,2,0.016904115676879883,2
-55.0,-29.0,-47.0,2,0.01691913604736328,2
-54.0,-31.0,-47.0,2,0.016941070556640625,2
-35.0,-53.0,-32.0,2,0.016948938369750977,2
-45.0,-36.0,-53.0,3,0.026801109313964844,2
-32.0,-54.0,-32.0,3,0.026849985122680664,2
-37.0,-50.0,-33.0,4,0.034668922424316406,3
-52.0,-31.0,-52.0,4,0.03467202186584473,3
-46.0,-39.0,-45.0,4,0.03468799591064453,3
-55.0,-25.0,-58.0,5,0.0420069694519043,3
-56.0,-25.0,-55.0,5,0.04201006889343262,3
-49.0,-36.0,-50.0,6,0.04719400405883789,3
-34.0,-52.0,-35.0,6,0.04722094535827637,3
-34.0,-53.0,-33.0,7,0.05076408386230469,3
-44.0,-40.0,-46.0,8,0.057524919509887695,4
-42.0,-41.0,-48.0,8,0.05754709243774414,4
-49.0,-32.0,-54.0,9,0.06364011764526367,4
-46.0,-35.0,-53.0,10,0.0692601203918457,4
-50.0,-33.0,-52.0,12,0.08057403564453125,4
-44.0,-46.0,-36.0,12,0.08057713508605957,4
-40.0,-48.0,-37.0,12,0.08058404922485352,4
-52.0,-33.0,-51.0,14,0.09315204620361328,4
-37.0,-49.0,-39.0,14,0.09315896034240723,4
-44.0,-37.0,-50.0,14,0.0931699275970459,4
-45.0,-42.0,-45.0,15,0.09676194190979004,4
-27.0,-49.0,-40.0,16,0.10370302200317383,5
-47.0,-37.0,-46.0,18,0.11671996116638184,5
-50.0,-32.0,-53.0,22,0.13684296607971191,5
-41.0,-46.0,-38.0,25,0.14775514602661133,5
-48.0,-42.0,-39.0,26,0.15176606178283691,5
-40.0,-49.0,-36.0,26,0.15177607536315918,5
-47.0,-32.0,-55.0,32,0.17142701148986816,6
-39.0,-40.0,-49.0,32,0.17144513130187988,6
-43.0,-38.0,-48.0,38,0.19816207885742188,6
-41.0,-45.0,-39.0,44,0.21940898895263672,6
-46.0,-34.0,-54.0,47,0.22785401344299316,6
-50.0,-37.0,-41.0,48,0.23348093032836914,6
-49.0,-35.0,-51.0,52,0.24626994132995605,6
-49.0,-40.0,-41.0,54,0.2509639263153076,6
-20.0,-59.0,-23.0,64,0.2766001224517822,7
-21.0,-55.0,-30.0,64,0.27660393714904785,7
-31.0,-51.0,-38.0,68,0.2948751449584961,7
-39.0,-44.0,-41.0,77,0.32787394523620605,7
-36.0,-45.0,-43.0,81,0.34186697006225586,7
-39.0,-46.0,-40.0,106,0.4160919189453125,7
-44.0,-43.0,-41.0,116,0.4352719783782959,7
-40.0,-39.0,-49.0,134,0.4835350513458252,8
-29.0,-53.0,-35.0,137,0.49209094047546387,8
-42.0,-45.0,-38.0,186,0.6091790199279785,8
-47.0,-38.0,-44.0,186,0.6091940402984619,8
-36.0,-38.0,-50.0,235,0.720674991607666,9
-38.0,-50.0,-29.0,272,0.8037819862365723,9
-47.0,-39.0,-43.0,292,0.8423831462860107,9
-37.0,-44.0,-43.0,360,1.0102550983428955,10
-46.0,-30.0,-57.0,442,1.190614938735962,11
-28.0,-57.0,-28.0,448,1.2045049667358398,11
-48.0,-37.0,-43.0,541,1.3799209594726562,12
