z1,z2,z3,node,time,depth
-59.0,-19.0,-60.0,1,0.0056040287017822266,1
-35.0,-47.0,-45.0,1,0.005608081817626953,1
-51.0,-28.0,-62.0,1,0.005610942840576172,1
-42.0,-35.0,-56.0,1,0.0056149959564208984,1
-59.0,-18.0,-64.0,1,0.005618095397949219,1
-50.0,-41.0,-37.0,1,0.005621910095214844,1
-53.0,-34.0,-47.0,1,0.00562596321105957,1
-23.0,-61.0,-19.0,1,0.005629062652587891,1
-34.0,-54.0,-31.0,1,0.005633115768432617,1
-30.0,-57.0,-26.0,1,0.005635976791381836,1
-27.0,-58.0,-28.0,1,0.0056400299072265625,1
-19.0,-60.0,-23.0,1,0.005643129348754883,1
-42.0,-49.0,-35.0,1,0.0056459903717041016,1
-51.0,-36.0,-49.0,1,0.005650043487548828,1
-38.0,-48.0,-42.0,1,0.005654096603393555,1
-46.0,-42.0,-44.0,1,0.0056569576263427734,1
-54.0,-29.0,-59.0,1,0.0056610107421875,1
-45.0,-36.0,-53.0,2,0.011078119277954102,2
-32.0,-54.0,-32.0,2,0.011121988296508789,2
-34.0,-53.0,-33.0,3,0.014725923538208008,3
-45.0,-42.0,-45.0,4,0.017395973205566406,4
-52.0,-33.0,-51.0,37,0.06425809860229492,4
-37.0,-49.0,-39.0,37,0.06426501274108887,4
-44.0,-37.0,-50.0,37,0.06427597999572754,4
-44.0,-43.0,-41.0,50,0.08192205429077148,7
-49.0,-36.0,-50.0,96,0.15893197059631348,3
-34.0,-52.0,-35.0,96,0.15896010398864746,3
-49.0,-40.0,-41.0,108,0.17901206016540527,6
-48.0,-42.0,-39.0,131,0.2160201072692871,5
-40.0,-49.0,-36.0,131,0.21603107452392578,5
-39.0,-46.0,-40.0,134,0.22541499137878418,7
-49.0,-35.0,-51.0,143,0.24360203742980957,6
-47.0,-39.0,-43.0,161,0.2818589210510254,9
-48.0,-37.0,-43.0,164,0.2869720458984375,12
-50.0,-33.0,-52.0,182,0.32392311096191406,4
-44.0,-46.0,-36.0,182,0.3239269256591797,4
-40.0,-48.0,-37.0,182,0.32393407821655273,4
-41.0,-46.0,-38.0,183,0.32802891731262207,5
-46.0,-39.0,-45.0,188,0.3379850387573242,7
-42.0,-45.0,-38.0,194,0.34760212898254395,8
-47.0,-38.0,-44.0,194,0.34761691093444824,8
-50.0,-37.0,-41.0,268,0.4842660427093506,6
-38.0,-50.0,-29.0,287,0.5165328979492188,9
-43.0,-41.0,-47.0,297,0.553508996963501,2
-55.0,-27.0,-55.0,297,0.5535199642181396,2
-55.0,-29.0,-47.0,297,0.5535271167755127,2
-54.0,-31.0,-47.0,297,0.553537130355835,2
-35.0,-53.0,-32.0,297,0.5535409450531006,2
-55.0,-25.0,-58.0,298,0.5602209568023682,3
-56.0,-25.0,-55.0,298,0.5602240562438965,3
-46.0,-34.0,-54.0,301,0.5686120986938477,6
-44.0,-40.0,-46.0,325,0.6051020622253418,5
-50.0,-32.0,-53.0,325,0.605118989944458,5
-41.0,-45.0,-39.0,335,0.6266570091247559,6
-46.0,-35.0,-53.0,354,0.6621029376983643,4
-36.0,-45.0,-43.0,389,0.7533609867095947,7
-37.0,-50.0,-33.0,423,0.8481869697570801,3
-52.0,-31.0,-52.0,423,0.8481910228729248,3
-49.0,-32.0,-54.0,424,0.8537509441375732,4
-43.0,-38.0,-48.0,445,0.8960840702056885,6
-39.0,-44.0,-41.0,446,0.8993210792541504,7
-47.0,-37.0,-46.0,450,0.9136168956756592,5
-42.0,-41.0,-48.0,451,0.9196460247039795,4
-37.0,-44.0,-43.0,467,0.9549069404602051,10
-31.0,-51.0,-38.0,486,0.9893019199371338,7
-29.0,-53.0,-35.0,487,0.9919419288635254,8
-28.0,-57.0,-28.0,510,1.039384126663208,11
-27.0,-49.0,-40.0,529,1.0780010223388672,5
-36.0,-38.0,-50.0,533,1.0907540321350098,9
-46.0,-30.0,-57.0,539,1.099005937576294,11
-40.0,-39.0,-49.0,547,1.1146681308746338,8
-47.0,-32.0,-55.0,601,1.252243995666504,6
-39.0,-40.0,-49.0,601,1.2522609233856201,6
-20.0,-59.0,-23.0,637,1.3576469421386719,7
-21.0,-55.0,-30.0,637,1.3576500415802002,7
