z1,z2,z3,node,time,depth
-53.0,-20.0,-56.0,1,0.0056438446044921875,1
-58.0,-19.0,-55.0,1,0.005647897720336914,1
-55.0,-24.0,-55.0,1,0.005650997161865234,1
-18.0,-66.0,-17.0,1,0.005654811859130859,1
-16.0,-66.0,-20.0,1,0.00565791130065918,1
-28.0,-61.0,-23.0,1,0.005661964416503906,1
-54.0,-34.0,-45.0,1,0.005664825439453125,1
-43.0,-48.0,-36.0,1,0.0056688785552978516,1
-60.0,-26.0,-52.0,1,0.005671977996826172,1
-47.0,-41.0,-43.0,1,0.0056760311126708984,1
-52.0,-33.0,-49.0,1,0.005678892135620117,1
-34.0,-57.0,-31.0,1,0.005682945251464844,1
-58.0,-25.0,-54.0,1,0.0056858062744140625,1
-46.0,-28.0,-54.0,1,0.005689859390258789,1
-51.0,-30.0,-52.0,1,0.005692958831787109,1
-43.0,-39.0,-46.0,1,0.005697011947631836,1
-39.0,-36.0,-49.0,1,0.005699872970581055,1
-45.0,-43.0,-40.0,2,0.01254892349243164,2
-54.0,-32.0,-48.0,2,0.012555837631225586,2
-53.0,-31.0,-50.0,2,0.012569904327392578,2
-53.0,-30.0,-51.0,2,0.012576818466186523,2
-31.0,-53.0,-34.0,2,0.01258087158203125,2
-38.0,-44.0,-42.0,2,0.012588024139404297,2
-43.0,-41.0,-44.0,2,0.012594938278198242,2
-43.0,-40.0,-45.0,3,0.01835799217224121,3
-49.0,-32.0,-50.0,4,0.02161884307861328,4
-55.0,-29.0,-50.0,31,0.06582188606262207,4
-45.0,-38.0,-45.0,41,0.08243083953857422,8
-53.0,-33.0,-46.0,49,0.09728693962097168,5
-50.0,-38.0,-39.0,100,0.2013859748840332,3
-45.0,-40.0,-44.0,100,0.20142388343811035,3
-45.0,-37.0,-46.0,103,0.21199989318847656,6
-48.0,-28.0,-53.0,140,0.2946279048919678,4
-41.0,-37.0,-47.0,141,0.300203800201416,5
-40.0,-47.0,-37.0,152,0.323131799697876,7
-36.0,-47.0,-39.0,180,0.38042497634887695,5
-39.0,-37.0,-48.0,180,0.3804318904876709,5
-41.0,-34.0,-49.0,183,0.3905208110809326,8
-52.0,-35.0,-46.0,240,0.5772638320922852,3
-42.0,-46.0,-39.0,252,0.6012399196624756,6
-37.0,-49.0,-37.0,252,0.6012430191040039,6
-29.0,-59.0,-24.0,262,0.616786003112793,7
-30.0,-59.0,-23.0,262,0.6167929172515869,7
-44.0,-44.0,-40.0,281,0.6916229724884033,5
-39.0,-50.0,-35.0,281,0.6916379928588867,5
-44.0,-43.0,-41.0,281,0.6916458606719971,5
-48.0,-39.0,-40.0,297,0.727794885635376,9
-51.0,-35.0,-47.0,320,0.7924129962921143,4
-25.0,-59.0,-26.0,320,0.7924158573150635,4
-39.0,-48.0,-38.0,320,0.7924230098724365,4
-51.0,-34.0,-48.0,333,0.8233258724212646,6
-32.0,-55.0,-32.0,391,0.9533920288085938,3
-18.0,-65.0,-21.0,391,0.9533989429473877,3
-34.0,-54.0,-33.0,391,0.9534058570861816,3
-20.0,-65.0,-18.0,391,0.95340895652771,3
-31.0,-58.0,-23.0,391,0.9534199237823486,3
-46.0,-42.0,-42.0,391,0.9534299373626709,3
-37.0,-52.0,-28.0,392,0.958223819732666,4
-53.0,-35.0,-45.0,393,0.9621708393096924,5
-51.0,-36.0,-45.0,407,0.9886698722839355,6
-55.0,-31.0,-46.0,443,1.0653939247131348,6
-56.0,-30.0,-46.0,465,1.104970932006836,12
-56.0,-28.0,-48.0,503,1.189823865890503,4
-44.0,-45.0,-38.0,503,1.1898348331451416,4
-43.0,-36.0,-47.0,503,1.1898419857025146,4
-39.0,-45.0,-40.0,503,1.1898448467254639,4
-47.0,-39.0,-44.0,503,1.1898488998413086,4
-24.0,-60.0,-26.0,504,1.1945469379425049,5
-48.0,-38.0,-43.0,548,1.2880089282989502,7
-29.0,-58.0,-26.0,599,1.4352059364318848,6
-26.0,-58.0,-28.0,600,1.441053867340088,7
-27.0,-59.0,-25.0,600,1.4410638809204102,7
-19.0,-62.0,-19.0,643,1.6018569469451904,19
