z1,z2,z3,node,time,depth
50.0,76.0,45.0,1,0.018817901611328125,1
53.0,61.0,56.0,1,0.01882791519165039,1
66.0,55.0,59.0,1,0.018832921981811523,1
66.0,52.0,67.0,1,0.018838882446289062,1
48.0,71.0,47.0,1,0.018843889236450195,1
110.0,44.0,104.0,1,0.018863916397094727,1
73.0,51.0,64.0,1,0.018878936767578125,1
101.0,47.0,97.0,5,0.03676295280456543,5
106.0,47.0,95.0,20,0.09797906875610352,5
107.0,45.0,104.0,52,0.2374420166015625,3
105.0,48.0,94.0,52,0.23746204376220703,3
98.0,48.0,97.0,52,0.2374870777130127,3
96.0,49.0,97.0,52,0.23749208450317383,3
104.0,50.0,95.0,59,0.30416107177734375,8
105.0,46.0,104.0,80,0.38275790214538574,9
47.0,103.0,47.0,92,0.5078449249267578,4
