z1,z2,z3,node,time,depth
12.0,52.0,13.0,1,0.004942893981933594,1
12.0,50.0,14.0,1,0.004945993423461914,1
28.0,30.0,31.0,1,0.004948854446411133,1
33.0,28.0,33.0,1,0.0049550533294677734,1
26.0,35.0,24.0,1,0.004957914352416992,1
22.0,36.0,23.0,1,0.004961967468261719,1
50.0,20.0,57.0,1,0.004965066909790039,1
40.0,22.0,48.0,1,0.004967927932739258,1
21.0,37.0,22.0,1,0.004971027374267578,1
13.0,48.0,13.0,1,0.004973888397216797,1
15.0,44.0,16.0,1,0.004976987838745117,1
17.0,43.0,16.0,1,0.004979848861694336,1
39.0,26.0,39.0,3,0.014668941497802734,2
35.0,27.0,37.0,3,0.014672040939331055,2
28.0,34.0,28.0,7,0.03229498863220215,3
32.0,29.0,33.0,26,0.10535788536071777,5
34.0,27.0,40.0,27,0.10831999778747559,5
27.0,34.0,31.0,31,0.12114405632019043,5
39.0,25.0,42.0,42,0.16028094291687012,6
35.0,26.0,40.0,52,0.18999195098876953,6
17.0,47.0,15.0,69,0.23976993560791016,7
21.0,42.0,18.0,69,0.23977303504943848,7
29.0,33.0,29.0,94,0.3088948726654053,7
20.0,41.0,22.0,115,0.36450695991516113,8
30.0,32.0,30.0,134,0.41269397735595703,8
19.0,42.0,21.0,152,0.46175193786621094,8
52.0,21.0,55.0,228,0.6362118721008301,10
42.0,23.0,46.0,228,0.6362180709838867,10
