z1,z2,z3,node,time,depth
15.0,56.0,13.0,1,0.011950969696044922,1
11.0,53.0,17.0,1,0.011954069137573242,1
36.0,24.0,39.0,1,0.011958122253417969,1
21.0,38.0,33.0,1,0.011964082717895508,1
14.0,53.0,14.0,1,0.011966943740844727,1
52.0,11.0,60.0,1,0.011970043182373047,1
45.0,15.0,54.0,1,0.011976957321166992,1
38.0,21.0,47.0,1,0.011980056762695312,1
11.0,51.0,19.0,1,0.011982917785644531,1
15.0,45.0,27.0,1,0.011986017227172852,1
20.0,42.0,23.0,1,0.011989116668701172,1
26.0,37.0,27.0,1,0.01199197769165039,1
26.0,36.0,28.0,1,0.011996030807495117,1
31.0,28.0,36.0,1,0.012005090713500977,1
14.0,51.0,15.0,1,0.012015104293823242,1
13.0,50.0,16.0,1,0.012017965316772461,1
44.0,16.0,50.0,1,0.012021064758300781,1
51.0,12.0,56.0,1,0.01202392578125,1
20.0,43.0,22.0,2,0.01864004135131836,2
23.0,37.0,31.0,2,0.01864314079284668,2
43.0,19.0,46.0,2,0.0186460018157959,2
51.0,14.0,53.0,2,0.01864910125732422,2
44.0,17.0,49.0,2,0.018656015396118164,2
36.0,23.0,43.0,2,0.018659114837646484,2
37.0,22.0,47.0,2,0.018661975860595703,2
43.0,18.0,50.0,3,0.024532079696655273,3
41.0,19.0,53.0,3,0.02454209327697754,3
26.0,35.0,30.0,4,0.030192136764526367,4
27.0,33.0,32.0,4,0.0301971435546875,4
32.0,27.0,40.0,6,0.03586292266845703,6
32.0,29.0,35.0,30,0.06537914276123047,9
28.0,34.0,31.0,32,0.06810712814331055,10
31.0,31.0,35.0,37,0.0760340690612793,10
29.0,31.0,36.0,81,0.17557907104492188,4
40.0,20.0,49.0,81,0.17559504508972168,4
35.0,25.0,42.0,81,0.1755990982055664,4
32.0,30.0,34.0,81,0.17560791969299316,4
35.0,26.0,40.0,82,0.18118906021118164,5
30.0,32.0,34.0,118,0.2851700782775879,6
28.0,32.0,40.0,118,0.28517699241638184,6
31.0,32.0,33.0,211,0.5331399440765381,8
22.0,41.0,24.0,218,0.5461859703063965,10
25.0,38.0,28.0,231,0.5719759464263916,9
29.0,32.0,35.0,252,0.6429169178009033,3
23.0,38.0,30.0,252,0.642920970916748,3
40.0,21.0,46.0,253,0.6472930908203125,4
41.0,22.0,45.0,256,0.6543419361114502,7
44.0,20.0,45.0,307,0.7665369510650635,6
51.0,15.0,52.0,307,0.7665400505065918,6
48.0,14.0,55.0,332,0.8373410701751709,4
32.0,31.0,33.0,332,0.8373501300811768,4
51.0,13.0,55.0,332,0.8373560905456543,4
25.0,39.0,27.0,365,0.9132781028747559,6
50.0,12.0,62.0,413,1.0872161388397217,2
18.0,43.0,25.0,413,1.0872290134429932,2
30.0,29.0,38.0,413,1.0872321128845215,2
16.0,45.0,24.0,413,1.0872440338134766,2
19.0,43.0,23.0,500,1.3068420886993408,4
14.0,49.0,17.0,501,1.310042142868042,5
24.0,36.0,32.0,502,1.313270092010498,6
19.0,45.0,22.0,513,1.3274569511413574,8
19.0,47.0,20.0,523,1.339447021484375,9
18.0,45.0,23.0,523,1.33945894241333,9
16.0,48.0,18.0,530,1.3506381511688232,7
25.0,40.0,26.0,563,1.4059131145477295,6
22.0,46.0,20.0,563,1.4059250354766846,6
26.0,34.0,34.0,563,1.4059381484985352,6
22.0,40.0,28.0,565,1.4135310649871826,8
24.0,38.0,29.0,576,1.433532953262329,8
18.0,46.0,21.0,685,1.6829860210418701,8
24.0,39.0,28.0,685,1.6830079555511475,8
28.0,31.0,42.0,715,1.7883729934692383,3
49.0,13.0,58.0,715,1.7883760929107666,3
42.0,18.0,53.0,715,1.7884070873260498,3
34.0,26.0,44.0,715,1.7884190082550049,3
17.0,44.0,25.0,716,1.7977299690246582,4
21.0,40.0,31.0,717,1.803779125213623,5
22.0,39.0,32.0,774,1.9644360542297363,10
15.0,47.0,25.0,808,2.0563530921936035,6
17.0,46.0,23.0,808,2.056368112564087,6
