z1,z2,z3,node,time,depth
-11467.0,-18891.0,-11998.0,1,0.04445385932922363,1
-18613.0,-11913.0,-18954.0,1,0.044461965560913086,1
-18824.0,-11544.0,-18825.0,1,0.04447007179260254,1
-17979.0,-11786.0,-19249.0,1,0.04447793960571289,1
-13960.0,-17036.0,-14607.0,1,0.04448699951171875,1
-11694.0,-18945.0,-11838.0,1,0.0444948673248291,1
-11760.0,-18930.0,-11703.0,1,0.044502973556518555,1
-12309.0,-18326.0,-12872.0,1,0.04451107978820801,1
-12622.0,-18503.0,-12493.0,1,0.04451894760131836,1
-18780.0,-12084.0,-18768.0,1,0.04452705383300781,1
-18991.0,-11715.0,-18639.0,1,0.04453587532043457,1
-18092.0,-12303.0,-19160.0,1,0.04454398155212402,1
-17930.0,-12175.0,-19211.0,1,0.044551849365234375,1
-18390.0,-11806.0,-19104.0,1,0.04455995559692383,1
-18141.0,-11914.0,-19198.0,1,0.04456806182861328,1
-16845.0,-14650.0,-16323.0,1,0.04457592964172363,1
-18637.0,-12370.0,-18609.0,1,0.04458498954772949,1
-16009.0,-14678.0,-17118.0,1,0.044592857360839844,1
-19311.0,-11680.0,-17713.0,1,0.0446009635925293,1
-19301.0,-11802.0,-17685.0,1,0.04460906982421875,1
-19238.0,-12011.0,-17812.0,1,0.0446169376373291,1
-19022.0,-11735.0,-18561.0,1,0.044625043869018555,1
-19010.0,-11865.0,-18542.0,1,0.044632911682128906,1
-18208.0,-12290.0,-19111.0,1,0.04464101791381836,1
-18506.0,-11793.0,-19055.0,1,0.04464888572692871,1
-18257.0,-11901.0,-19149.0,1,0.044656991958618164,1
-18488.0,-13029.0,-17200.0,1,0.044664859771728516,1
-19152.0,-12246.0,-17912.0,1,0.04467296600341797,1
-18385.0,-13035.0,-17543.0,1,0.04468107223510742,1
-17566.0,-13879.0,-17118.0,1,0.04468894004821777,1
-18988.0,-12305.0,-18122.0,1,0.04469799995422363,1
-18098.0,-13158.0,-17937.0,1,0.044705867767333984,1
-18224.0,-12976.0,-18102.0,1,0.04471397399902344,1
-13362.0,-17743.0,-13628.0,1,0.04472208023071289,1
-13593.0,-17783.0,-13247.0,1,0.04473090171813965,1
-17747.0,-13223.0,-18424.0,1,0.0447390079498291,1
-18262.0,-13099.0,-17727.0,1,0.04474687576293945,1
-16558.0,-14658.0,-17034.0,1,0.044754981994628906,1
-17631.0,-13236.0,-18473.0,1,0.04476284980773926,1
-15210.0,-15955.0,-15729.0,1,0.04477095603942871,1
-17669.0,-13873.0,-16775.0,1,0.044779062271118164,1
-17936.0,-13601.0,-16551.0,1,0.044786930084228516,1
-17279.0,-14002.0,-17512.0,1,0.04479503631591797,1
-17405.0,-13887.0,-17545.0,1,0.04480290412902832,1
-17443.0,-13943.0,-17302.0,1,0.04481101036071777,1
-14661.0,-15975.0,-15813.0,1,0.044818878173828125,1
-16408.0,-14636.0,-17116.0,1,0.04482698440551758,1
-15658.0,-15266.0,-16489.0,1,0.04483485221862793,1
-14612.0,-16662.0,-14750.0,1,0.04484295845031738,1
-15960.0,-15365.0,-16055.0,1,0.044851064682006836,1
-14969.0,-16527.0,-14365.0,1,0.044859886169433594,1
-15410.0,-15994.0,-15178.0,1,0.04486799240112305,1
-12273.0,-18116.0,-12998.0,2,0.07731795310974121,2
-19199.0,-11822.0,-17984.0,2,0.077362060546875,2
-19133.0,-12096.0,-18009.0,2,0.07737088203430176,2
-13121.0,-17930.0,-13269.0,2,0.07737994194030762,2
-14938.0,-16429.0,-14680.0,2,0.07739686965942383,2
-13214.0,-17888.0,-13298.0,2,0.07740592956542969,2
-14092.0,-17210.0,-14023.0,2,0.07747602462768555,2
-18945.0,-12333.0,-17945.0,2,0.07753396034240723,2
-18402.0,-12951.0,-17732.0,2,0.07754993438720703,2
-17833.0,-13607.0,-16894.0,2,0.07757306098937988,2
-18126.0,-13177.0,-17520.0,3,0.10146307945251465,3
-16901.0,-13914.0,-17768.0,3,0.10148286819458008,3
-16909.0,-13756.0,-17890.0,3,0.10149693489074707,3
-17583.0,-13795.0,-17307.0,3,0.10154390335083008,3
-13715.0,-17316.0,-13897.0,4,0.12352585792541504,4
-13740.0,-17309.0,-13682.0,4,0.12360692024230957,4
-14554.0,-16422.0,-15235.0,4,0.12364792823791504,4
