z1,z2,z3,node,time,depth
-2081.0,-10303.0,-2181.0,1,0.03021097183227539,1
-9660.0,-1826.0,-9879.0,1,0.030219078063964844,1
-2423.0,-10192.0,-2292.0,1,0.030226945877075195,1
-4574.0,-8285.0,-4356.0,1,0.030236005783081055,1
-9566.0,-2226.0,-10060.0,1,0.030245065689086914,1
-9689.0,-1981.0,-9602.0,1,0.030252933502197266,1
-9461.0,-2483.0,-10103.0,1,0.030261993408203125,1
-9567.0,-2589.0,-9603.0,1,0.030270099639892578,1
-1799.0,-10080.0,-2532.0,1,0.03027796745300293,1
-2352.0,-10238.0,-2285.0,1,0.03028702735900879,1
-4033.0,-8148.0,-4745.0,1,0.03029489517211914,1
-2793.0,-9555.0,-3175.0,1,0.030303001403808594,1
-9635.0,-2201.0,-9821.0,1,0.030310869216918945,1
-9350.0,-2097.0,-10182.0,1,0.030319929122924805,1
-9406.0,-2219.0,-10179.0,1,0.030328035354614258,1
-9103.0,-3146.0,-9491.0,1,0.030337095260620117,1
-9238.0,-2746.0,-9902.0,1,0.03034496307373047,1
-4679.0,-8270.0,-4092.0,1,0.030354022979736328,1
-5474.0,-7520.0,-4558.0,1,0.03036189079284668,1
-6062.0,-6942.0,-5094.0,1,0.030369997024536133,1
-7992.0,-3934.0,-8842.0,1,0.030378103256225586,1
-5274.0,-7035.0,-5983.0,1,0.030386924743652344,1
-7634.0,-4597.0,-8230.0,1,0.030395030975341797,1
-4356.0,-8269.0,-4592.0,1,0.030404090881347656,1
-5676.0,-6999.0,-5795.0,1,0.030411958694458008,1
-6324.0,-6104.0,-6823.0,1,0.03042006492614746,1
-5894.0,-7015.0,-5559.0,1,0.030427932739257812,1
-8880.0,-3409.0,-9290.0,1,0.030436992645263672,1
-6960.0,-5825.0,-6716.0,1,0.030445098876953125,1
-9590.0,-2585.0,-9500.0,1,0.030452966690063477,1
-9653.0,-2458.0,-9433.0,1,0.030462026596069336,1
-9664.0,-2356.0,-9544.0,1,0.030469894409179688,1
-9650.0,-2462.0,-9536.0,1,0.030478954315185547,1
-9214.0,-3272.0,-8821.0,1,0.030487060546875,1
-7277.0,-5687.0,-6561.0,1,0.03049492835998535,1
-9209.0,-3252.0,-8991.0,1,0.030503034591674805,1
-8592.0,-4192.0,-7890.0,1,0.030512094497680664,1
-8587.0,-4180.0,-7968.0,1,0.030519962310791016,1
-3190.0,-9356.0,-2394.0,2,0.06624507904052734,2
-8112.0,-4337.0,-7561.0,35270,201.4007580280304,3
-6195.0,-6602.0,-5217.0,35270,201.4007658958435,3
-7403.0,-5121.0,-6977.0,35270,201.4008491039276,3
-6300.0,-6587.0,-4953.0,35270,201.40090703964233,3
-2550.0,-9878.0,-1773.0,35270,201.40096497535706,3
-4959.0,-7890.0,-3357.0,35270,201.40097403526306,3
-5530.0,-7301.0,-4300.0,35270,201.40099000930786,3
-5635.0,-7286.0,-4036.0,35270,201.40099906921387,3
