z1,z2,z3,node,time,depth
-2012.0,-10016.0,-1890.0,1,0.030135154724121094,1
-9468.0,-1438.0,-9746.0,1,0.03014397621154785,1
-8275.0,-4754.0,-7512.0,1,0.03015303611755371,1
-8239.0,-4617.0,-7916.0,1,0.030163049697875977,1
-6147.0,-6928.0,-5645.0,1,0.030173063278198242,1
-6721.0,-6334.0,-6287.0,1,0.0301821231842041,1
-2656.0,-9397.0,-3179.0,1,0.030193090438842773,1
-4007.0,-8911.0,-3315.0,1,0.030202150344848633,1
-3191.0,-9444.0,-2312.0,1,0.0302121639251709,1
-2184.0,-9992.0,-1774.0,1,0.030220985412597656,1
-10063.0,-1935.0,-9496.0,1,0.030230998992919922,1
-8936.0,-3749.0,-8430.0,1,0.030239105224609375,1
-9456.0,-2016.0,-9670.0,1,0.030248165130615234,1
-9237.0,-3080.0,-8954.0,1,0.0302581787109375,1
-7426.0,-5597.0,-6961.0,1,0.030267000198364258,1
-7418.0,-5652.0,-6799.0,1,0.030276060104370117,1
-6716.0,-6271.0,-6539.0,1,0.030286073684692383,1
-7918.0,-4610.0,-8035.0,1,0.03029608726501465,1
-6071.0,-5827.0,-7110.0,1,0.030305147171020508,1
-6755.0,-6080.0,-6753.0,1,0.030313968658447266,1
-7879.0,-4682.0,-7979.0,1,0.030323028564453125,1
-6582.0,-5902.0,-6979.0,1,0.03033304214477539,1
-5366.0,-7637.0,-5173.0,1,0.030343055725097656,1
-4980.0,-7646.0,-5390.0,1,0.030352115631103516,1
-4485.0,-8263.0,-4608.0,1,0.030361175537109375,1
-2115.0,-9843.0,-2267.0,1,0.030369997024536133,1
-2149.0,-9917.0,-2112.0,1,0.030380964279174805,1
-3000.0,-9459.0,-2777.0,1,0.03039097785949707,1
-3996.0,-8839.0,-3671.0,1,0.030402183532714844,1
-2884.0,-9413.0,-3079.0,1,0.0304110050201416,1
-9918.0,-2211.0,-9412.0,1,0.030421018600463867,1
-9617.0,-2880.0,-8888.0,1,0.030431032180786133,1
-8989.0,-3900.0,-8153.0,1,0.030441999435424805,1
-9670.0,-3031.0,-8611.0,1,0.030451059341430664,1
-10231.0,-1826.0,-9126.0,1,0.030460119247436523,1
-10193.0,-1992.0,-9020.0,1,0.03047013282775879,1
-10129.0,-2026.0,-9225.0,1,0.03047919273376465,1
-9325.0,-2833.0,-9129.0,1,0.030488014221191406,1
-8900.0,-2726.0,-9342.0,1,0.030498027801513672,1
-9784.0,-1828.0,-9743.0,1,0.03050708770751953,1
-4257.0,-8247.0,-4708.0,1,0.030518054962158203,1
-3099.0,-9029.0,-3771.0,1,0.030527114868164062,1
-3327.0,-9045.0,-3671.0,1,0.030537128448486328,1
-4197.0,-8347.0,-4592.0,1,0.030547142028808594,1
-7004.0,-6030.0,-6358.0,2,0.06386804580688477,2
-6155.0,-6873.0,-5807.0,2,0.06388401985168457,2
-6968.0,-5893.0,-6762.0,2,0.06389212608337402,2
-3731.0,-8816.0,-3879.0,2,0.06396603584289551,2
-8750.0,-2396.0,-9388.0,2,0.06399798393249512,2
-9747.0,-1940.0,-9559.0,2,0.06400609016418457,2
-8560.0,-3813.0,-8437.0,2,0.06401395797729492,2
-8599.0,-3741.0,-8493.0,2,0.06410408020019531,2
-2758.0,-9466.0,-2757.0,3,0.0895390510559082,2
-5866.0,-7083.0,-5703.0,3,0.08954715728759766,2
-4507.0,-8357.0,-3845.0,3,0.08960413932800293,2
-10087.0,-1745.0,-9384.0,3,0.08961200714111328,2
-9876.0,-1930.0,-9571.0,3,0.08962011337280273,2
-2558.0,-9475.0,-2859.0,3,0.08968496322631836,2
-2592.0,-9549.0,-2704.0,3,0.08970117568969727,2
-3493.0,-8962.0,-3724.0,3,0.08971714973449707,2
-4491.0,-8222.0,-4453.0,3,0.08972501754760742,2
-9226.0,-3486.0,-7992.0,3,0.08975815773010254,2
-10151.0,-1711.0,-9179.0,3,0.08976602554321289,2
-9628.0,-2750.0,-8770.0,3,0.08977413177490234,2
-9249.0,-2479.0,-9314.0,4,0.12196207046508789,3
-6181.0,-6843.0,-5462.0,4,0.12198710441589355,3
-9785.0,-2771.0,-8518.0,4,0.1219949722290039,3
-3180.0,-9372.0,-2668.0,4,0.12201118469238281,3
-5400.0,-7552.0,-4990.0,4,0.12214112281799316,3
-6763.0,-5691.0,-6877.0,4,0.12225508689880371,3
-9572.0,-2978.0,-8643.0,4,0.12227106094360352,3
-3019.0,-9468.0,-2428.0,5,0.14786601066589355,3
-5927.0,-6857.0,-5907.0,5,0.14797115325927734,3
-3742.0,-8888.0,-3523.0,5,0.1480109691619873,3
-4662.0,-8252.0,-4305.0,5,0.14802813529968262,3
-6789.0,-6200.0,-6366.0,6,0.1758100986480713,3
-3265.0,-8946.0,-3824.0,6,0.1758580207824707,3
-7570.0,-5491.0,-6838.0,6,0.17586612701416016,3
-7453.0,-5329.0,-7308.0,6,0.17588305473327637,3
-5141.0,-6949.0,-6031.0,6,0.17589116096496582,3
-5085.0,-7470.0,-5554.0,6,0.17589902877807617,3
-4302.0,-8171.0,-4756.0,6,0.17591500282287598,3
-4596.0,-8046.0,-4617.0,6,0.17592310905456543,3
-8814.0,-2758.0,-9260.0,6,0.17595505714416504,3
-8290.0,-3680.0,-8607.0,6,0.1759631633758545,3
-5971.0,-6907.0,-5867.0,6,0.17600417137145996,3
-7254.0,-5440.0,-7247.0,6,0.17604398727416992,3
-7952.0,-4689.0,-7802.0,6,0.17605209350585938,3
-6244.0,-6005.0,-6884.0,6,0.17606115341186523,3
-6838.0,-5646.0,-7124.0,6,0.17606902122497559,3
-6743.0,-5365.0,-7378.0,6,0.17607712745666504,3
-8891.0,-3847.0,-8185.0,7,0.20206308364868164,3
-8132.0,-4798.0,-7440.0,7,0.2020711898803711,3
-9245.0,-3360.0,-8073.0,7,0.20212817192077637,3
-2281.0,-9760.0,-2320.0,8,0.23551297187805176,4
-2338.0,-9833.0,-1955.0,8,0.23554515838623047,4
-3050.0,-9330.0,-3132.0,8,0.23556113243103027,4
-5437.0,-6430.0,-6325.0,8,0.23561811447143555,4
-5948.0,-6505.0,-6194.0,8,0.2356431484222412,4
-8936.0,-3292.0,-8652.0,8,0.23565101623535156,4
-3250.0,-8805.0,-3908.0,8,0.23566699028015137,4
-2822.0,-9314.0,-3232.0,8,0.23567509651184082,4
-2315.0,-9834.0,-2165.0,8,0.23570013046264648,4
-6957.0,-4807.0,-7645.0,8,0.23572397232055664,4
-7781.0,-4069.0,-8176.0,8,0.2357320785522461,4
-6742.0,-5670.0,-6886.0,8,0.23574018478393555,4
-7468.0,-4882.0,-7514.0,8,0.23575615882873535,4
-6083.0,-6471.0,-6179.0,8,0.23579716682434082,4
-8715.0,-3546.0,-8489.0,9,0.2657029628753662,4
-8777.0,-2870.0,-9076.0,10,0.28755903244018555,4
-3779.0,-8895.0,-3415.0,10,0.287567138671875,4
-6223.0,-6739.0,-5886.0,10,0.28757500648498535,4
