z1,z2,z3,node,time,depth
-1727.0,-6693.0,-6523.0,1,0.06420493125915527,1
-2253.0,-8825.0,-3155.0,1,0.06421399116516113,1
-3009.0,-2552.0,-9311.0,1,0.06422185897827148,1
-2125.0,-3539.0,-9043.0,1,0.06422996520996094,1
-3433.0,-8614.0,-2573.0,1,0.06423807144165039,1
-2086.0,-8755.0,-3706.0,1,0.06424593925476074,1
-3092.0,-8865.0,-2403.0,1,0.0642549991607666,1
-8084.0,-4944.0,-1617.0,1,0.06426286697387695,1
-5193.0,-1329.0,-8320.0,1,0.0642709732055664,1
-2433.0,-3263.0,-9237.0,1,0.06428003311157227,1
-2462.0,-7564.0,-5139.0,1,0.06428790092468262,1
-2051.0,-4438.0,-8363.0,1,0.06429600715637207,1
-2035.0,-6417.0,-6717.0,1,0.06430387496948242,1
-2108.0,-5478.0,-7507.0,1,0.06431198120117188,1
-3396.0,-3148.0,-8686.0,1,0.06432008743286133,1
-2508.0,-8695.0,-3460.0,1,0.06432795524597168,1
-2016.0,-8450.0,-4404.0,1,0.06433701515197754,1
-5932.0,-7329.0,-1597.0,1,0.06434488296508789,1
-5849.0,-7401.0,-1147.0,1,0.06435298919677734,1
-4891.0,-8066.0,-1550.0,1,0.0643608570098877,1
-5285.0,-7802.0,-1436.0,1,0.06436896324157715,1
-7855.0,-5292.0,-1374.0,1,0.0643770694732666,1
-6817.0,-6558.0,-1490.0,1,0.06438589096069336,1
-7342.0,-5926.0,-1244.0,1,0.06439399719238281,1
-7046.0,-6210.0,-1733.0,1,0.06440186500549316,1
-2849.0,-8444.0,-3630.0,1,0.06440997123718262,1
-2370.0,-8122.0,-4542.0,1,0.06441807746887207,1
-3894.0,-8644.0,-1892.0,1,0.06442594528198242,1
-4831.0,-8039.0,-1906.0,1,0.06443405151367188,1
-4370.0,-8009.0,-2587.0,1,0.06444191932678223,1
-5338.0,-7410.0,-2427.0,1,0.06445097923278809,1
-8047.0,-4831.0,-1926.0,1,0.06445908546447754,1
-8577.0,-2994.0,-2727.0,1,0.06446695327758789,1
-8570.0,-3670.0,-2172.0,1,0.06447505950927734,1
-4042.0,-1824.0,-9187.0,1,0.0644838809967041,1
-5227.0,-3340.0,-6959.0,1,0.06449198722839355,1
-5226.0,-5252.0,-5183.0,1,0.06450009346008301,1
-1800.0,-5754.0,-7313.0,1,0.06450796127319336,1
-1665.0,-5392.0,-7617.0,1,0.06451606750488281,1
-2359.0,-4162.0,-8557.0,1,0.06452393531799316,1
-2565.0,-5091.0,-7625.0,1,0.06453204154968262,1
-4965.0,-7990.0,-1766.0,1,0.06454086303710938,1
-5359.0,-7726.0,-1652.0,1,0.06454896926879883,1
-7850.0,-2802.0,-4528.0,1,0.06455707550048828,1
-7009.0,-6097.0,-2042.0,1,0.06456494331359863,1
-7334.0,-5297.0,-2730.0,1,0.06457304954528809,1
-3752.0,-7171.0,-4483.0,1,0.06458091735839844,1
-2687.0,-8187.0,-4188.0,1,0.06458902359008789,1
-2919.0,-7177.0,-5257.0,1,0.06459689140319824,1
-8370.0,-2039.0,-4378.0,1,0.0646049976348877,1
-8515.0,-2450.0,-3554.0,1,0.06461405754089355,1
-8528.0,-2714.0,-3397.0,1,0.0646219253540039,1
-2492.0,-6030.0,-6835.0,1,0.06463003158569336,1
-3439.0,-4604.0,-7386.0,1,0.06463789939880371,1
-3688.0,-2661.0,-8859.0,1,0.06464600563049316,1
-3459.0,-3641.0,-8209.0,1,0.06465387344360352,1
-3167.0,-4128.0,-8036.0,1,0.06466388702392578,1
-7482.0,-1725.0,-5691.0,1,0.06467199325561523,1
-6652.0,-1362.0,-6850.0,1,0.06467986106872559,1
-3168.0,-6974.0,-5287.0,1,0.06468796730041504,1
-3500.0,-6328.0,-5732.0,1,0.06469607353210449,1
-4942.0,-6362.0,-4289.0,1,0.06470394134521484,1
-5289.0,-6671.0,-3560.0,1,0.0647120475769043,1
-4610.0,-7008.0,-3844.0,1,0.06471991539001465,1
-5658.0,-4489.0,-5483.0,1,0.06472897529602051,1
-6156.0,-5207.0,-4238.0,1,0.06473708152770996,1
-6588.0,-4444.0,-4538.0,1,0.06474494934082031,1
-7015.0,-3425.0,-5075.0,1,0.06475305557250977,1
-8522.0,-3992.0,-2041.0,1,0.06476092338562012,1
-8033.0,-4510.0,-2410.0,1,0.06476998329162598,1
-6405.0,-6170.0,-2809.0,1,0.06477808952331543,1
-7320.0,-4976.0,-3214.0,1,0.06478595733642578,1
-4012.0,-3626.0,-7754.0,1,0.06479406356811523,1
-4447.0,-4902.0,-6283.0,1,0.06480193138122559,1
-3720.0,-4113.0,-7581.0,1,0.06481003761291504,1
-5524.0,-2419.0,-7345.0,1,0.06481790542602539,1
-4194.0,-1695.0,-9115.0,1,0.06482601165771484,1
-5501.0,-1857.0,-7717.0,1,0.0648338794708252,1
-7448.0,-2197.0,-5452.0,1,0.06484293937683105,1
-7173.0,-1404.0,-6251.0,1,0.06485104560852051,1
