z1,z2,z3,node,time,depth
-4054.0,-1318.0,-2242.0,1,0.008055925369262695,1
-3124.0,-3800.0,-1114.0,1,0.008059024810791016,1
-3669.0,-2753.0,-1330.0,1,0.008062124252319336,1
-3630.0,-1312.0,-3167.0,1,0.008064985275268555,1
-2541.0,-3819.0,-2154.0,1,0.008069038391113281,1
-543.0,-4535.0,-2837.0,1,0.008072137832641602,1
-545.0,-3255.0,-3919.0,1,0.00807499885559082,1
-1050.0,-4713.0,-2118.0,1,0.00807809829711914,1
-2436.0,-4570.0,-1023.0,1,0.008082151412963867,1
-3960.0,-1867.0,-2072.0,1,0.008085012435913086,1
-3229.0,-3049.0,-2245.0,1,0.008088111877441406,1
-2601.0,-867.0,-4204.0,1,0.008090972900390625,1
-3270.0,-852.0,-3693.0,1,0.008094072341918945,1
-900.0,-4634.0,-2676.0,1,0.008096933364868164,1
-2360.0,-3464.0,-2758.0,1,0.008100032806396484,1
-868.0,-4353.0,-3022.0,1,0.008103132247924805,1
-2390.0,-3791.0,-2381.0,1,0.008105993270874023,1
-726.0,-4113.0,-3397.0,1,0.008109092712402344,1
-1983.0,-3748.0,-2771.0,1,0.008111953735351562,1
-2094.0,-1572.0,-4332.0,1,0.008115053176879883,1
-2247.0,-2066.0,-3987.0,1,0.008118152618408203,1
-3536.0,-1861.0,-2997.0,1,0.008121013641357422,1
-2825.0,-1364.0,-3936.0,1,0.008124113082885742,1
-1438.0,-2711.0,-4127.0,1,0.008126974105834961,1
-2846.0,-2374.0,-3274.0,1,0.008130073547363281,1
-1953.0,-3421.0,-3148.0,1,0.0081329345703125,1
-2169.0,-2503.0,-3731.0,1,0.00813603401184082,1
-848.0,-3090.0,-3957.0,2,0.017068147659301758,2
-1475.0,-4500.0,-2126.0,2,0.017071008682250977,2
-2767.0,-2630.0,-2891.0,2,0.017074108123779297,2
-2510.0,-3543.0,-2200.0,2,0.017086029052734375,2
-2872.0,-2950.0,-2406.0,2,0.017091989517211914,2
-1898.0,-3045.0,-3404.0,2,0.017095088958740234,2
-1791.0,-3483.0,-3094.0,2,0.017104148864746094,2
-1384.0,-3440.0,-3484.0,2,0.017107009887695312,2
-3448.0,-1135.0,-3408.0,2,0.01711297035217285,2
-2965.0,-1200.0,-3811.0,2,0.01711893081665039,2
-3074.0,-1442.0,-3643.0,2,0.01712203025817871,2
-3291.0,-1862.0,-3031.0,2,0.01712799072265625,2
-3154.0,-1973.0,-3098.0,2,0.01713109016418457,2
-2035.0,-4299.0,-1862.0,3,0.02696704864501953,2
-3437.0,-2384.0,-2315.0,3,0.026986122131347656,2
-1752.0,-1808.0,-4169.0,3,0.026993989944458008,2
-1580.0,-2951.0,-3752.0,3,0.027014970779418945,2
-1205.0,-3189.0,-3796.0,3,0.027018070220947266,2
-2653.0,-3608.0,-1718.0,4,0.03559994697570801,3
-1965.0,-4378.0,-1627.0,4,0.03560304641723633,3
-2003.0,-3365.0,-2919.0,4,0.03560614585876465,3
-3763.0,-2204.0,-1500.0,4,0.03562211990356445,3
-3218.0,-3251.0,-1284.0,4,0.03562808036804199,3
-3659.0,-1988.0,-2180.0,4,0.03563714027404785,3
-3317.0,-2735.0,-1861.0,4,0.03564000129699707,3
-2138.0,-1824.0,-4155.0,4,0.03564906120300293,3
-2033.0,-3692.0,-2542.0,4,0.03565812110900879,3
-3214.0,-2203.0,-2725.0,4,0.03566694259643555,3
-2621.0,-1759.0,-3752.0,4,0.03567004203796387,3
-3179.0,-1762.0,-3158.0,4,0.03567194938659668,3
-2307.0,-2296.0,-3614.0,4,0.035675048828125,3
-1018.0,-4432.0,-2464.0,5,0.04191398620605469,3
-1687.0,-4183.0,-2294.0,5,0.04191708564758301,3
-1491.0,-3002.0,-3794.0,5,0.04193401336669922,3
