z1,z2,z3,node,time,depth
-47.0,-36.0,-34.0,1,0.0035200119018554688,1
-25.0,-48.0,-21.0,1,0.0035228729248046875,1
-19.0,-46.0,-27.0,1,0.003525972366333008,1
-39.0,-42.0,-32.0,1,0.003529071807861328,1
-36.0,-44.0,-30.0,1,0.003531932830810547,1
-48.0,-23.0,-49.0,1,0.003535032272338867,1
-52.0,-25.0,-44.0,1,0.003537893295288086,1
-30.0,-37.0,-40.0,1,0.0035409927368164062,1
-42.0,-28.0,-48.0,1,0.0035440921783447266,1
-27.0,-42.0,-35.0,1,0.0035469532012939453,1
-31.0,-43.0,-33.0,1,0.0035500526428222656,1
-53.0,-31.0,-37.0,1,0.0035529136657714844,1
-47.0,-27.0,-46.0,1,0.0035560131072998047,1
-43.0,-34.0,-41.0,1,0.0035588741302490234,1
-48.0,-32.0,-34.0,2,0.007898092269897461,2
-22.0,-40.0,-37.0,2,0.007912874221801758,2
-32.0,-43.0,-32.0,2,0.007919073104858398,2
-38.0,-33.0,-43.0,2,0.00793004035949707,2
-46.0,-30.0,-43.0,3,0.01202392578125,2
-27.0,-45.0,-26.0,4,0.015944957733154297,3
-48.0,-30.0,-39.0,4,0.015974044799804688,3
-37.0,-40.0,-33.0,4,0.015976905822753906,3
-38.0,-36.0,-39.0,4,0.015997886657714844,3
-36.0,-38.0,-37.0,5,0.01897907257080078,3
-25.0,-40.0,-36.0,8,0.026519060134887695,4
-30.0,-39.0,-36.0,9,0.02991795539855957,4
-34.0,-37.0,-38.0,9,0.029919862747192383,4
-52.0,-27.0,-38.0,12,0.036704063415527344,4
-29.0,-35.0,-41.0,14,0.04107499122619629,5
-42.0,-35.0,-36.0,15,0.044367074966430664,5
-44.0,-28.0,-44.0,35,0.08791995048522949,7
-30.0,-45.0,-24.0,63,0.13056397438049316,8
-33.0,-39.0,-35.0,96,0.1851508617401123,11
-35.0,-41.0,-34.0,106,0.20081496238708496,11
-40.0,-39.0,-32.0,116,0.2152700424194336,12
-39.0,-37.0,-35.0,120,0.2219240665435791,12
-43.0,-37.0,-34.0,120,0.22192692756652832,12
-43.0,-25.0,-47.0,127,0.23139595985412598,13
-46.0,-32.0,-35.0,174,0.2799220085144043,15
-47.0,-31.0,-38.0,190,0.2958340644836426,17
