z1,z2,z3,node,time,depth
-39.0,-50.0,-21.0,1,0.008114814758300781,1
-47.0,-47.0,-20.0,1,0.008117914199829102,1
-51.0,-40.0,-29.0,1,0.008121013641357422,1
-49.0,-44.0,-25.0,1,0.00812387466430664,1
-38.0,-26.0,-53.0,1,0.008126974105834961,1
-46.0,-47.0,-22.0,1,0.00812983512878418,1
-39.0,-49.0,-26.0,1,0.0081329345703125,1
-24.0,-45.0,-40.0,1,0.008135795593261719,1
-28.0,-42.0,-46.0,1,0.008138895034790039,1
-39.0,-32.0,-51.0,1,0.00814199447631836,1
-46.0,-33.0,-43.0,1,0.008143901824951172,1
-42.0,-33.0,-48.0,1,0.008147001266479492,1
-41.0,-27.0,-50.0,1,0.008149862289428711,1
-48.0,-44.0,-27.0,1,0.008152961730957031,1
-46.0,-42.0,-34.0,1,0.00815582275390625,1
-45.0,-38.0,-41.0,1,0.00815892219543457,1
-49.0,-37.0,-38.0,1,0.00816202163696289,1
-34.0,-42.0,-44.0,1,0.00816488265991211,1
-33.0,-31.0,-53.0,1,0.00816798210144043,1
-34.0,-35.0,-51.0,1,0.008170843124389648,1
-29.0,-40.0,-48.0,1,0.008173942565917969,1
-31.0,-37.0,-50.0,1,0.008176803588867188,1
-34.0,-48.0,-32.0,1,0.008179903030395508,1
-37.0,-32.0,-52.0,1,0.008183002471923828,1
-40.0,-36.0,-48.0,1,0.008185863494873047,1
-35.0,-39.0,-48.0,1,0.008188962936401367,1
-38.0,-40.0,-45.0,1,0.008191823959350586,1
-37.0,-46.0,-34.0,1,0.008194923400878906,1
-41.0,-46.0,-31.0,1,0.008198022842407227,1
-41.0,-47.0,-27.0,2,0.01464700698852539,2
-44.0,-45.0,-29.0,2,0.014653921127319336,2
-30.0,-33.0,-52.0,2,0.014674901962280273,2
-42.0,-34.0,-46.0,2,0.014685869216918945,2
-40.0,-43.0,-36.0,3,0.01857781410217285,3
-37.0,-42.0,-40.0,6,0.022430896759033203,5
-35.0,-46.0,-35.0,13,0.03162789344787598,4
-32.0,-47.0,-34.0,26,0.05041384696960449,8
-36.0,-43.0,-40.0,32,0.061250925064086914,3
-42.0,-44.0,-32.0,33,0.06557083129882812,4
-31.0,-40.0,-47.0,33,0.06557989120483398,4
-44.0,-41.0,-37.0,33,0.06558990478515625,4
-35.0,-40.0,-46.0,68,0.11507081985473633,4
-37.0,-43.0,-39.0,68,0.11507701873779297,4
-38.0,-41.0,-42.0,98,0.16451001167297363,5
-36.0,-39.0,-46.0,99,0.16785788536071777,6
-35.0,-36.0,-49.0,112,0.18614482879638672,6
-41.0,-41.0,-38.0,112,0.1861569881439209,6
-29.0,-43.0,-43.0,133,0.22797799110412598,2
-40.0,-38.0,-45.0,133,0.22800493240356445,2
-30.0,-46.0,-36.0,133,0.22802281379699707,2
-33.0,-44.0,-40.0,133,0.22803783416748047,2
-42.0,-43.0,-35.0,133,0.22804689407348633,2
-35.0,-43.0,-41.0,133,0.22804880142211914,2
-38.0,-44.0,-37.0,133,0.22805500030517578,2
-48.0,-40.0,-32.0,134,0.23478388786315918,3
-44.0,-39.0,-38.0,134,0.23480486869812012,3
-40.0,-42.0,-38.0,134,0.23481202125549316,3
-36.0,-42.0,-41.0,143,0.2520768642425537,5
-35.0,-45.0,-36.0,160,0.27933502197265625,4
-39.0,-45.0,-33.0,160,0.27933788299560547,4
-37.0,-48.0,-28.0,160,0.2793409824371338,4
-41.0,-44.0,-33.0,160,0.279343843460083,4
-42.0,-48.0,-23.0,217,0.3815748691558838,3
-31.0,-43.0,-42.0,217,0.3815898895263672,3
-47.0,-41.0,-31.0,218,0.3868448734283447,4
-44.0,-34.0,-44.0,218,0.38686299324035645,4
-40.0,-28.0,-50.0,219,0.3910708427429199,5
-41.0,-40.0,-40.0,222,0.4005928039550781,7
-36.0,-38.0,-48.0,226,0.40510988235473633,8
-27.0,-38.0,-49.0,242,0.4306159019470215,5
-37.0,-34.0,-49.0,279,0.5025730133056641,4
-38.0,-42.0,-39.0,298,0.532696008682251,6
-40.0,-39.0,-42.0,298,0.5327010154724121,6
-39.0,-39.0,-43.0,315,0.5846819877624512,5
-40.0,-49.0,-20.0,315,0.5847058296203613,5
-39.0,-22.0,-52.0,316,0.5885670185089111,6
-45.0,-40.0,-35.0,325,0.6051030158996582,8
-47.0,-32.0,-41.0,327,0.6097488403320312,9
-41.0,-39.0,-41.0,331,0.6161148548126221,10
-48.0,-36.0,-39.0,338,0.6269519329071045,7
-46.0,-35.0,-40.0,345,0.6393139362335205,10
-43.0,-32.0,-46.0,371,0.6915888786315918,6
-41.0,-36.0,-43.0,371,0.6915948390960693,6
-47.0,-33.0,-40.0,371,0.691612958908081,6
-47.0,-38.0,-35.0,383,0.7311398983001709,7
-50.0,-39.0,-30.0,395,0.7617709636688232,8
