z1,z2,z3,node,time,depth
-5816.0,-1067.0,-5853.0,1,0.007146120071411133,1
-5664.0,-1464.0,-5765.0,1,0.007149934768676758,1
-1318.0,-6674.0,-1051.0,1,0.007153034210205078,1
-1070.0,-6552.0,-1434.0,1,0.007157087326049805,1
-4426.0,-2865.0,-5010.0,1,0.007161140441894531,1
-4649.0,-3070.0,-4262.0,1,0.00716400146484375,1
-1695.0,-6385.0,-752.0,1,0.0071680545806884766,1
-2804.0,-5025.0,-2742.0,1,0.007170915603637695,1
-5313.0,-2215.0,-5239.0,1,0.007174968719482422,1
-2422.0,-5044.0,-2916.0,1,0.0071790218353271484,1
-2182.0,-5138.0,-2824.0,1,0.007182121276855469,1
-4069.0,-3545.0,-4160.0,1,0.007185935974121094,1
-3355.0,-4269.0,-3632.0,1,0.007189035415649414,1
-5050.0,-2298.0,-5498.0,1,0.007193088531494141,1
-3157.0,-4845.0,-2357.0,1,0.007195949554443359,1
-2954.0,-5041.0,-2396.0,1,0.007200002670288086,1
-3178.0,-4836.0,-2214.0,1,0.007205009460449219,1
-1268.0,-6262.0,-1484.0,3,0.027547121047973633,2
-2444.0,-5339.0,-1692.0,3,0.027553081512451172,2
-2067.0,-5628.0,-1991.0,3,0.027573108673095703,2
-4759.0,-2887.0,-4447.0,4,0.04441213607788086,3
-5468.0,-1804.0,-5068.0,4,0.0444180965423584,3
-2010.0,-5809.0,-2003.0,4,0.044425010681152344,3
-1865.0,-5786.0,-2138.0,4,0.04442906379699707,3
-5358.0,-1987.0,-4883.0,4,0.04444313049316406,3
-4943.0,-2640.0,-4301.0,4,0.04445004463195801,3
-4606.0,-2971.0,-4564.0,4,0.044454097747802734,3
-4577.0,-2951.0,-4616.0,4,0.04445695877075195,3
-3684.0,-3715.0,-4115.0,4,0.04446101188659668,3
-2737.0,-4336.0,-3572.0,4,0.044464111328125,3
-3217.0,-4278.0,-3620.0,4,0.044467926025390625,3
-3362.0,-4301.0,-3485.0,4,0.04447507858276367,3
-2670.0,-5166.0,-2533.0,4,0.04447793960571289,3
-1642.0,-5794.0,-2019.0,5,0.06268501281738281,3
-2539.0,-5127.0,-2734.0,5,0.06270503997802734,3
-1847.0,-5992.0,-1782.0,5,0.06271910667419434,3
-3711.0,-4173.0,-3149.0,5,0.06272292137145996,3
