z1,z2,z3,node,time,depth
-1575.0,-2412.0,-5462.0,1,0.01098179817199707,1
-444.0,-4504.0,-4509.0,1,0.01098489761352539,1
-684.0,-4838.0,-3763.0,1,0.010988950729370117,1
-2165.0,-4939.0,-1744.0,1,0.010993003845214844,1
-3410.0,-3979.0,-1447.0,1,0.010995864868164062,1
-3294.0,-4075.0,-1425.0,1,0.010999917984008789,1
-1185.0,-5090.0,-2940.0,1,0.011002779006958008,1
-3115.0,-2791.0,-3727.0,1,0.011006832122802734,1
-3385.0,-3971.0,-1840.0,1,0.011010885238647461,1
-1824.0,-5126.0,-2213.0,1,0.011014938354492188,1
-1130.0,-5112.0,-2772.0,1,0.011017799377441406,1
-1932.0,-3176.0,-4734.0,1,0.011021852493286133,1
-1178.0,-3290.0,-5448.0,1,0.011024951934814453,1
-1912.0,-1960.0,-5333.0,1,0.01102900505065918,1
-3430.0,-3726.0,-2217.0,1,0.011032819747924805,1
-4069.0,-2226.0,-2378.0,1,0.011035919189453125,1
-3963.0,-2025.0,-2933.0,1,0.011039972305297852,1
-3646.0,-3102.0,-2471.0,1,0.011043787002563477,1
-4345.0,-1396.0,-2707.0,1,0.011046886444091797,1
-4068.0,-967.0,-3424.0,1,0.011050939559936523,1
-3767.0,-1957.0,-3421.0,1,0.011053800582885742,1
-2203.0,-4331.0,-2984.0,1,0.011057853698730469,1
-3410.0,-1193.0,-4149.0,1,0.011061906814575195,1
-2191.0,-3597.0,-3976.0,1,0.011065006256103516,1
-722.0,-4230.0,-5003.0,1,0.01106882095336914,1
-2247.0,-4111.0,-3224.0,1,0.011072874069213867,1
-2361.0,-2905.0,-4441.0,1,0.011075973510742188,1
-2266.0,-2000.0,-4969.0,1,0.011079788208007812,1
-2758.0,-2027.0,-4455.0,1,0.011082887649536133,1
-1905.0,-3845.0,-3996.0,2,0.019794940948486328,2
-3608.0,-2284.0,-3087.0,2,0.019798994064331055,2
-1356.0,-3165.0,-4985.0,2,0.019805908203125,2
-2956.0,-3118.0,-3393.0,2,0.019830942153930664,2
-1773.0,-3503.0,-4400.0,2,0.019833803176879883,2
-2464.0,-3091.0,-3907.0,2,0.01983785629272461,2
-2202.0,-4356.0,-2847.0,3,0.028670787811279297,3
-3820.0,-2531.0,-2433.0,4,0.03330492973327637,4
-3455.0,-3734.0,-1824.0,4,0.0333099365234375,4
-2420.0,-3907.0,-2852.0,9,0.04178881645202637,6
-3498.0,-3314.0,-2450.0,9,0.04179191589355469,6
-3168.0,-3365.0,-2739.0,16,0.05271577835083008,5
-1981.0,-3635.0,-3548.0,16,0.052725791931152344,5
-2833.0,-3697.0,-2401.0,16,0.05272984504699707,5
-3601.0,-3347.0,-2094.0,51,0.10506200790405273,4
-3417.0,-3060.0,-2684.0,51,0.10506892204284668,4
-2234.0,-3445.0,-3691.0,51,0.1050729751586914,4
-2674.0,-3468.0,-3166.0,51,0.10507583618164062,4
-3220.0,-3490.0,-2326.0,52,0.10837697982788086,5
-2185.0,-3663.0,-3354.0,52,0.10839581489562988,5
-2822.0,-3256.0,-3187.0,62,0.12294578552246094,6
-3189.0,-3080.0,-2575.0,82,0.15439987182617188,6
-2645.0,-3501.0,-2855.0,82,0.1544029712677002,6
-2375.0,-4152.0,-2475.0,87,0.16211891174316406,8
-3453.0,-3559.0,-2073.0,87,0.16212177276611328,8
-3130.0,-3973.0,-1499.0,94,0.17249298095703125,7
-2789.0,-4160.0,-1968.0,94,0.17250680923461914,7
-3005.0,-3536.0,-2222.0,95,0.1756119728088379,8
-2481.0,-3677.0,-2835.0,114,0.20368599891662598,9
-3872.0,-2656.0,-2020.0,129,0.2268059253692627,6
-2340.0,-4018.0,-2772.0,129,0.2268199920654297,6
-2886.0,-4040.0,-1932.0,129,0.2268238067626953,6
-2884.0,-3597.0,-2492.0,129,0.22682690620422363,6
-3695.0,-2777.0,-2243.0,130,0.2318429946899414,7
-2885.0,-3822.0,-1988.0,163,0.28026294708251953,7
-3810.0,-2658.0,-2064.0,194,0.34224700927734375,3
-3041.0,-3344.0,-2814.0,194,0.3422508239746094,3
-1168.0,-4504.0,-4012.0,195,0.34752678871154785,4
-3158.0,-3492.0,-2370.0,195,0.3475339412689209,4
-2294.0,-3466.0,-3480.0,195,0.34754180908203125,4
-1868.0,-4663.0,-2646.0,196,0.3514518737792969,5
-2984.0,-3450.0,-2558.0,196,0.3514578342437744,5
-2768.0,-4074.0,-2304.0,206,0.36736083030700684,6
-1604.0,-4294.0,-3452.0,206,0.3673679828643799,6
-2855.0,-3497.0,-2678.0,206,0.3673708438873291,6
-2304.0,-4003.0,-2830.0,218,0.3852977752685547,7
-1217.0,-4179.0,-3784.0,239,0.4212918281555176,5
-1261.0,-4411.0,-3560.0,239,0.4212958812713623,5
-2123.0,-3665.0,-3398.0,239,0.4213099479675293,5
-1856.0,-4215.0,-3057.0,240,0.42532896995544434,6
-2436.0,-4293.0,-2166.0,240,0.42533278465270996,6
-2040.0,-4502.0,-2467.0,241,0.4282228946685791,7
-1657.0,-4202.0,-3259.0,258,0.4537839889526367,8
-2723.0,-4319.0,-1927.0,269,0.4707949161529541,6
-1810.0,-4688.0,-2332.0,269,0.4708058834075928,6
-2824.0,-4042.0,-1976.0,270,0.4758307933807373,7
-2823.0,-3824.0,-2032.0,278,0.4919579029083252,8
-2259.0,-4248.0,-2453.0,301,0.5306839942932129,7
-2440.0,-4389.0,-2011.0,358,0.6472268104553223,4
-2415.0,-4381.0,-2404.0,358,0.6472299098968506,4
-1232.0,-4766.0,-3411.0,358,0.6472339630126953,4
-995.0,-4809.0,-3433.0,358,0.6472368240356445,4
-1551.0,-4648.0,-2832.0,359,0.6538980007171631,5
-1361.0,-4159.0,-3711.0,359,0.6539018154144287,5
-1867.0,-4453.0,-2756.0,360,0.657991886138916,6
-2996.0,-3589.0,-2437.0,361,0.6608469486236572,7
-2447.0,-3470.0,-3248.0,372,0.6760098934173584,7
-2495.0,-3596.0,-2923.0,385,0.6973648071289062,6
-2483.0,-3969.0,-2637.0,450,0.8151359558105469,5
-2538.0,-3176.0,-3549.0,450,0.8151710033416748,5
-2557.0,-3011.0,-3690.0,450,0.8151748180389404,5
-2493.0,-3421.0,-3172.0,451,0.8201417922973633,6
-1594.0,-4228.0,-3458.0,451,0.820145845413208,6
-1813.0,-3974.0,-3444.0,453,0.8266909122467041,8
-815.0,-4137.0,-4551.0,474,0.8597128391265869,9
-912.0,-4612.0,-3559.0,495,0.8929009437561035,7
-1359.0,-3716.0,-4271.0,495,0.8929288387298584,7
-1374.0,-4014.0,-4204.0,558,1.0134217739105225,6
-1522.0,-3802.0,-4225.0,558,1.0134389400482178,6
-930.0,-4552.0,-3925.0,558,1.0134639739990234,6
-2631.0,-3757.0,-2658.0,559,1.0188407897949219,7
-1704.0,-3878.0,-3730.0,559,1.0188698768615723,7
-1264.0,-3855.0,-4255.0,559,1.0188729763031006,7
-1215.0,-4073.0,-3918.0,625,1.1461498737335205,10
-1405.0,-4562.0,-3039.0,625,1.1461708545684814,10
-1336.0,-4622.0,-2964.0,646,1.199187994003296,7
-2329.0,-3543.0,-3172.0,656,1.2239129543304443,10
-1939.0,-3757.0,-3524.0,673,1.249558925628662,10
-1027.0,-3898.0,-4277.0,706,1.3042998313903809,8
-1484.0,-4410.0,-2985.0,738,1.3828849792480469,13
-3918.0,-2270.0,-2556.0,777,1.4932708740234375,2
-1680.0,-4807.0,-2295.0,777,1.4932889938354492,2
-3512.0,-3020.0,-2487.0,777,1.493299961090088,2
-3557.0,-2775.0,-2864.0,777,1.493302822113037,2
-2710.0,-4016.0,-2586.0,777,1.493316888809204,2
-2619.0,-4120.0,-2171.0,777,1.4933249950408936,2
-1175.0,-4769.0,-3130.0,777,1.4933350086212158,2
-890.0,-4778.0,-3518.0,777,1.4933388233184814,2
-1925.0,-4605.0,-2490.0,777,1.4933419227600098,2
-1812.0,-4392.0,-3205.0,777,1.4933459758758545,2
-1527.0,-4401.0,-3593.0,777,1.4933488368988037,2
-2781.0,-2014.0,-4369.0,778,1.5015928745269775,3
-3348.0,-2753.0,-2909.0,779,1.5069518089294434,4
-2804.0,-3174.0,-3189.0,779,1.506969928741455,4
-2329.0,-3405.0,-3494.0,779,1.5069878101348877,4
-3077.0,-3399.0,-2487.0,780,1.5109589099884033,5
-2778.0,-3604.0,-2819.0,781,1.5139069557189941,6
-2356.0,-3971.0,-2925.0,792,1.531235933303833,6
-2417.0,-4143.0,-2401.0,792,1.5312469005584717,6
-1700.0,-4197.0,-3221.0,792,1.53125,6
-2343.0,-4028.0,-2541.0,825,1.587486982345581,5
-2588.0,-3826.0,-2736.0,825,1.5874979496002197,5
-2736.0,-3614.0,-2757.0,839,1.613041877746582,6
-2926.0,-3488.0,-2572.0,848,1.6301178932189941,8
-2678.0,-3392.0,-2899.0,859,1.6519038677215576,7
-2890.0,-3639.0,-2245.0,859,1.6519348621368408,7
-3238.0,-3332.0,-2309.0,886,1.71868896484375,4
-1856.0,-3929.0,-3638.0,886,1.7186918258666992,4
-2982.0,-3431.0,-2858.0,886,1.7186949253082275,4
-2388.0,-3783.0,-2918.0,886,1.7186989784240723,4
-2796.0,-3348.0,-3172.0,887,1.7251689434051514,5
-3693.0,-2230.0,-3013.0,887,1.7251830101013184,5
-3700.0,-2593.0,-2150.0,887,1.725186824798584,5
-3184.0,-3089.0,-2567.0,889,1.732104778289795,7
-3007.0,-3439.0,-2465.0,909,1.769364833831787,6
-2461.0,-3680.0,-2834.0,925,1.8020679950714111,7
-2571.0,-3105.0,-3442.0,940,1.8337018489837646,9
-2339.0,-3385.0,-3997.0,964,1.8788518905639648,5
-2633.0,-3581.0,-3113.0,964,1.878889799118042,5
-2971.0,-3243.0,-2949.0,964,1.8788938522338867,5
-3448.0,-2514.0,-2866.0,965,1.8848488330841064,6
-3050.0,-3019.0,-3091.0,965,1.8848669528961182,6
-2775.0,-3175.0,-3437.0,965,1.8848729133605957,6
-2025.0,-3083.0,-4282.0,971,1.8961420059204102,9
-1844.0,-3481.0,-4049.0,975,1.9014267921447754,10
-3198.0,-2807.0,-3112.0,991,1.9322969913482666,7
-2569.0,-2662.0,-4002.0,991,1.932325839996338,7
-1761.0,-3521.0,-4200.0,991,1.9323298931121826,7
-2029.0,-3725.0,-3266.0,991,1.9323439598083496,7
-2541.0,-2762.0,-3802.0,1026,2.0044639110565186,10
-3394.0,-2271.0,-3124.0,1037,2.0219838619232178,10
-2374.0,-3160.0,-3871.0,1064,2.075809955596924,6
-2781.0,-3369.0,-3134.0,1064,2.07582688331604,6
-3385.0,-2095.0,-3274.0,1065,2.081307888031006,7
-3027.0,-1930.0,-3994.0,1065,2.081310987472534,7
-2743.0,-2551.0,-3750.0,1067,2.0886459350585938,9
-2203.0,-3505.0,-3337.0,1078,2.105463981628418,9
-2696.0,-2377.0,-3854.0,1084,2.117349863052368,10
-2497.0,-2635.0,-4125.0,1128,2.2109618186950684,7
-3590.0,-2339.0,-2636.0,1141,2.2459828853607178,13
-3139.0,-2179.0,-3649.0,1151,2.2635958194732666,9
-2510.0,-2615.0,-4020.0,1202,2.377652883529663,8
-3380.0,-2565.0,-2902.0,1202,2.37766695022583,8
-3971.0,-1947.0,-2572.0,1234,2.45112681388855,11
-3232.0,-2635.0,-3279.0,1289,2.595984935760498,3
-2659.0,-3391.0,-3429.0,1289,2.5959959030151367,3
-2280.0,-4186.0,-2658.0,1289,2.595999002456665,3
-3597.0,-2139.0,-3162.0,1289,2.5960137844085693,3
-3013.0,-2071.0,-4135.0,1289,2.5960168838500977,3
-3448.0,-2011.0,-3533.0,1289,2.596024990081787,3
-3101.0,-3375.0,-2566.0,1289,2.596031904220581,3
-1627.0,-4119.0,-3502.0,1290,2.605886936187744,4
-3416.0,-1801.0,-3730.0,1290,2.605901002883911,4
-2453.0,-3139.0,-3814.0,1291,2.6114048957824707,5
-3237.0,-2830.0,-2715.0,1291,2.6114118099212646,5
-2048.0,-4364.0,-2673.0,1292,2.616672992706299,6
-1995.0,-3712.0,-3293.0,1317,2.6627159118652344,6
-2324.0,-3723.0,-3091.0,1326,2.6810758113861084,8
-2320.0,-3779.0,-2945.0,1326,2.681086778640747,8
-2891.0,-3535.0,-2443.0,1327,2.68406081199646,9
-2895.0,-3123.0,-2951.0,1338,2.70184588432312,9
-2483.0,-3537.0,-3116.0,1347,2.7233738899230957,7
-2871.0,-3441.0,-2849.0,1368,2.7849059104919434,5
-3236.0,-2945.0,-2732.0,1368,2.7849090099334717,5
-3187.0,-2880.0,-2902.0,1369,2.790954828262329,6
-2321.0,-3634.0,-3183.0,1379,2.8235979080200195,7
-2007.0,-3708.0,-3277.0,1395,2.8590807914733887,9
-2323.0,-3513.0,-3201.0,1396,2.861365795135498,10
-1817.0,-3219.0,-4156.0,1411,2.9029109477996826,7
-1836.0,-3210.0,-4271.0,1432,2.954035997390747,7
-2582.0,-2173.0,-4142.0,1473,3.0843918323516846,10
-2185.0,-3051.0,-4128.0,1473,3.0844027996063232,10
-3219.0,-1969.0,-3746.0,1514,3.1816508769989014,10
-2461.0,-2640.0,-4344.0,1515,3.187762975692749,11
-2970.0,-2274.0,-3801.0,1535,3.2287018299102783,13
-2764.0,-2022.0,-4186.0,1536,3.2322499752044678,14
-2803.0,-2889.0,-3578.0,1556,3.269305944442749,11
-2593.0,-3049.0,-3455.0,1561,3.2799508571624756,13
-1420.0,-4724.0,-2690.0,1581,3.3378968238830566,4
-1326.0,-4762.0,-2634.0,1581,3.3379008769989014,4
-1271.0,-4784.0,-2466.0,1581,3.3379039764404297,4
-1571.0,-4560.0,-2829.0,1581,3.337939977645874,4
-3311.0,-2557.0,-3123.0,1581,3.337946891784668,4
-1624.0,-3564.0,-4457.0,1581,3.337967872619629,4
-2312.0,-3751.0,-2981.0,1581,3.3379709720611572,4
-1677.0,-3733.0,-4084.0,1581,3.337984800338745,4
-3403.0,-2256.0,-3156.0,1582,3.3511807918548584,5
-2594.0,-2867.0,-3623.0,1582,3.351205825805664,5
-3087.0,-2817.0,-3103.0,1582,3.3512167930603027,5
-1618.0,-4236.0,-3300.0,1582,3.351219892501831,5
-1641.0,-4150.0,-3385.0,1583,3.3615739345550537,6
-1365.0,-4643.0,-2945.0,1597,3.3902008533477783,10
-1373.0,-4438.0,-3105.0,1636,3.4951817989349365,6
-729.0,-4495.0,-4121.0,1636,3.495198965072632,6
-3255.0,-2468.0,-3135.0,1638,3.506742000579834,8
-1423.0,-4010.0,-3802.0,1681,3.6151938438415527,8
-1741.0,-3995.0,-3483.0,1681,3.6151978969573975,8
-1766.0,-4024.0,-3321.0,1692,3.6387438774108887,10
-1273.0,-4074.0,-3841.0,1714,3.6932148933410645,11
-873.0,-4250.0,-4210.0,1749,3.7856009006500244,10
-1138.0,-4019.0,-4190.0,1749,3.785604953765869,10
-1140.0,-3898.0,-4208.0,1749,3.7856078147888184,10
-1219.0,-4047.0,-3893.0,1763,3.8157057762145996,12
-1451.0,-3869.0,-3878.0,1763,3.815713882446289,12
-1244.0,-4076.0,-3731.0,1770,3.83845591545105,9
-625.0,-3714.0,-5035.0,1793,3.932163953781128,5
-773.0,-4032.0,-4554.0,1793,3.9321699142456055,5
-863.0,-3902.0,-4697.0,1793,3.9321749210357666,5
-1309.0,-4176.0,-3706.0,1793,3.9322259426116943,5
-2119.0,-2362.0,-4456.0,1794,3.942295789718628,6
-1744.0,-3848.0,-3716.0,1796,3.952253818511963,8
-1990.0,-3764.0,-3341.0,1804,3.9691548347473145,9
-1913.0,-3821.0,-3244.0,1823,4.0223448276519775,9
-1231.0,-3459.0,-5075.0,1931,4.4079999923706055,6
-1316.0,-4022.0,-3814.0,1931,4.40801477432251,6
-1537.0,-3446.0,-4593.0,1931,4.408077001571655,6
-3300.0,-2223.0,-3512.0,1931,4.408082008361816,6
-1628.0,-2581.0,-5089.0,1932,4.41894793510437,7
-2640.0,-2395.0,-4000.0,1932,4.418958902359009,7
-2386.0,-2793.0,-4034.0,1932,4.419001817703247,7
-1685.0,-3234.0,-4614.0,1934,4.436182975769043,9
-1988.0,-2616.0,-4456.0,1946,4.470458984375,11
-1446.0,-3362.0,-4728.0,1991,4.575025796890259,12
-910.0,-3705.0,-4647.0,2006,4.615365982055664,8
-1287.0,-3427.0,-4747.0,2006,4.615376949310303,8
-2637.0,-2815.0,-3596.0,2107,4.9592249393463135,7
-1386.0,-3612.0,-4370.0,2107,4.959229946136475,7
-3871.0,-1135.0,-3440.0,2108,4.967055797576904,8
-3622.0,-1440.0,-3495.0,2110,4.978006839752197,10
-3209.0,-2139.0,-3647.0,2130,5.010278940200806,12
-2624.0,-2165.0,-4249.0,2168,5.101090908050537,9
-2414.0,-2652.0,-4110.0,2168,5.1011128425598145,9
-1978.0,-2862.0,-4670.0,2168,5.1011199951171875,9
