z1,z2,z3,node,time,depth
-41.0,-49.0,-33.0,1,0.005728960037231445,1
-47.0,-41.0,-47.0,1,0.005733013153076172,1
-17.0,-67.0,-21.0,1,0.0057370662689208984,1
-26.0,-61.0,-25.0,1,0.0057408809661865234,1
-34.0,-55.0,-30.0,1,0.005743980407714844,1
-66.0,-17.0,-60.0,1,0.0057489871978759766,1
-66.0,-14.0,-61.0,1,0.005753040313720703,1
-64.0,-15.0,-62.0,1,0.005755901336669922,1
-68.0,-17.0,-58.0,1,0.0057599544525146484,1
-61.0,-27.0,-50.0,1,0.005774021148681641,1
-48.0,-42.0,-43.0,1,0.005778074264526367,1
-65.0,-20.0,-58.0,1,0.005781888961791992,1
-63.0,-20.0,-60.0,1,0.0057849884033203125,1
-55.0,-34.0,-52.0,1,0.005789041519165039,1
-57.0,-23.0,-59.0,1,0.005791902542114258,1
-64.0,-18.0,-61.0,1,0.005795955657958984,1
-59.0,-25.0,-58.0,1,0.005800008773803711,1
-60.0,-23.0,-57.0,2,0.010659933090209961,2
-24.0,-58.0,-30.0,3,0.013225078582763672,3
-53.0,-32.0,-53.0,4,0.01541590690612793,4
-40.0,-45.0,-38.0,6,0.01830291748046875,6
-39.0,-46.0,-41.0,9,0.022214889526367188,6
-30.0,-50.0,-38.0,9,0.022217988967895508,6
-31.0,-49.0,-39.0,16,0.03286290168762207,5
-38.0,-43.0,-43.0,21,0.04039406776428223,7
-40.0,-44.0,-41.0,26,0.04821205139160156,6
-39.0,-42.0,-45.0,26,0.048217058181762695,6
-54.0,-28.0,-54.0,73,0.13648390769958496,10
-51.0,-29.0,-54.0,76,0.1403820514678955,9
-46.0,-35.0,-48.0,107,0.19871997833251953,8
-38.0,-47.0,-41.0,114,0.21897506713867188,3
-30.0,-52.0,-35.0,117,0.22707104682922363,6
-23.0,-59.0,-29.0,124,0.23743295669555664,6
-33.0,-53.0,-34.0,147,0.27420806884765625,5
-25.0,-58.0,-28.0,149,0.279965877532959,7
-32.0,-51.0,-36.0,168,0.3065938949584961,8
-39.0,-47.0,-39.0,196,0.367095947265625,4
-18.0,-66.0,-16.0,196,0.36710405349731445,4
-25.0,-59.0,-26.0,196,0.3671119213104248,4
-45.0,-37.0,-48.0,196,0.3671400547027588,4
-37.0,-44.0,-42.0,197,0.3703930377960205,5
-41.0,-46.0,-34.0,224,0.41864585876464844,9
-40.0,-47.0,-37.0,227,0.42258191108703613,9
-38.0,-48.0,-36.0,354,0.6723759174346924,7
-30.0,-54.0,-31.0,354,0.6723909378051758,7
-39.0,-48.0,-35.0,355,0.6756250858306885,8
-18.0,-63.0,-19.0,368,0.6978778839111328,10
-41.0,-45.0,-35.0,433,0.8220810890197754,12
-42.0,-45.0,-28.0,471,0.8988449573516846,2
-60.0,-27.0,-55.0,471,0.8989138603210449,2
-54.0,-35.0,-41.0,471,0.8989179134368896,2
-60.0,-24.0,-56.0,489,0.9371609687805176,5
-67.0,-15.0,-59.0,493,0.9486789703369141,6
-58.0,-28.0,-49.0,690,1.46303391456604,5
