z1,z2,z3,node,time,depth
-44.0,-58.0,-35.0,1,0.005483150482177734,1
-55.0,-33.0,-40.0,1,0.005486965179443359,1
-46.0,-42.0,-46.0,1,0.00549006462097168,1
-38.0,-60.0,-27.0,1,0.005494117736816406,1
-35.0,-60.0,-30.0,1,0.005497932434082031,1
-59.0,-41.0,-31.0,1,0.0055010318756103516,1
-58.0,-45.0,-30.0,1,0.005504131317138672,1
-43.0,-27.0,-49.0,1,0.005507946014404297,1
-49.0,-23.0,-48.0,1,0.0055119991302490234,1
-47.0,-36.0,-47.0,1,0.005515098571777344,1
-53.0,-51.0,-33.0,1,0.00551915168762207,1
-58.0,-36.0,-36.0,1,0.005522012710571289,1
-38.0,-59.0,-36.0,1,0.005526065826416016,1
-41.0,-47.0,-45.0,1,0.005528926849365234,1
-45.0,-46.0,-45.0,1,0.005532979965209961,1
-43.0,-44.0,-47.0,1,0.005536079406738281,1
-60.0,-38.0,-26.0,1,0.005540132522583008,1
-59.0,-33.0,-32.0,1,0.0055429935455322266,1
-46.0,-46.0,-41.0,2,0.010873079299926758,2
-50.0,-42.0,-39.0,5,0.02005314826965332,4
-48.0,-40.0,-41.0,26,0.055776119232177734,4
-52.0,-40.0,-37.0,26,0.05580496788024902,4
-50.0,-20.0,-45.0,41,0.10175204277038574,12
-40.0,-32.0,-48.0,115,0.21059608459472656,2
-54.0,-47.0,-34.0,115,0.2106461524963379,2
-46.0,-48.0,-37.0,116,0.21661710739135742,3
-55.0,-38.0,-36.0,116,0.21662092208862305,3
-55.0,-41.0,-35.0,116,0.21664214134216309,3
-48.0,-45.0,-37.0,119,0.22713708877563477,5
-48.0,-33.0,-44.0,187,0.3341190814971924,12
-54.0,-37.0,-39.0,216,0.38669705390930176,6
-49.0,-32.0,-42.0,221,0.4010601043701172,9
-44.0,-53.0,-37.0,221,0.40106701850891113,9
-53.0,-48.0,-34.0,281,0.5002870559692383,10
-43.0,-49.0,-43.0,281,0.5002939701080322,10
-37.0,-55.0,-38.0,292,0.523245096206665,16
-45.0,-57.0,-27.0,292,0.5232560634613037,16
-46.0,-55.0,-29.0,292,0.5232601165771484,16
-47.0,-53.0,-25.0,306,0.5494890213012695,19
-38.0,-51.0,-40.0,339,0.6009731292724609,21
-51.0,-49.0,-35.0,340,0.6041860580444336,10
-42.0,-56.0,-37.0,340,0.6041970252990723,10
-33.0,-51.0,-42.0,340,0.6042001247406006,10
-38.0,-53.0,-38.0,347,0.61822509765625,12
-40.0,-45.0,-46.0,347,0.6182360649108887,12
-51.0,-46.0,-36.0,378,0.6719160079956055,17
-45.0,-54.0,-36.0,405,0.717426061630249,6
-50.0,-28.0,-43.0,409,0.7323651313781738,9
-54.0,-44.0,-35.0,425,0.7597379684448242,10
-47.0,-39.0,-42.0,442,0.796640157699585,19
-51.0,-39.0,-38.0,442,0.7966499328613281,19
-49.0,-37.0,-41.0,468,0.8424410820007324,13
-51.0,-26.0,-42.0,483,0.8614110946655273,7
