z1,z2,z3,node,time,depth
-36.0,-38.0,-60.0,1,0.02034783363342285,1
-38.0,-34.0,-60.0,1,0.020351886749267578,1
-40.0,-34.0,-59.0,1,0.020355939865112305,1
-63.0,-41.0,-24.0,1,0.02035999298095703,1
-56.0,-30.0,-48.0,1,0.020363807678222656,1
-40.0,-42.0,-57.0,1,0.020367860794067383,1
-49.0,-34.0,-54.0,1,0.02037191390991211,1
-26.0,-58.0,-46.0,1,0.020375967025756836,1
-53.0,-32.0,-51.0,1,0.02037978172302246,1
-37.0,-49.0,-55.0,1,0.020383834838867188,1
-33.0,-52.0,-53.0,1,0.020386934280395508,1
-34.0,-53.0,-52.0,1,0.020390987396240234,1
-36.0,-46.0,-58.0,1,0.02039480209350586,1
-47.0,-38.0,-54.0,1,0.02039790153503418,1
-38.0,-46.0,-57.0,1,0.020413875579833984,1
-45.0,-60.0,-32.0,1,0.020416975021362305,1
-44.0,-62.0,-27.0,1,0.02042078971862793,1
-43.0,-63.0,-25.0,1,0.020424842834472656,1
-40.0,-52.0,-51.0,1,0.020428895950317383,1
-43.0,-55.0,-46.0,1,0.020431995391845703,1
-61.0,-37.0,-38.0,1,0.020435810089111328,1
-63.0,-35.0,-36.0,1,0.020439863204956055,1
-54.0,-47.0,-40.0,1,0.020442962646484375,1
-58.0,-42.0,-38.0,1,0.02044677734375,1
-51.0,-44.0,-48.0,1,0.020450830459594727,1
-58.0,-39.0,-42.0,1,0.020453929901123047,1
-53.0,-47.0,-42.0,1,0.020457983016967773,1
-48.0,-54.0,-41.0,1,0.0204617977142334,1
-37.0,-62.0,-36.0,1,0.02046489715576172,1
-56.0,-36.0,-46.0,1,0.020468950271606445,1
-35.0,-62.0,-37.0,1,0.020473003387451172,1
-28.0,-56.0,-49.0,1,0.02047586441040039,1
-32.0,-61.0,-41.0,1,0.020479917526245117,1
-34.0,-57.0,-47.0,1,0.020483970642089844,1
-52.0,-55.0,-26.0,1,0.02048778533935547,1
-51.0,-54.0,-34.0,1,0.02049088478088379,1
-49.0,-56.0,-34.0,1,0.020494937896728516,1
-51.0,-57.0,-19.0,1,0.020498991012573242,1
-59.0,-48.0,-22.0,1,0.02050185203552246,1
-41.0,-62.0,-33.0,1,0.020505905151367188,1
-42.0,-62.0,-32.0,1,0.020509004592895508,1
-42.0,-52.0,-50.0,1,0.020512819290161133,1
-45.0,-49.0,-50.0,1,0.02051687240600586,1
-47.0,-53.0,-45.0,1,0.020520925521850586,1
-45.0,-59.0,-35.0,1,0.020523786544799805,1
-44.0,-58.0,-39.0,1,0.02052783966064453,1
-55.0,-48.0,-36.0,1,0.02053093910217285,1
-41.0,-60.0,-38.0,1,0.020534992218017578,1
-35.0,-61.0,-40.0,1,0.020538806915283203,1
-42.0,-61.0,-35.0,1,0.02054286003112793,1
-60.0,-34.0,-41.0,1,0.02054595947265625,1
-58.0,-31.0,-45.0,1,0.020549774169921875,1
-60.0,-37.0,-40.0,1,0.020552873611450195,1
-62.0,-39.0,-32.0,1,0.020556926727294922,1
-59.0,-45.0,-30.0,1,0.02055978775024414,1
-59.0,-43.0,-34.0,1,0.020563840866088867,1
-51.0,-53.0,-37.0,1,0.020567893981933594,1
-55.0,-50.0,-31.0,1,0.02057194709777832,1
-58.0,-49.0,-23.0,1,0.02057480812072754,1
-40.0,-61.0,-36.0,2,0.04777979850769043,2
-56.0,-45.0,-38.0,2,0.04779386520385742,2
-35.0,-56.0,-47.0,2,0.047804832458496094,2
-34.0,-58.0,-44.0,2,0.04781198501586914,2
-49.0,-58.0,-23.0,2,0.04782986640930176,2
-47.0,-44.0,-51.0,2,0.04784083366394043,2
-39.0,-57.0,-44.0,2,0.0478518009185791,2
-55.0,-51.0,-28.0,2,0.04788684844970703,2
-54.0,-48.0,-37.0,3,0.06188392639160156,3
-33.0,-54.0,-49.0,3,0.06188678741455078,3
-54.0,-42.0,-44.0,3,0.06192588806152344,3
-49.0,-49.0,-44.0,4,0.06954288482666016,4
-48.0,-52.0,-42.0,16,0.09053397178649902,5
-42.0,-53.0,-47.0,33,0.12645792961120605,4
-45.0,-56.0,-40.0,55,0.1725618839263916,5
-49.0,-51.0,-41.0,56,0.17800593376159668,6
-51.0,-45.0,-45.0,99,0.25307393074035645,7
-47.0,-45.0,-49.0,99,0.25307679176330566,7
-46.0,-48.0,-46.0,112,0.2801787853240967,10
-49.0,-38.0,-50.0,124,0.3137979507446289,3
-49.0,-45.0,-48.0,124,0.31380200386047363,3
-44.0,-56.0,-42.0,124,0.31380581855773926,3
-37.0,-54.0,-48.0,124,0.3138089179992676,3
-42.0,-58.0,-41.0,124,0.3138439655303955,3
-43.0,-59.0,-38.0,124,0.31387996673583984,3
-55.0,-49.0,-33.0,125,0.3264927864074707,4
-48.0,-58.0,-27.0,125,0.3265249729156494,4
