z1,z2,z3,node,time,depth
-13032.0,-9682.0,-11093.0,1,0.01828598976135254,1
-12761.0,-9339.0,-11723.0,1,0.01828908920288086,1
-12254.0,-11604.0,-10803.0,1,0.018293142318725586,1
-12049.0,-12395.0,-9014.0,1,0.01829695701599121,1
-10308.0,-13116.0,-10087.0,1,0.01830005645751953,1
-10129.0,-12838.0,-10725.0,1,0.018304109573364258,1
-9843.0,-11734.0,-12355.0,1,0.018308162689208984,1
-10358.0,-10161.0,-13243.0,1,0.018311023712158203,1
-12835.0,-10399.0,-11156.0,1,0.01831507682800293,1
-13446.0,-9815.0,-10064.0,1,0.01831817626953125,1
-11614.0,-10919.0,-12131.0,1,0.018321990966796875,1
-11793.0,-11451.0,-11607.0,1,0.018325090408325195,1
-13190.0,-10335.0,-10363.0,1,0.018329143524169922,1
-12644.0,-11052.0,-10950.0,1,0.018332958221435547,1
-12999.0,-10988.0,-10157.0,1,0.018336057662963867,1
-12708.0,-11287.0,-10307.0,1,0.018340110778808594,1
-11207.0,-11483.0,-12047.0,1,0.018342971801757812,1
-11819.0,-11840.0,-11139.0,1,0.01834702491760254,1
-11265.0,-12921.0,-9315.0,1,0.018351078033447266,1
-10962.0,-13136.0,-9162.0,1,0.018354177474975586,1
-11140.0,-9451.0,-13170.0,1,0.01835799217224121,1
-10567.0,-9627.0,-13279.0,1,0.01836109161376953,1
-10890.0,-9707.0,-13200.0,1,0.018365144729614258,1
-10702.0,-11673.0,-12122.0,1,0.018368005752563477,1
-10252.0,-11307.0,-12572.0,1,0.018372058868408203,1
-9402.0,-11100.0,-12795.0,1,0.018375158309936523,1
-10070.0,-10934.0,-12857.0,1,0.01837897300720215,1
-12564.0,-10056.0,-11786.0,1,0.01838207244873047,1
-12020.0,-11535.0,-11329.0,1,0.01838517189025879,1
-12318.0,-11839.0,-10160.0,1,0.018388986587524414,1
-10549.0,-13001.0,-10300.0,1,0.018392086029052734,1
-10931.0,-13011.0,-9860.0,1,0.01839613914489746,1
-10442.0,-12261.0,-11581.0,1,0.018399953842163086,1
-9702.0,-12274.0,-11642.0,1,0.018403053283691406,1
-10087.0,-12577.0,-11158.0,1,0.018407106399536133,1
-12135.0,-9198.0,-12445.0,1,0.01841115951538086,1
-11122.0,-10739.0,-12629.0,1,0.018414020538330078,1
-10929.0,-10873.0,-12624.0,1,0.018418073654174805,1
-10672.0,-10373.0,-13079.0,1,0.018421173095703125,1
-10479.0,-10507.0,-13074.0,1,0.01842498779296875,1
-12129.0,-10292.0,-12122.0,1,0.01842808723449707,1
-11204.0,-9919.0,-13036.0,1,0.018432140350341797,1
-11561.0,-9933.0,-12739.0,1,0.018435001373291016,1
-11315.0,-12749.0,-10041.0,1,0.018439054489135742,1
-11286.0,-12695.0,-10283.0,1,0.018442153930664062,1
-12910.0,-11494.0,-9231.0,1,0.018445968627929688,1
-11875.0,-9701.0,-12575.0,1,0.018449068069458008,1
-11754.0,-9355.0,-12744.0,1,0.018453121185302734,1
-11454.0,-9219.0,-13006.0,1,0.01845717430114746,1
-11674.0,-8800.0,-12891.0,1,0.01846003532409668,1
-12820.0,-11488.0,-9571.0,1,0.018464088439941406,1
-13111.0,-11189.0,-9421.0,1,0.018467187881469727,1
-12430.0,-12040.0,-9424.0,1,0.01847100257873535,1
-12894.0,-9313.0,-11406.0,2,0.05087018013000488,2
-12702.0,-10411.0,-11284.0,2,0.050881147384643555,2
-12300.0,-8941.0,-12169.0,2,0.05090618133544922,2
-12764.0,-9328.0,-11581.0,2,0.05090904235839844,2
-12339.0,-9326.0,-12104.0,2,0.050913095474243164,2
