z1,z2,z3,node,time,depth
-1387.0,-5573.0,-3345.0,1,0.0173189640045166,1
-2520.0,-5862.0,-2463.0,1,0.01732492446899414,1
-885.0,-4981.0,-4393.0,1,0.017329931259155273,1
-1459.0,-2856.0,-6426.0,1,0.017334938049316406,1
-2047.0,-1825.0,-6725.0,1,0.017340898513793945,1
-5350.0,-3048.0,-1749.0,1,0.017344951629638672,1
-1270.0,-3205.0,-6253.0,1,0.01735091209411621,1
-3094.0,-1655.0,-5829.0,1,0.017355918884277344,1
-5059.0,-1665.0,-3358.0,1,0.017360925674438477,1
-4780.0,-1582.0,-3893.0,1,0.01736593246459961,1
-4982.0,-3720.0,-1132.0,1,0.017370939254760742,1
-4280.0,-4460.0,-1722.0,1,0.017375946044921875,1
-3619.0,-4541.0,-2834.0,1,0.017380952835083008,1
-2907.0,-5801.0,-2119.0,1,0.01738595962524414,1
-3909.0,-2876.0,-4268.0,1,0.017390966415405273,1
-4704.0,-3270.0,-2635.0,1,0.017395973205566406,1
-3370.0,-5516.0,-1614.0,1,0.017401933670043945,1
-3860.0,-5126.0,-1492.0,1,0.017406940460205078,1
-1625.0,-3260.0,-6175.0,1,0.01741194725036621,1
-3524.0,-1573.0,-5453.0,1,0.017416954040527344,1
-4439.0,-1846.0,-4340.0,1,0.017421960830688477,1
-4658.0,-1995.0,-3969.0,1,0.01742696762084961,1
-4753.0,-2546.0,-3320.0,1,0.017431974411010742,1
-4491.0,-2094.0,-4172.0,1,0.017436981201171875,1
-5399.0,-2324.0,-2434.0,1,0.017442941665649414,1
-4562.0,-4386.0,-902.0,1,0.017447948455810547,1
-4254.0,-4803.0,-1004.0,1,0.01745295524597168,1
-4930.0,-3714.0,-1519.0,1,0.017457962036132812,1
-2199.0,-3998.0,-5043.0,1,0.01746392250061035,1
-2700.0,-4296.0,-4213.0,1,0.017468929290771484,1
-863.0,-4113.0,-5475.0,1,0.017474889755249023,1
-2085.0,-5662.0,-3124.0,1,0.017480850219726562,1
-1729.0,-4894.0,-4290.0,1,0.017485857009887695,1
-2868.0,-2727.0,-5496.0,1,0.017490863800048828,1
-3474.0,-2676.0,-4929.0,1,0.017496824264526367,1
-3044.0,-2758.0,-5305.0,1,0.017502784729003906,1
