z1,z2,z3,node,time,depth
-2629.0,-1916.0,-6172.0,1,0.03516101837158203,1
-1541.0,-5723.0,-3690.0,1,0.035166025161743164,1
-1449.0,-3677.0,-5450.0,1,0.0351710319519043,1
-1687.0,-2611.0,-5940.0,1,0.03517484664916992,1
-1402.0,-6566.0,-2929.0,1,0.035179853439331055,1
-4238.0,-1112.0,-5411.0,1,0.03518390655517578,1
-1265.0,-5706.0,-3800.0,1,0.035188913345336914,1
-1277.0,-5103.0,-4319.0,1,0.03519392013549805,1
-2033.0,-4147.0,-4939.0,1,0.03519892692565918,1
-2394.0,-5938.0,-2895.0,1,0.035202980041503906,1
-5487.0,-3238.0,-1120.0,1,0.03520798683166504,1
-4436.0,-3294.0,-3519.0,1,0.035211801528930664,1
-4662.0,-4854.0,-1108.0,1,0.0352168083190918,1
-2322.0,-6670.0,-1833.0,1,0.03522181510925293,1
-3413.0,-6269.0,-1090.0,1,0.035225868225097656,1
-5575.0,-2940.0,-1528.0,1,0.03523087501525879,1
-5025.0,-1338.0,-4318.0,1,0.03523588180541992,1
-5278.0,-2488.0,-2692.0,1,0.03523993492126465,1
-4838.0,-2421.0,-3680.0,1,0.03524494171142578,1
-3946.0,-4904.0,-2439.0,1,0.03524899482727051,1
-4697.0,-3517.0,-2821.0,1,0.03525400161743164,1
-4468.0,-4041.0,-2658.0,1,0.03525900840759277,1
-3315.0,-1494.0,-6048.0,1,0.0352628231048584,1
-4368.0,-1873.0,-4857.0,1,0.03526782989501953,1
-2566.0,-2786.0,-5759.0,1,0.03527188301086426,1
-3211.0,-2234.0,-5625.0,1,0.03527688980102539,1
-3926.0,-5394.0,-1888.0,1,0.03528094291687012,1
-3581.0,-6024.0,-1450.0,1,0.03528594970703125,1
-3030.0,-6361.0,-1562.0,1,0.03529000282287598,1
-2095.0,-6545.0,-2344.0,1,0.03529500961303711,1
-2945.0,-5601.0,-2783.0,1,0.03530001640319824,1
-3471.0,-6218.0,-1298.0,1,0.03530383110046387,1
-2646.0,-6208.0,-2232.0,1,0.035308837890625,1
-5322.0,-1790.0,-3154.0,1,0.03531289100646973,1
-3417.0,-4053.0,-3853.0,1,0.03531789779663086,1
-3266.0,-2975.0,-4976.0,1,0.035321950912475586,1
-3914.0,-4157.0,-3300.0,1,0.03532695770263672,1
-5287.0,-3801.0,-1089.0,1,0.03533196449279785,1
-4677.0,-4007.0,-2270.0,1,0.03533601760864258,1
-4448.0,-4531.0,-2107.0,1,0.03534102439880371,1
-3894.0,-5862.0,-693.0,1,0.035344839096069336,1
-4202.0,-5428.0,-1104.0,1,0.03534984588623047,1
