z1,z2,z3,node,time,depth
-30.0,-67.0,-24.0,1,0.011870861053466797,1
-72.0,-23.0,-72.0,1,0.011874914169311523,1
-68.0,-19.0,-77.0,1,0.011879920959472656,1
-51.0,-46.0,-57.0,1,0.011883974075317383,1
-61.0,-39.0,-63.0,1,0.011888980865478516,1
-48.0,-47.0,-57.0,1,0.011893033981323242,1
-27.0,-67.0,-29.0,1,0.011898040771484375,1
-23.0,-72.0,-18.0,1,0.01190185546875,1
-23.0,-71.0,-23.0,1,0.011906862258911133,1
-31.0,-66.0,-28.0,1,0.01191091537475586,1
-39.0,-56.0,-45.0,1,0.011915922164916992,1
-29.0,-67.0,-28.0,1,0.011919975280761719,1
-36.0,-62.0,-34.0,1,0.011924982070922852,1
-74.0,-18.0,-71.0,1,0.011929035186767578,1
-72.0,-24.0,-64.0,1,0.011932849884033203,1
-52.0,-49.0,-43.0,1,0.011937856674194336,1
-44.0,-56.0,-38.0,1,0.011941909790039062,1
-50.0,-50.0,-48.0,1,0.011946916580200195,1
-55.0,-39.0,-65.0,1,0.011951923370361328,1
-58.0,-40.0,-63.0,1,0.011955976486206055,1
-30.0,-61.0,-38.0,1,0.011960029602050781,1
-30.0,-63.0,-35.0,1,0.011965036392211914,1
-42.0,-52.0,-51.0,1,0.011968851089477539,1
-63.0,-38.0,-58.0,1,0.011973857879638672,1
-65.0,-35.0,-65.0,1,0.011977910995483398,1
-69.0,-31.0,-63.0,1,0.011982917785644531,1
-70.0,-29.0,-65.0,1,0.011986970901489258,1
-72.0,-18.0,-77.0,1,0.01199197769165039,1
-63.0,-33.0,-70.0,1,0.011996030807495117,1
-60.0,-29.0,-73.0,1,0.01200103759765625,1
-67.0,-29.0,-72.0,1,0.012004852294921875,1
-64.0,-25.0,-75.0,1,0.012008905410766602,1
-67.0,-26.0,-74.0,1,0.012013912200927734,1
-68.0,-24.0,-75.0,1,0.012017965316772461,1
-64.0,-28.0,-73.0,2,0.029706954956054688,2
-38.0,-60.0,-36.0,2,0.02973484992980957,2
-63.0,-36.0,-60.0,2,0.029758930206298828,2
-57.0,-37.0,-65.0,3,0.04295086860656738,3
-37.0,-58.0,-41.0,3,0.04301285743713379,3
-41.0,-57.0,-40.0,4,0.05369400978088379,4
-33.0,-60.0,-39.0,5,0.061508893966674805,5
-32.0,-63.0,-34.0,23,0.0895998477935791,6
-37.0,-54.0,-47.0,23,0.08960890769958496,6
-35.0,-57.0,-43.0,23,0.08961296081542969,6
-31.0,-59.0,-40.0,57,0.13718199729919434,7
-28.0,-65.0,-31.0,116,0.23067188262939453,9
-26.0,-65.0,-32.0,121,0.23954296112060547,9
-28.0,-64.0,-33.0,133,0.2555999755859375,10
-31.0,-61.0,-37.0,192,0.32543396949768066,8
-45.0,-49.0,-52.0,232,0.38088393211364746,5
-52.0,-42.0,-60.0,233,0.3875260353088379,6
-47.0,-48.0,-51.0,288,0.46113085746765137,6
-45.0,-50.0,-51.0,381,0.5770699977874756,5
-31.0,-62.0,-36.0,411,0.6431179046630859,6
-40.0,-54.0,-45.0,432,0.6786189079284668,10
-48.0,-43.0,-60.0,507,0.7845649719238281,7
-26.0,-68.0,-24.0,539,0.8280589580535889,7
-32.0,-65.0,-26.0,604,0.9040119647979736,3
-56.0,-44.0,-55.0,604,0.9040169715881348,3
-44.0,-55.0,-39.0,604,0.9040210247039795,3
-36.0,-58.0,-42.0,604,0.904047966003418,3
-34.0,-62.0,-35.0,604,0.9040608406066895,3
-48.0,-51.0,-46.0,605,0.9227159023284912,4
-57.0,-39.0,-64.0,605,0.9227390289306641,4
-49.0,-45.0,-59.0,605,0.9227428436279297,4
-41.0,-56.0,-42.0,606,0.9338548183441162,5
-40.0,-57.0,-41.0,606,0.9338598251342773,5
-30.0,-65.0,-29.0,664,1.0109999179840088,6
-35.0,-59.0,-37.0,689,1.042201042175293,9
-43.0,-50.0,-53.0,751,1.157721996307373,10
-52.0,-44.0,-56.0,775,1.1936349868774414,6
-42.0,-53.0,-48.0,775,1.1936438083648682,6
-43.0,-54.0,-40.0,807,1.2421338558197021,8
-43.0,-52.0,-49.0,906,1.3627958297729492,4
-42.0,-55.0,-43.0,906,1.3628089427947998,4
-40.0,-56.0,-43.0,906,1.3628129959106445,4
-34.0,-60.0,-38.0,906,1.3628180027008057,4
-52.0,-46.0,-55.0,908,1.3955318927764893,6
-46.0,-49.0,-51.0,951,1.459035873413086,9
-57.0,-34.0,-69.0,1013,1.5429069995880127,9
-54.0,-43.0,-57.0,1065,1.6120989322662354,12
-49.0,-48.0,-50.0,1077,1.6332898139953613,7
-52.0,-37.0,-66.0,1077,1.633307933807373,7
-51.0,-43.0,-59.0,1138,1.702422857284546,5
-49.0,-42.0,-61.0,1138,1.702427864074707,5
-57.0,-36.0,-66.0,1138,1.7024610042572021,5
-39.0,-54.0,-46.0,1330,1.9306819438934326,8
-63.0,-30.0,-71.0,1353,1.9532649517059326,4
-59.0,-31.0,-71.0,1363,1.9635169506072998,5
-50.0,-47.0,-55.0,1365,1.9760839939117432,2
-59.0,-35.0,-67.0,1365,1.9761018753051758,2
-47.0,-51.0,-49.0,1365,1.976106882095337,2
-58.0,-41.0,-60.0,1365,1.9761109352111816,2
-55.0,-45.0,-53.0,1365,1.9761159420013428,2
-44.0,-53.0,-47.0,1365,1.976166009902954,2
-39.0,-58.0,-40.0,1365,1.9761698246002197,2
-55.0,-42.0,-59.0,1366,2.0365819931030273,3
-56.0,-42.0,-57.0,1367,2.0823450088500977,4
-45.0,-53.0,-42.0,1439,2.198823928833008,8
-51.0,-48.0,-44.0,1465,2.2278449535369873,8
-42.0,-56.0,-39.0,1534,2.301666021347046,7
-54.0,-46.0,-50.0,1554,2.3238449096679688,4
-58.0,-43.0,-50.0,1755,2.6049959659576416,7
-59.0,-40.0,-52.0,1768,2.622978925704956,10
-33.0,-63.0,-30.0,1905,2.7547919750213623,6
-71.0,-26.0,-62.0,1914,2.762856960296631,5
-67.0,-32.0,-62.0,1946,2.799405813217163,9
-71.0,-25.0,-70.0,1971,2.83095383644104,3
-47.0,-52.0,-45.0,1971,2.8309638500213623,3
-69.0,-26.0,-69.0,1972,2.89164400100708,4
-43.0,-51.0,-50.0,2024,3.024413824081421,5
-52.0,-47.0,-51.0,2030,3.045707941055298,8
-65.0,-31.0,-67.0,2182,3.214219808578491,5
-69.0,-24.0,-71.0,2209,3.2432258129119873,5
-61.0,-35.0,-66.0,2217,3.250936985015869,6
-53.0,-41.0,-61.0,2224,3.257964849472046,6
-70.0,-21.0,-76.0,2277,3.3223109245300293,4
-73.0,-20.0,-69.0,2336,3.402218818664551,7
-68.0,-26.0,-72.0,2357,3.421501874923706,5
-69.0,-23.0,-75.0,2357,3.421510934829712,5
-73.0,-18.0,-74.0,2357,3.4215149879455566,5
-70.0,-23.0,-73.0,2357,3.421525001525879,5
-72.0,-20.0,-73.0,2357,3.4215288162231445,5
-71.0,-20.0,-75.0,2360,3.4284420013427734,7
-71.0,-21.0,-74.0,2373,3.4428598880767822,7
-67.0,-30.0,-65.0,2425,3.4936318397521973,5
-64.0,-30.0,-68.0,2518,3.5802009105682373,9
