z1,z2,z3,node,time,depth
-42.0,-52.0,-50.0,1,0.012006998062133789,1
-66.0,-36.0,-57.0,1,0.012012958526611328,1
-77.0,-21.0,-70.0,1,0.012017965316772461,1
-75.0,-21.0,-73.0,1,0.012022972106933594,1
-65.0,-33.0,-71.0,1,0.012027978897094727,1
-73.0,-26.0,-74.0,1,0.01203298568725586,1
-47.0,-55.0,-38.0,1,0.012037992477416992,1
-41.0,-58.0,-38.0,1,0.012042999267578125,1
-36.0,-60.0,-33.0,1,0.012048006057739258,1
-49.0,-47.0,-56.0,1,0.01205301284790039,1
-54.0,-40.0,-64.0,1,0.012057065963745117,1
-65.0,-34.0,-70.0,1,0.01206207275390625,1
-68.0,-26.0,-76.0,1,0.012067079544067383,1
-66.0,-25.0,-77.0,1,0.012072086334228516,1
-37.0,-59.0,-40.0,1,0.012077093124389648,1
-58.0,-46.0,-52.0,1,0.012082099914550781,1
-53.0,-51.0,-45.0,1,0.012087106704711914,1
-22.0,-64.0,-25.0,1,0.012092113494873047,1
-27.0,-63.0,-24.0,1,0.01209712028503418,1
-38.0,-59.0,-39.0,1,0.012102127075195312,1
-66.0,-22.0,-78.0,1,0.012107133865356445,1
-71.0,-22.0,-76.0,1,0.012112140655517578,1
-69.0,-20.0,-77.0,1,0.012117147445678711,1
-50.0,-52.0,-46.0,1,0.012122154235839844,1
-62.0,-41.0,-61.0,1,0.012127161026000977,1
-49.0,-52.0,-47.0,1,0.01213216781616211,1
-52.0,-51.0,-46.0,2,0.034330129623413086,2
-43.0,-56.0,-40.0,2,0.03435707092285156,2
-33.0,-61.0,-28.0,2,0.034362077713012695,2
-32.0,-61.0,-29.0,2,0.03437304496765137,2
-70.0,-28.0,-67.0,3,0.05196809768676758,2
-31.0,-61.0,-34.0,3,0.052000999450683594,2
-43.0,-57.0,-37.0,3,0.05202007293701172,2
-47.0,-53.0,-46.0,3,0.05205202102661133,2
-69.0,-23.0,-76.0,4,0.07249116897583008,3
-71.0,-25.0,-75.0,4,0.0725240707397461,3
-47.0,-50.0,-49.0,4,0.07260298728942871,3
-74.0,-24.0,-73.0,5,0.0904240608215332,3
-59.0,-39.0,-64.0,6,0.10071301460266113,3
-56.0,-46.0,-53.0,7,0.11071896553039551,3
-44.0,-56.0,-37.0,8,0.1311049461364746,4
-52.0,-42.0,-59.0,8,0.1311960220336914,4
-46.0,-55.0,-39.0,9,0.14266014099121094,4
-43.0,-54.0,-41.0,9,0.14266610145568848,4
-53.0,-45.0,-56.0,10,0.15301108360290527,4
-71.0,-27.0,-68.0,10,0.15303611755371094,4
-42.0,-57.0,-38.0,12,0.1644589900970459,4
-51.0,-46.0,-55.0,12,0.16446805000305176,4
-60.0,-43.0,-52.0,13,0.16953110694885254,4
-35.0,-57.0,-42.0,14,0.17527103424072266,4
-38.0,-56.0,-42.0,14,0.17532014846801758,4
-45.0,-51.0,-49.0,14,0.1753251552581787,4
-50.0,-47.0,-55.0,15,0.18021798133850098,4
-32.0,-60.0,-35.0,15,0.1802361011505127,4
-76.0,-22.0,-70.0,18,0.21051907539367676,5
-68.0,-32.0,-64.0,19,0.21698594093322754,5
-61.0,-38.0,-62.0,20,0.22727608680725098,5
-68.0,-29.0,-68.0,21,0.23501205444335938,5
-55.0,-46.0,-54.0,24,0.2514951229095459,5
-57.0,-44.0,-54.0,24,0.2515079975128174,5
-64.0,-36.0,-61.0,24,0.2515120506286621,5
-58.0,-42.0,-54.0,26,0.26148104667663574,5
-48.0,-51.0,-48.0,26,0.2614860534667969,5
-51.0,-50.0,-47.0,26,0.261491060256958,5
-54.0,-45.0,-55.0,27,0.2663559913635254,5
-48.0,-46.0,-57.0,28,0.27167797088623047,5
-40.0,-58.0,-39.0,30,0.27883410453796387,5
-71.0,-28.0,-65.0,36,0.3236429691314697,6
-67.0,-30.0,-69.0,39,0.34469103813171387,6
-54.0,-49.0,-43.0,40,0.3552229404449463,6
-67.0,-31.0,-66.0,40,0.35526299476623535,6
-59.0,-44.0,-51.0,40,0.3552670478820801,6
-59.0,-43.0,-53.0,40,0.3552720546722412,6
-66.0,-29.0,-70.0,43,0.3751871585845947,6
-56.0,-44.0,-55.0,50,0.4072120189666748,6
-44.0,-55.0,-40.0,52,0.41561102867126465,6
-39.0,-56.0,-41.0,62,0.4560739994049072,6
-40.0,-54.0,-42.0,64,0.46808505058288574,7
-50.0,-49.0,-48.0,78,0.5623409748077393,7
-60.0,-39.0,-63.0,97,0.660006046295166,7
-63.0,-39.0,-60.0,103,0.6838550567626953,7
-40.0,-55.0,-41.0,104,0.6884691715240479,7
-29.0,-62.0,-23.0,129,0.7827250957489014,8
-69.0,-30.0,-63.0,145,0.8842639923095703,8
-53.0,-47.0,-46.0,148,0.9046361446380615,8
-52.0,-44.0,-57.0,206,1.1657519340515137,8
-26.0,-62.0,-25.0,252,1.2920610904693604,9
-46.0,-48.0,-50.0,362,1.7945160865783691,9
-65.0,-37.0,-57.0,376,1.8463289737701416,9
-37.0,-55.0,-43.0,417,1.9925811290740967,9
-48.0,-44.0,-59.0,420,1.9990270137786865,9
-42.0,-48.0,-51.0,421,2.0017480850219727,9
-70.0,-29.0,-63.0,480,2.245192050933838,10
-62.0,-36.0,-62.0,524,2.429744005203247,10
-69.0,-28.0,-68.0,524,2.4297759532928467,10
-69.0,-29.0,-67.0,524,2.4297890663146973,10
-58.0,-36.0,-66.0,582,2.596472978591919,10
-54.0,-43.0,-57.0,600,2.6727941036224365,10
-55.0,-42.0,-56.0,621,2.7374930381774902,10
-50.0,-43.0,-58.0,685,2.8702051639556885,10
-59.0,-36.0,-65.0,843,3.401872158050537,11
-66.0,-32.0,-69.0,1232,4.511690139770508,13
-49.0,-48.0,-49.0,1279,4.633592128753662,14
