z1,z2,z3,node,time,depth
-25.0,-71.0,-24.0,1,0.011672019958496094,1
-25.0,-72.0,-20.0,1,0.01167607307434082,1
-32.0,-69.0,-26.0,1,0.011681079864501953,1
-67.0,-16.0,-70.0,1,0.01168513298034668,1
-70.0,-18.0,-68.0,1,0.011690139770507812,1
-74.0,-18.0,-63.0,1,0.011695146560668945,1
-61.0,-26.0,-66.0,1,0.01169896125793457,1
-48.0,-42.0,-58.0,1,0.011703014373779297,1
-38.0,-56.0,-46.0,1,0.011708974838256836,1
-31.0,-63.0,-39.0,1,0.011713027954101562,1
-56.0,-44.0,-51.0,1,0.011718034744262695,1
-65.0,-32.0,-52.0,1,0.011722087860107422,1
-73.0,-20.0,-65.0,1,0.011727094650268555,1
-50.0,-43.0,-57.0,1,0.011731147766113281,1
-47.0,-56.0,-37.0,1,0.011736154556274414,1
-36.0,-67.0,-28.0,1,0.011739969253540039,1
-44.0,-56.0,-42.0,1,0.011744976043701172,1
-40.0,-57.0,-45.0,1,0.011749029159545898,1
-33.0,-67.0,-32.0,1,0.011754035949707031,1
-35.0,-64.0,-36.0,1,0.011758089065551758,1
-54.0,-44.0,-54.0,1,0.01176309585571289,1
-52.0,-36.0,-62.0,1,0.011768102645874023,1
-54.0,-37.0,-61.0,1,0.01177215576171875,1
-57.0,-36.0,-61.0,1,0.011776924133300781,1
-57.0,-39.0,-58.0,1,0.011780977249145508,1
-59.0,-38.0,-58.0,1,0.011785030364990234,1
-61.0,-29.0,-63.0,2,0.026353120803833008,2
-45.0,-48.0,-51.0,2,0.026361942291259766,2
-55.0,-38.0,-59.0,2,0.026376962661743164,2
-64.0,-28.0,-63.0,2,0.026386022567749023,2
-45.0,-56.0,-40.0,3,0.038748979568481445,2
-63.0,-32.0,-57.0,3,0.03877711296081543,2
-32.0,-59.0,-40.0,6,0.0546109676361084,3
-34.0,-60.0,-39.0,6,0.0546419620513916,3
-40.0,-52.0,-46.0,6,0.05467796325683594,3
-28.0,-68.0,-29.0,7,0.06529903411865234,3
-35.0,-61.0,-38.0,7,0.0653080940246582,3
-50.0,-50.0,-44.0,7,0.0653390884399414,3
-37.0,-62.0,-35.0,7,0.06534814834594727,3
-41.0,-56.0,-44.0,10,0.08166098594665527,3
-44.0,-51.0,-49.0,10,0.08168315887451172,3
-29.0,-62.0,-40.0,10,0.08170104026794434,3
-49.0,-45.0,-54.0,11,0.09087514877319336,3
-46.0,-54.0,-42.0,14,0.10565900802612305,4
-60.0,-36.0,-56.0,14,0.10566306114196777,4
-69.0,-24.0,-59.0,14,0.10570406913757324,4
