z1,z2,z3,node,time,depth
-41.0,-48.0,-69.0,1,0.021916866302490234,1
-72.0,-43.0,-41.0,1,0.021921873092651367,1
-39.0,-63.0,-57.0,1,0.021928071975708008,1
-74.0,-34.0,-44.0,1,0.02193307876586914,1
-71.0,-36.0,-49.0,1,0.021937847137451172,1
-63.0,-41.0,-59.0,1,0.021942853927612305,1
-54.0,-34.0,-66.0,1,0.021947860717773438,1
-57.0,-44.0,-62.0,1,0.02195286750793457,1
-41.0,-42.0,-72.0,1,0.021957874298095703,1
-49.0,-46.0,-66.0,1,0.02196192741394043,1
-48.0,-39.0,-69.0,1,0.021966934204101562,1
-61.0,-41.0,-61.0,1,0.021971940994262695,1
-53.0,-43.0,-65.0,1,0.021975994110107422,1
-67.0,-51.0,-44.0,1,0.021981000900268555,1
-64.0,-47.0,-54.0,1,0.021986007690429688,1
-65.0,-50.0,-49.0,1,0.021990060806274414,1
-62.0,-53.0,-50.0,1,0.021995067596435547,1
-63.0,-57.0,-39.0,1,0.02200007438659668,1
-50.0,-64.0,-48.0,1,0.022005081176757812,1
-59.0,-61.0,-41.0,1,0.022008895874023438,1
-54.0,-65.0,-34.0,1,0.02201390266418457,1
-55.0,-64.0,-39.0,1,0.022018909454345703,1
-48.0,-68.0,-36.0,1,0.022023916244506836,1
-36.0,-69.0,-42.0,1,0.022027969360351562,1
-48.0,-53.0,-63.0,1,0.022032976150512695,1
-56.0,-51.0,-59.0,1,0.022037982940673828,1
-47.0,-63.0,-54.0,1,0.02204298973083496,1
-35.0,-67.0,-51.0,1,0.022047042846679688,1
-33.0,-67.0,-52.0,1,0.02205204963684082,1
-71.0,-47.0,-41.0,1,0.022057056427001953,1
-66.0,-39.0,-56.0,1,0.022062063217163086,1
-32.0,-63.0,-59.0,1,0.02206587791442871,1
-41.0,-60.0,-61.0,1,0.022070884704589844,1
-44.0,-55.0,-64.0,1,0.022075891494750977,1
-60.0,-59.0,-43.0,1,0.022079944610595703,1
-64.0,-54.0,-45.0,1,0.022084951400756836,1
-70.0,-49.0,-41.0,1,0.02208995819091797,1
-63.0,-56.0,-43.0,1,0.0220949649810791,1
-50.0,-67.0,-38.0,1,0.022099971771240234,1
-46.0,-68.0,-42.0,1,0.022104978561401367,1
-52.0,-65.0,-42.0,1,0.022110939025878906,1
-68.0,-48.0,-46.0,1,0.02211594581604004,1
-67.0,-44.0,-51.0,1,0.022120952606201172,1
-70.0,-42.0,-47.0,1,0.0221250057220459,1
-31.0,-60.0,-63.0,1,0.022130966186523438,1
-37.0,-57.0,-65.0,1,0.022135019302368164,1
-33.0,-54.0,-68.0,1,0.022140026092529297,1
-54.0,-58.0,-53.0,1,0.02214503288269043,1
-56.0,-61.0,-46.0,1,0.022150039672851562,1
-58.0,-58.0,-48.0,1,0.022155046463012695,1
-65.0,-36.0,-57.0,2,0.0565948486328125,2
-57.0,-48.0,-58.0,2,0.05668187141418457,2
-62.0,-37.0,-60.0,2,0.0566859245300293,2
-52.0,-41.0,-66.0,2,0.05668997764587402,2
-65.0,-44.0,-53.0,2,0.056694984436035156,2
-45.0,-46.0,-68.0,2,0.05672097206115723,2
-41.0,-53.0,-65.0,2,0.05672597885131836,2
-69.0,-34.0,-51.0,5,0.09402203559875488,4
-67.0,-33.0,-54.0,154,0.6124980449676514,4
-40.0,-44.0,-70.0,493,1.7515559196472168,8
-37.0,-50.0,-68.0,563,2.076819896697998,16
-39.0,-47.0,-70.0,666,2.3885369300842285,8
-50.0,-32.0,-68.0,667,2.4030299186706543,9
-48.0,-43.0,-67.0,667,2.403095006942749,9
-43.0,-43.0,-70.0,667,2.4031128883361816,9
-58.0,-35.0,-63.0,734,2.5970799922943115,9
-63.0,-42.0,-55.0,737,2.6322269439697266,11
-59.0,-36.0,-62.0,792,2.895439863204956,22
-56.0,-32.0,-64.0,794,2.9097909927368164,18
-45.0,-38.0,-70.0,809,2.986100912094116,27
-56.0,-37.0,-63.0,848,3.1165878772735596,22
-35.0,-49.0,-69.0,849,3.1393208503723145,2
-34.0,-54.0,-67.0,849,3.1393449306488037,2
-43.0,-50.0,-67.0,849,3.1393589973449707,2
-55.0,-32.0,-65.0,849,3.1394519805908203,2
-49.0,-37.0,-68.0,849,3.139456033706665,2
-53.0,-37.0,-66.0,849,3.139461040496826,2
-46.0,-42.0,-69.0,849,3.1394710540771484,2
-44.0,-45.0,-69.0,849,3.139479875564575,2
-39.0,-49.0,-68.0,850,3.177582025527954,3
-38.0,-52.0,-67.0,850,3.1775870323181152,3
-34.0,-55.0,-66.0,850,3.1775920391082764,3
-40.0,-66.0,-46.0,850,3.1776158809661865,3
-37.0,-65.0,-52.0,850,3.1776208877563477,3
-36.0,-64.0,-55.0,850,3.1776249408721924,3
-57.0,-56.0,-52.0,850,3.1776678562164307,3
-47.0,-65.0,-46.0,850,3.1776769161224365,3
-69.0,-45.0,-46.0,850,3.1777138710021973,3
-51.0,-34.0,-67.0,850,3.1777288913726807,3
-44.0,-49.0,-67.0,863,3.369184970855713,10
-45.0,-61.0,-57.0,863,3.369189977645874,10
-59.0,-44.0,-60.0,863,3.3692140579223633,10
-51.0,-46.0,-64.0,863,3.3692190647125244,10
-49.0,-54.0,-61.0,882,3.517781972885132,20
-52.0,-53.0,-60.0,882,3.5177860260009766,20
-52.0,-47.0,-63.0,882,3.5177998542785645,20
-53.0,-52.0,-60.0,885,3.5367238521575928,22
-54.0,-50.0,-60.0,885,3.5367279052734375,22
-55.0,-56.0,-53.0,885,3.5367419719696045,22
-54.0,-54.0,-55.0,889,3.551240921020508,25
-55.0,-52.0,-57.0,898,3.5765700340270996,26
-53.0,-55.0,-56.0,898,3.5765788555145264,26
-60.0,-49.0,-56.0,930,3.663050889968872,22
-63.0,-49.0,-52.0,931,3.670732021331787,23
-56.0,-45.0,-61.0,947,3.716538906097412,24
-61.0,-48.0,-55.0,947,3.716557025909424,24
-60.0,-52.0,-52.0,994,3.8668148517608643,32
-57.0,-50.0,-57.0,995,3.8723440170288086,33
-59.0,-50.0,-54.0,1024,3.957134962081909,36
-59.0,-48.0,-57.0,1035,3.9880290031433105,20
-52.0,-51.0,-61.0,1035,3.988039016723633,20
-43.0,-51.0,-65.0,1036,4.002263069152832,21
-60.0,-50.0,-53.0,1070,4.112105846405029,23
-64.0,-48.0,-50.0,1070,4.112160921096802,23
-62.0,-48.0,-53.0,1102,4.224530935287476,24
-46.0,-52.0,-64.0,1138,4.3459789752960205,32
-46.0,-54.0,-62.0,1160,4.387650966644287,28
-45.0,-59.0,-59.0,1185,4.454818964004517,24
-52.0,-56.0,-56.0,1185,4.4548280239105225,24
-48.0,-60.0,-56.0,1185,4.454833030700684,24
-61.0,-54.0,-49.0,1204,4.52899694442749,26
-59.0,-54.0,-51.0,1207,4.547446966171265,28
-51.0,-61.0,-52.0,1207,4.547451019287109,28
-50.0,-59.0,-55.0,1252,4.682606935501099,31
-54.0,-59.0,-49.0,1273,4.739184856414795,34
-50.0,-62.0,-51.0,1287,4.768462896347046,35
-54.0,-60.0,-48.0,1290,4.775774955749512,35
-46.0,-59.0,-58.0,1312,4.831924915313721,10
-53.0,-54.0,-58.0,1312,4.831943988800049,10
-58.0,-46.0,-60.0,1312,4.831953048706055,10
-45.0,-56.0,-62.0,1312,4.831958055496216,10
-53.0,-56.0,-55.0,1312,4.831999063491821,10
-66.0,-47.0,-49.0,1312,4.832068920135498,10
-44.0,-50.0,-66.0,1323,4.936261892318726,13
-48.0,-48.0,-65.0,1323,4.936266899108887,13
-49.0,-56.0,-58.0,1323,4.93629002571106,13
-50.0,-46.0,-65.0,1323,4.9363038539886475,13
-65.0,-40.0,-55.0,1323,4.936349868774414,13
-47.0,-50.0,-64.0,1350,5.0449378490448,16
-46.0,-48.0,-66.0,1360,5.07861590385437,17
-49.0,-42.0,-67.0,1360,5.078619956970215,17
-56.0,-53.0,-55.0,1401,5.210691928863525,14
-35.0,-61.0,-59.0,1474,5.4750659465789795,18
-38.0,-54.0,-65.0,1482,5.5000269412994385,19
-68.0,-42.0,-50.0,1527,5.65625,17
-68.0,-38.0,-52.0,1527,5.656259059906006,17
-68.0,-36.0,-53.0,1552,5.72524094581604,17
-64.0,-39.0,-58.0,1553,5.739457845687866,18
-51.0,-48.0,-63.0,1553,5.739539861679077,18
-55.0,-43.0,-63.0,1566,5.800266981124878,26
-53.0,-46.0,-63.0,1576,5.820124864578247,23
-57.0,-36.0,-63.0,1585,5.845972061157227,20
-58.0,-42.0,-62.0,1585,5.845977067947388,20
-54.0,-45.0,-63.0,1585,5.846008062362671,20
-48.0,-49.0,-64.0,1588,5.863600969314575,22
-55.0,-46.0,-61.0,1588,5.863618850708008,22
-47.0,-45.0,-67.0,1622,5.951288938522339,34
-53.0,-44.0,-64.0,1624,5.955847978591919,26
-45.0,-48.0,-67.0,1625,5.962951898574829,22
-55.0,-37.0,-64.0,1637,5.992017984390259,23
-54.0,-42.0,-64.0,1638,6.0000059604644775,18
-46.0,-44.0,-68.0,1638,6.000010967254639,18
-46.0,-50.0,-65.0,1638,6.000032901763916,18
-50.0,-48.0,-64.0,1638,6.000036954879761,18
-62.0,-44.0,-57.0,1641,6.0281288623809814,20
-65.0,-42.0,-54.0,1641,6.028146982192993,20
-62.0,-45.0,-56.0,1641,6.028159856796265,20
-58.0,-47.0,-58.0,1644,6.04949688911438,22
-54.0,-48.0,-61.0,1669,6.12264084815979,26
-49.0,-51.0,-62.0,1672,6.132690906524658,28
-53.0,-49.0,-61.0,1685,6.16628885269165,28
-52.0,-48.0,-62.0,1688,6.1734619140625,28
-57.0,-52.0,-55.0,1720,6.236083984375,20
-50.0,-55.0,-59.0,1720,6.236093044281006,20
-60.0,-42.0,-60.0,1755,6.363663911819458,27
-60.0,-45.0,-58.0,1758,6.372750997543335,27
-50.0,-49.0,-62.0,1760,6.381803035736084,28
-70.0,-35.0,-50.0,1795,6.4948999881744385,3
-49.0,-64.0,-49.0,1795,6.494922876358032,3
-71.0,-37.0,-48.0,1795,6.494940996170044,3
-48.0,-61.0,-55.0,1795,6.494946002960205,3
-44.0,-64.0,-53.0,1795,6.495037078857422,3
-42.0,-64.0,-54.0,1795,6.495041847229004,3
-57.0,-55.0,-53.0,1795,6.49505090713501,3
-50.0,-40.0,-67.0,1795,6.495073080062866,3
-46.0,-57.0,-60.0,1795,6.49514102935791,3
-41.0,-52.0,-66.0,1795,6.495146036148071,3
-42.0,-56.0,-63.0,1795,6.495149850845337,3
-69.0,-40.0,-49.0,1828,6.696048974990845,5
-66.0,-42.0,-52.0,1828,6.696058034896851,5
-67.0,-37.0,-53.0,1831,6.717078924179077,7
-65.0,-51.0,-45.0,1848,6.803307056427002,6
-68.0,-39.0,-51.0,1848,6.80332088470459,6
-67.0,-45.0,-49.0,1848,6.80336594581604,6
-67.0,-52.0,-40.0,1848,6.803369998931885,6
-64.0,-55.0,-40.0,1848,6.8034069538116455,6
