z1,z2,z3,node,time,depth
-43.0,-50.0,-81.0,1,0.013010025024414062,1
-39.0,-53.0,-81.0,1,0.013015985488891602,1
-35.0,-59.0,-78.0,1,0.01302194595336914,1
-36.0,-67.0,-73.0,1,0.013026952743530273,1
-32.0,-78.0,-58.0,1,0.013032913208007812,1
-82.0,-48.0,-55.0,1,0.013038873672485352,1
-69.0,-47.0,-77.0,1,0.01304483413696289,1
-54.0,-59.0,-76.0,1,0.013051033020019531,1
-45.0,-70.0,-70.0,1,0.013056039810180664,1
-44.0,-74.0,-65.0,1,0.013062000274658203,1
-43.0,-78.0,-48.0,1,0.013067960739135742,1
-79.0,-47.0,-69.0,1,0.013073921203613281,1
-72.0,-68.0,-52.0,1,0.01307988166809082,1
-81.0,-49.0,-64.0,1,0.013084888458251953,1
-78.0,-49.0,-71.0,1,0.013090848922729492,1
-73.0,-49.0,-74.0,1,0.013097047805786133,1
-57.0,-65.0,-72.0,1,0.013103008270263672,1
-55.0,-67.0,-71.0,1,0.013108968734741211,1
-55.0,-73.0,-64.0,1,0.013113975524902344,1
-61.0,-69.0,-67.0,1,0.013119935989379883,1
-48.0,-77.0,-52.0,1,0.013125896453857422,1
-76.0,-62.0,-58.0,1,0.013130903244018555,1
-77.0,-61.0,-49.0,1,0.013136863708496094,1
-76.0,-63.0,-49.0,1,0.013142824172973633,1
-68.0,-57.0,-73.0,1,0.013147830963134766,1
-72.0,-67.0,-61.0,1,0.013154029846191406,1
-69.0,-68.0,-64.0,1,0.013159990310668945,1
-58.0,-74.0,-53.0,1,0.013165950775146484,1
-61.0,-73.0,-58.0,1,0.013170957565307617,1
-77.0,-57.0,-67.0,1,0.013176918029785156,1
-70.0,-63.0,-68.0,1,0.013182878494262695,1
-72.0,-58.0,-70.0,1,0.013188838958740234,1
-66.0,-69.0,-63.0,2,0.024750947952270508,2
-62.0,-70.0,-56.0,2,0.024756908416748047,2
-53.0,-69.0,-68.0,2,0.024792909622192383,2
-56.0,-44.0,-79.0,2,0.02480483055114746,2
-52.0,-47.0,-79.0,2,0.024883031845092773,2
-58.0,-56.0,-76.0,3,0.03467082977294922,3
-70.0,-47.0,-75.0,3,0.03472590446472168,3
-53.0,-62.0,-73.0,4,0.04215192794799805,4
-58.0,-64.0,-68.0,27,0.09973001480102539,6
-66.0,-66.0,-66.0,100,0.3958740234375,3
-51.0,-55.0,-77.0,100,0.39590883255004883,3
-59.0,-61.0,-72.0,100,0.39591503143310547,3
-60.0,-52.0,-76.0,101,0.4050600528717041,4
-71.0,-61.0,-65.0,102,0.4132249355316162,5
-58.0,-50.0,-77.0,102,0.41325998306274414,5
-71.0,-53.0,-72.0,124,0.4663839340209961,6
-62.0,-59.0,-71.0,125,0.47073888778686523,7
-76.0,-42.0,-72.0,177,0.6561779975891113,5
-57.0,-47.0,-78.0,177,0.6561830043792725,5
-74.0,-52.0,-70.0,177,0.6561999320983887,5
-70.0,-60.0,-69.0,236,0.876147985458374,4
-69.0,-52.0,-74.0,236,0.8761529922485352,4
-66.0,-49.0,-76.0,236,0.8761868476867676,4
-55.0,-58.0,-73.0,259,0.9648258686065674,13
-65.0,-58.0,-71.0,276,1.0467329025268555,5
-44.0,-62.0,-75.0,355,1.5624070167541504,2
-61.0,-71.0,-62.0,355,1.5624358654022217,2
-77.0,-58.0,-58.0,355,1.5624580383300781,2
-78.0,-56.0,-58.0,355,1.5624699592590332,2
-69.0,-69.0,-55.0,355,1.5624868869781494,2
-42.0,-59.0,-77.0,356,1.573638916015625,3
-73.0,-66.0,-52.0,358,1.5918278694152832,5
-65.0,-71.0,-53.0,359,1.5982308387756348,6
-81.0,-50.0,-55.0,412,1.813349962234497,4
-79.0,-52.0,-55.0,421,1.8519699573516846,10
-49.0,-50.0,-78.0,441,1.968369960784912,8
-75.0,-63.0,-51.0,485,2.2087419033050537,3
-46.0,-49.0,-79.0,485,2.2088029384613037,3
-45.0,-52.0,-79.0,485,2.2088139057159424,3
-46.0,-76.0,-54.0,486,2.219521999359131,4
-53.0,-74.0,-54.0,501,2.2924559116363525,6
-66.0,-70.0,-54.0,549,2.6038248538970947,4
-46.0,-70.0,-67.0,550,2.6146979331970215,5
-47.0,-70.0,-65.0,600,2.853800058364868,8
-47.0,-74.0,-63.0,601,2.8660929203033447,5
-46.0,-60.0,-74.0,602,2.8765649795532227,6
-40.0,-61.0,-76.0,602,2.8765759468078613,6
-34.0,-55.0,-79.0,603,2.887410879135132,7
-46.0,-51.0,-78.0,604,2.8955068588256836,8
-38.0,-56.0,-78.0,659,3.1898770332336426,13
-23.0,-56.0,-79.0,667,3.2423059940338135,6
-52.0,-75.0,-47.0,698,3.381924867630005,12
-39.0,-75.0,-63.0,751,3.6659209728240967,7
-50.0,-75.0,-53.0,751,3.6660449504852295,7
-38.0,-71.0,-66.0,756,3.725433826446533,11
-35.0,-71.0,-68.0,756,3.7254388332366943,11
-28.0,-64.0,-74.0,772,3.8004770278930664,16
