z1,z2,z3,node,time,depth
-18.0,-66.0,-47.0,1,0.018429040908813477,1
-38.0,-66.0,-24.0,1,0.018435955047607422,1
-27.0,-39.0,-70.0,1,0.01844501495361328,1
-20.0,-59.0,-56.0,1,0.018453121185302734,1
-19.0,-55.0,-61.0,1,0.018460988998413086,1
-22.0,-66.0,-46.0,1,0.018468141555786133,1
-37.0,-66.0,-32.0,1,0.018475055694580078,1
-43.0,-65.0,-26.0,1,0.018481969833374023,1
-66.0,-41.0,-29.0,1,0.018490076065063477,1
-63.0,-46.0,-29.0,1,0.018496990203857422,1
-66.0,-36.0,-37.0,1,0.01850414276123047,1
-69.0,-31.0,-37.0,1,0.018511056900024414,1
-68.0,-18.0,-46.0,1,0.01851797103881836,1
-70.0,-26.0,-37.0,1,0.0185239315032959,1
-39.0,-37.0,-65.0,1,0.01853013038635254,1
-43.0,-23.0,-70.0,1,0.01853799819946289,1
-54.0,-17.0,-64.0,1,0.018545150756835938,1
-37.0,-28.0,-73.0,1,0.018552064895629883,1
-36.0,-65.0,-36.0,1,0.018558025360107422,1
-28.0,-63.0,-47.0,1,0.018564939498901367,1
-66.0,-16.0,-52.0,1,0.018572092056274414,1
-66.0,-19.0,-51.0,1,0.01857900619506836,1
-68.0,-24.0,-44.0,1,0.0185849666595459,1
-43.0,-62.0,-34.0,1,0.018590927124023438,1
-28.0,-47.0,-65.0,1,0.018598079681396484,1
-46.0,-45.0,-53.0,1,0.018604040145874023,1
-50.0,-39.0,-55.0,1,0.018610000610351562,1
-58.0,-50.0,-35.0,1,0.01861715316772461,1
-28.0,-59.0,-54.0,1,0.01862502098083496,1
-48.0,-54.0,-40.0,1,0.0186309814453125,1
-63.0,-15.0,-58.0,1,0.018638134002685547,1
-54.0,-31.0,-57.0,1,0.018644094467163086,1
-62.0,-22.0,-55.0,1,0.018650054931640625,1
-48.0,-22.0,-67.0,1,0.01865696907043457,1
-53.0,-28.0,-60.0,1,0.018664121627807617,1
-50.0,-33.0,-60.0,1,0.018671035766601562,1
-56.0,-52.0,-21.0,2,0.04083704948425293,2
-67.0,-29.0,-40.0,2,0.0408480167388916,2
-49.0,-57.0,-32.0,2,0.04085898399353027,2
-52.0,-55.0,-29.0,2,0.040869951248168945,2
-52.0,-21.0,-64.0,2,0.040882110595703125,2
-40.0,-29.0,-70.0,2,0.04089808464050293,2
-58.0,-42.0,-40.0,2,0.04091501235961914,2
-62.0,-17.0,-56.0,2,0.04092597961425781,2
-64.0,-16.0,-53.0,2,0.04093194007873535,2
-63.0,-18.0,-54.0,2,0.040949106216430664,2
-67.0,-19.0,-45.0,2,0.040960073471069336,2
-66.0,-22.0,-47.0,2,0.040966033935546875,2
-50.0,-40.0,-53.0,2,0.04097700119018555,2
-41.0,-51.0,-50.0,2,0.04098200798034668,2
-39.0,-50.0,-53.0,2,0.04098796844482422,2
-41.0,-29.0,-67.0,3,0.059240102767944336,2
-54.0,-54.0,-22.0,3,0.059252023696899414,2
-48.0,-58.0,-30.0,3,0.05925703048706055,2
-41.0,-58.0,-40.0,3,0.0592799186706543,2
-43.0,-51.0,-48.0,3,0.0592961311340332,2
-34.0,-55.0,-50.0,3,0.05930209159851074,2
-45.0,-24.0,-68.0,3,0.059313058853149414,2
-45.0,-30.0,-65.0,3,0.05932903289794922,2
-29.0,-66.0,-36.0,4,0.08062005043029785,3
-34.0,-63.0,-40.0,4,0.08068299293518066,3
-33.0,-55.0,-53.0,4,0.0807340145111084,3
-39.0,-55.0,-46.0,4,0.08080101013183594,3
-57.0,-35.0,-47.0,4,0.08082914352416992,3
-25.0,-62.0,-49.0,5,0.09993791580200195,3
-31.0,-66.0,-34.0,5,0.09996199607849121,3
-28.0,-65.0,-40.0,5,0.09996795654296875,3
-55.0,-25.0,-58.0,5,0.09998011589050293,3
-30.0,-45.0,-62.0,5,0.0999910831451416,3
-34.0,-49.0,-58.0,5,0.09999704360961914,3
-58.0,-26.0,-55.0,5,0.10000801086425781,3
-66.0,-28.0,-42.0,5,0.10001492500305176,3
-43.0,-37.0,-61.0,5,0.10004305839538574,3
-46.0,-31.0,-63.0,5,0.10004901885986328,3
-45.0,-39.0,-58.0,5,0.10010099411010742,3
-69.0,-23.0,-40.0,6,0.11881899833679199,3
-62.0,-39.0,-36.0,6,0.11882495880126953,3
-49.0,-51.0,-41.0,6,0.11885905265808105,3
-65.0,-29.0,-44.0,6,0.11889195442199707,3
-51.0,-23.0,-64.0,6,0.11889815330505371,3
-57.0,-43.0,-42.0,6,0.1189420223236084,3
-43.0,-44.0,-55.0,6,0.11895895004272461,3
-40.0,-44.0,-57.0,7,0.13269305229187012,3
-67.0,-26.0,-44.0,7,0.13277196884155273,3
-59.0,-23.0,-57.0,7,0.13278913497924805,3
-25.0,-52.0,-60.0,8,0.15479803085327148,4
-28.0,-41.0,-68.0,8,0.15488314628601074,4
-33.0,-40.0,-66.0,8,0.15489411354064941,4
-24.0,-63.0,-48.0,9,0.17238306999206543,4
-23.0,-64.0,-46.0,9,0.17238903045654297,4
-37.0,-49.0,-55.0,9,0.17239999771118164,4
-34.0,-42.0,-64.0,9,0.1724109649658203,4
-34.0,-36.0,-69.0,9,0.17241692543029785,4
-29.0,-65.0,-39.0,9,0.1724390983581543,4
-27.0,-64.0,-45.0,9,0.17245101928710938,4
-25.0,-58.0,-55.0,9,0.17247295379638672,4
-48.0,-26.0,-63.0,9,0.17247915267944336,4
-42.0,-31.0,-66.0,9,0.17253398895263672,4
-56.0,-33.0,-50.0,9,0.17257905006408691,4
-46.0,-61.0,-28.0,10,0.19128894805908203,4
-32.0,-50.0,-57.0,10,0.1913449764251709,4
-34.0,-50.0,-56.0,10,0.1913900375366211,4
-47.0,-44.0,-51.0,10,0.19139504432678223,4
-31.0,-47.0,-60.0,10,0.19140100479125977,4
-36.0,-46.0,-58.0,10,0.1914060115814209,4
-28.0,-53.0,-57.0,11,0.20737504959106445,4
-32.0,-65.0,-37.0,11,0.20740294456481934,4
-49.0,-46.0,-47.0,11,0.2074260711669922,4
