z1,z2,z3,node,time,depth
-13123.0,-14980.0,-16521.0,1,0.020344018936157227,1
-13662.0,-15505.0,-15418.0,1,0.020364046096801758,1
-13805.0,-15849.0,-14745.0,1,0.020370960235595703,1
-14439.0,-15534.0,-14816.0,1,0.020376920700073242,1
-14232.0,-15088.0,-15962.0,1,0.020394086837768555,1
-17029.0,-12481.0,-15720.0,1,0.020400047302246094,1
-16952.0,-12535.0,-15859.0,1,0.020406007766723633,1
-14936.0,-14313.0,-16214.0,1,0.020412921905517578,1
-13805.0,-14328.0,-16853.0,1,0.020420074462890625,1
-16411.0,-12519.0,-16537.0,1,0.02042698860168457,1
-14184.0,-13404.0,-16984.0,1,0.020434141159057617,1
-16246.0,-12337.0,-16644.0,1,0.020440101623535156,1
-15533.0,-13071.0,-16708.0,1,0.020446062088012695,1
-15896.0,-15096.0,-13166.0,1,0.02045297622680664,1
-15551.0,-14850.0,-15003.0,1,0.02045893669128418,1
-13460.0,-16243.0,-12289.0,1,0.020466089248657227,1
-14025.0,-16216.0,-13127.0,1,0.02047109603881836,1
-16445.0,-14187.0,-14808.0,1,0.02047896385192871,1
-16255.0,-14075.0,-15255.0,1,0.020486116409301758,1
-14229.0,-16171.0,-12436.0,1,0.02049398422241211,1
-16722.0,-13494.0,-15335.0,1,0.020501136779785156,1
-16741.0,-13002.0,-15930.0,1,0.0205080509185791,1
-16664.0,-13056.0,-16069.0,1,0.02051401138305664,1
-14952.0,-15682.0,-13660.0,1,0.02051997184753418,1
-14577.0,-15936.0,-13174.0,1,0.02052593231201172,1
-15341.0,-15487.0,-12623.0,1,0.02053213119506836,1
-15960.0,-13831.0,-15817.0,2,0.03395700454711914,2
-15417.0,-14306.0,-15509.0,2,0.0339961051940918,2
-14979.0,-15032.0,-14690.0,2,0.03401899337768555,2
-15597.0,-14651.0,-14904.0,2,0.03402400016784668,2
-14397.0,-14840.0,-15350.0,2,0.03402996063232422,2
-15936.0,-13468.0,-15945.0,3,0.043383121490478516,3
-16582.0,-13346.0,-15546.0,3,0.04338812828063965,3
-15756.0,-14948.0,-13377.0,3,0.0434110164642334,3
-16305.0,-14039.0,-15019.0,3,0.043437957763671875,3
-15795.0,-13649.0,-15924.0,4,0.05032992362976074,4
-15536.0,-14938.0,-13808.0,5,0.05517292022705078,5
-15048.0,-15560.0,-13262.0,5,0.05517911911010742,5
-15003.0,-15170.0,-14444.0,18,0.08014607429504395,8
-15874.0,-13958.0,-15431.0,27,0.10034608840942383,6
-15113.0,-14941.0,-14746.0,27,0.10036301612854004,6
-15498.0,-14902.0,-14332.0,106,0.2791140079498291,5
-15659.0,-14161.0,-15418.0,106,0.27911996841430664,5
-15252.0,-14124.0,-15616.0,106,0.2791259288787842,5
-15525.0,-14252.0,-15362.0,106,0.2791309356689453,5
-15427.0,-14996.0,-13901.0,106,0.2791590690612793,5
-16107.0,-14249.0,-14314.0,118,0.30602407455444336,9
-15432.0,-14469.0,-15011.0,164,0.42298293113708496,6
-15201.0,-14184.0,-15739.0,253,0.701059103012085,4
-14738.0,-15195.0,-14260.0,308,0.8449440002441406,6
-15068.0,-15168.0,-13603.0,344,0.9445400238037109,7
-15052.0,-15250.0,-13415.0,429,1.2046639919281006,5
-14851.0,-13723.0,-16376.0,552,1.6720850467681885,3
-15005.0,-15563.0,-12753.0,552,1.6720969676971436,3
-15734.0,-14785.0,-14243.0,552,1.672119140625,3
-15567.0,-15144.0,-13690.0,552,1.6721301078796387,3
-15192.0,-15398.0,-13204.0,552,1.6721351146697998,3
-16499.0,-12874.0,-16176.0,553,1.6835880279541016,4
-15150.0,-13207.0,-16452.0,553,1.6835930347442627,4
-15315.0,-13389.0,-16345.0,553,1.6835989952087402,4
-16464.0,-13695.0,-15403.0,553,1.6836869716644287,4
-15446.0,-15261.0,-12840.0,554,1.6927790641784668,5
-15956.0,-13349.0,-15868.0,555,1.7003200054168701,6
-16619.0,-13099.0,-15514.0,555,1.70033597946167,6
-16121.0,-13531.0,-15761.0,555,1.7003800868988037,6
-15681.0,-14038.0,-15338.0,555,1.7003860473632812,6
-16299.0,-13513.0,-15510.0,556,1.7053000926971436,7
-15618.0,-14632.0,-14474.0,564,1.7271430492401123,8
-16162.0,-14469.0,-13707.0,564,1.7271490097045898,8
-15683.0,-14257.0,-14942.0,589,1.7871599197387695,7
-15656.0,-14907.0,-13912.0,589,1.7871770858764648,7
-15707.0,-14395.0,-14696.0,596,1.8091330528259277,9
-16229.0,-13477.0,-15614.0,615,1.8523740768432617,8
-16071.0,-14571.0,-13717.0,637,1.9088330268859863,12
-16247.0,-14397.0,-14103.0,660,1.97770094871521,6
-16100.0,-14196.0,-14615.0,660,1.9777069091796875,6
-16332.0,-13233.0,-15623.0,701,2.10152006149292,9
-15958.0,-13345.0,-15865.0,717,2.1421079635620117,10
-15916.0,-14704.0,-13507.0,787,2.3664939403533936,5
-15359.0,-15039.0,-13757.0,787,2.3665270805358887,5
-15132.0,-15153.0,-13838.0,787,2.3665549755096436,5
-15281.0,-15161.0,-13426.0,855,2.629991054534912,6
-15392.0,-13335.0,-16206.0,856,2.6390600204467773,7
-16752.0,-13174.0,-15193.0,942,3.0059471130371094,4
-16025.0,-14278.0,-14483.0,942,3.005974054336548,4
-15380.0,-15309.0,-13239.0,942,3.0059850215911865,4
-14990.0,-13546.0,-16400.0,943,3.018188953399658,5
-15333.0,-13710.0,-16042.0,943,3.0181949138641357,5
-15868.0,-12994.0,-16229.0,943,3.0182111263275146,5
-16211.0,-13158.0,-15871.0,943,3.0182220935821533,5
-15621.0,-13138.0,-16225.0,1093,3.519745111465454,6
-15976.0,-12940.0,-16082.0,1217,3.9493610858917236,8
-15703.0,-12812.0,-16336.0,1263,4.146891117095947,11
-16497.0,-13617.0,-14312.0,1284,4.267743110656738,5
-15450.0,-13690.0,-15953.0,1284,4.267826080322266,5
-16047.0,-13073.0,-15924.0,1332,4.528960943222046,8
-15494.0,-13337.0,-16157.0,1332,4.528971910476685,8
-15591.0,-13509.0,-15974.0,1383,4.713249921798706,8
-15610.0,-13017.0,-16569.0,1384,4.72172999382019,9
-16488.0,-12465.0,-16398.0,1384,4.721758127212524,9
-16806.0,-12600.0,-15181.0,1393,4.748347997665405,14
-16091.0,-12713.0,-16277.0,1399,4.766400098800659,11
-15705.0,-12808.0,-16333.0,1437,4.903870105743408,12
-16306.0,-12657.0,-16258.0,1476,5.066666126251221,11
-16014.0,-12767.0,-16416.0,1501,5.157962083816528,14
-15741.0,-13084.0,-16204.0,1513,5.20133900642395,11
-15194.0,-13075.0,-16484.0,1513,5.20137095451355,11
-14665.0,-13757.0,-16370.0,1556,5.3888020515441895,7
-15543.0,-13205.0,-16199.0,1556,5.388807058334351,7
-14640.0,-13515.0,-16574.0,1675,5.894237041473389,10
-14953.0,-13185.0,-16553.0,1675,5.894243001937866,10
