z1,z2,z3,node,time,depth
-2816.0,-2134.0,-2988.0,7,0.008939981460571289,3
-3708.0,-1460.0,-3389.0,15,0.015864849090576172,4
-2121.0,-2530.0,-2353.0,21,0.02005791664123535,5
-3018.0,-2165.0,-2634.0,27,0.02428603172302246,5
-2811.0,-1825.0,-3108.0,45,0.03588700294494629,6
-2858.0,-1986.0,-2930.0,53,0.04094099998474121,6
-4381.0,-574.0,-4141.0,70,0.049902915954589844,7
-3815.0,-1220.0,-3349.0,78,0.054003000259399414,7
-4428.0,-735.0,-3963.0,94,0.061717987060546875,7
-3661.0,-1220.0,-3546.0,130,0.0790858268737793,8
-4351.0,-515.0,-4301.0,142,0.0848379135131836,8
-4398.0,-676.0,-4123.0,180,0.10185694694519043,8
-2864.0,-1967.0,-3086.0,232,0.12379288673400879,9
-2687.0,-1884.0,-3145.0,238,0.1269209384918213,9
-3472.0,-1173.0,-3820.0,242,0.1288759708404541,9
-2298.0,-2613.0,-2294.0,252,0.13349485397338867,9
-2988.0,-1908.0,-3049.0,266,0.13998198509216309,9
-2911.0,-2128.0,-2908.0,278,0.14503002166748047,9
-3035.0,-2069.0,-2871.0,296,0.1537189483642578,9
-3584.0,-1519.0,-3426.0,308,0.15868902206420898,9
-3601.0,-1423.0,-3663.0,310,0.15956783294677734,9
-3424.0,-1340.0,-3722.0,316,0.16232991218566895,9
-3613.0,-1189.0,-3703.0,334,0.16942596435546875,10
-3047.0,-1835.0,-2911.0,358,0.17776894569396973,10
-3660.0,-1350.0,-3525.0,374,0.1833178997039795,10
-3632.0,-1352.0,-3524.0,424,0.19896292686462402,11
-4240.0,-558.0,-4258.0,430,0.20057892799377441,11
-3066.0,-1998.0,-2732.0,434,0.2017078399658203,11
-3756.0,-1293.0,-3487.0,438,0.20297002792358398,11
-3679.0,-1513.0,-3346.0,442,0.20421385765075684,11
-3803.0,-1454.0,-3309.0,448,0.20604586601257324,11
-4369.0,-808.0,-4101.0,450,0.20666885375976562,11
-4192.0,-725.0,-4160.0,452,0.20733284950256348,11
