z1,z2,z3,node,time,depth
-2961.0,-1696.0,-2040.0,2,0.004430055618286133,2
-2473.0,-1717.0,-1536.0,19,0.02536606788635254,5
-2631.0,-1277.0,-2268.0,19,0.025371074676513672,5
-2161.0,-1334.0,-2452.0,19,0.02537393569946289,5
-3162.0,-1255.0,-1577.0,52,0.051698923110961914,6
-2324.0,-1746.0,-1537.0,67,0.06316494941711426,7
-1805.0,-1710.0,-1807.0,77,0.06839704513549805,7
-2977.0,-1413.0,-1116.0,86,0.0765080451965332,7
-3004.0,-1695.0,-845.0,90,0.07871890068054199,7
-1910.0,-1699.0,-1749.0,120,0.0981910228729248,8
-1898.0,-1479.0,-2409.0,122,0.09912896156311035,8
-2012.0,-1363.0,-2453.0,123,0.09977507591247559,8
-2112.0,-1241.0,-2538.0,146,0.11151003837585449,8
-2855.0,-1724.0,-846.0,157,0.11688399314880371,8
-2068.0,-1259.0,-2481.0,206,0.13930511474609375,9
-2312.0,-1526.0,-2197.0,208,0.14014697074890137,9
-2482.0,-1306.0,-2269.0,209,0.14068293571472168,9
-2548.0,-1099.0,-2511.0,214,0.1426999568939209,9
-1691.0,-1826.0,-1763.0,220,0.14497995376586914,9
-1876.0,-1668.0,-2224.0,234,0.15041804313659668,9
-1963.0,-1270.0,-2539.0,239,0.15259599685668945,9
-1952.0,-1827.0,-1644.0,248,0.1559600830078125,9
-2366.0,-1874.0,-1432.0,254,0.15842795372009277,9
-2110.0,-1387.0,-2376.0,262,0.16161108016967773,9
-2137.0,-1669.0,-2105.0,264,0.16246795654296875,9
-2468.0,-1538.0,-2136.0,270,0.16507887840270996,9
-3013.0,-1284.0,-1578.0,273,0.16690397262573242,9
-1903.0,-1734.0,-1730.0,282,0.1703329086303711,9
-1930.0,-2016.0,-1459.0,284,0.17130088806152344,9
-2261.0,-1885.0,-1490.0,292,0.17465496063232422,9
-2032.0,-1680.0,-2163.0,300,0.17792010307312012,9
-2229.0,-1348.0,-2440.0,324,0.18714404106140137,10
-2217.0,-1230.0,-2480.0,328,0.1886730194091797,10
-2105.0,-1873.0,-1551.0,332,0.18981504440307617,10
-2594.0,-1723.0,-965.0,334,0.19040989875793457,10
-1793.0,-1490.0,-2467.0,346,0.19460391998291016,10
-2207.0,-1537.0,-2255.0,350,0.19593310356140137,10
-2054.0,-1491.0,-2348.0,366,0.20130205154418945,10
-2524.0,-1434.0,-2164.0,368,0.20202898979187012,10
-3079.0,-1077.0,-1820.0,370,0.20288610458374023,10
-1847.0,-1838.0,-1702.0,378,0.20559096336364746,10
-2317.0,-1781.0,-1518.0,382,0.20696806907653809,10
-2088.0,-1576.0,-2191.0,388,0.2089829444885254,10
-2419.0,-1445.0,-2222.0,390,0.20975708961486816,10
-2005.0,-1398.0,-2434.0,394,0.21167397499084473,10
-2399.0,-1128.0,-2512.0,402,0.21438002586364746,11
-2285.0,-1244.0,-2468.0,404,0.21500396728515625,11
-1849.0,-1386.0,-2495.0,410,0.2170710563659668,11
-2263.0,-1433.0,-2283.0,412,0.21767306327819824,11
-2180.0,-1255.0,-2526.0,414,0.2182760238647461,11
-2441.0,-1256.0,-2407.0,422,0.2206408977508545,11
-2636.0,-1851.0,-860.0,432,0.22378206253051758,11
