z1,z2,z3,node,time,depth
-26.0,-38.0,-22.0,36,0.018146038055419922,7
-35.0,-31.0,-28.0,62,0.02905106544494629,9
-38.0,-22.0,-36.0,95,0.04263591766357422,8
-25.0,-35.0,-24.0,108,0.05027008056640625,11
-25.0,-38.0,-23.0,126,0.05875086784362793,9
-28.0,-37.0,-23.0,134,0.061723947525024414,9
-34.0,-31.0,-29.0,154,0.07056999206542969,9
-36.0,-29.0,-28.0,168,0.07617402076721191,9
-34.0,-28.0,-30.0,177,0.07992005348205566,8
-31.0,-31.0,-30.0,178,0.08080196380615234,4
-37.0,-22.0,-37.0,185,0.08414292335510254,8
-39.0,-20.0,-36.0,199,0.09042787551879883,8
-31.0,-28.0,-31.0,208,0.09404206275939941,7
-38.0,-25.0,-34.0,222,0.10448789596557617,11
-35.0,-23.0,-35.0,233,0.1112680435180664,10
-41.0,-16.0,-42.0,252,0.1197359561920166,9
-39.0,-23.0,-34.0,280,0.1333479881286621,9
-42.0,-14.0,-42.0,300,0.14152193069458008,7
-43.0,-14.0,-41.0,312,0.15008997917175293,11
-40.0,-23.0,-33.0,349,0.16557693481445312,8
