z1,z2,z3,node,time,depth
-23.0,-17.0,-32.0,1,0.0016260147094726562,1
-29.0,-26.0,-22.0,1,0.001631021499633789,1
-25.0,-18.0,-29.0,9,0.010030984878540039,4
-28.0,-35.0,-20.0,10,0.01099705696105957,4
-26.0,-34.0,-23.0,14,0.015393972396850586,4
-19.0,-30.0,-25.0,29,0.024876117706298828,5
-20.0,-29.0,-24.0,31,0.026281118392944336,5
-28.0,-27.0,-25.0,32,0.026664018630981445,6
-24.0,-27.0,-27.0,36,0.028980016708374023,6
-24.0,-39.0,-13.0,72,0.04601597785949707,7
-26.0,-26.0,-28.0,80,0.04949617385864258,7
-22.0,-26.0,-30.0,84,0.05140209197998047,7
-16.0,-21.0,-31.0,85,0.05185508728027344,7
-23.0,-28.0,-25.0,112,0.06317901611328125,8
-22.0,-38.0,-16.0,132,0.07142210006713867,8
-19.0,-37.0,-17.0,137,0.07350516319274902,8
-23.0,-20.0,-30.0,144,0.07645297050476074,9
-26.0,-36.0,-16.0,146,0.07723307609558105,9
-27.0,-28.0,-23.0,150,0.0787501335144043,9
-22.0,-36.0,-17.0,164,0.08426594734191895,9
